Ola_602_R1B1	LMP.Olap_602_R1B1	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000022277.12|RTF2	2131.98	2214	2003.57	2067
ENSG00000022567.9|SLC45A4	223	221	215	231
ENSG00000022840.16|RNF10	1599	1640	1443	1639
ENSG00000022976.15|ZNF839	275.67	309.65	219.11	260.35
ENSG00000023041.11|ZDHHC6	552	638	543	671
ENSG00000023171.18|GRAMD1B	36	33	18	32
ENSG00000023191.17|RNH1	1429	1382	1225	1097
ENSG00000023228.14|NDUFS1	3599.16	3438.28	3001.57	3517.11
ENSG00000023287.13|RB1CC1	1022	997	947	1061
ENSG00000023318.8|ERP44	1024	969	1051	1007
ENSG00000023330.15|ALAS1	904	864	777	833
ENSG00000023516.9|AKAP11	1046	965	869	1098
ENSG00000023572.9|GLRX2	465.59	485.55	406.95	456.12
ENSG00000023608.5|SNAPC1	321.39	338.43	290	387
ENSG00000023697.13|DERA	406	413	362	375
ENSG00000023734.11|STRAP	1927	1899	1712	1760
ENSG00000023902.14|PLEKHO1	1114	1120	955	1057
ENSG00000023909.10|GCLM	214	227	248	250
ENSG00000024048.10|UBR2	1170	1126	1015	1113
ENSG00000024422.12|EHD2	1223	1349	1438	1378
ENSG00000024526.17|DEPDC1	690.01	735.06	611.43	608.02
ENSG00000024862.17|CCDC28A	97.58	76	76.73	94
ENSG00000025039.14|RRAGD	853	1156	634	922
ENSG00000025156.12|HSF2	559	546	463	529
ENSG00000025293.17|PHF20	1727	1592	1364.09	1549
ENSG00000025423.11|HSD17B6	22	12	21	21
ENSG00000025434.19|NR1H3	234.01	257	221.03	300
ENSG00000025708.14|TYMP	42	20	17	13
ENSG00000025770.19|NCAPH2	1514.31	1837.67	1565.8	1781.2
ENSG00000025772.8|TOMM34	885	1160	850	1022
ENSG00000025796.14|SEC63	2470.56	2341.5	2061.51	2192.65
ENSG00000025800.14|KPNA6	2008.94	2006.97	1657.58	1742.08
ENSG00000026025.16|VIM	42988.06	40765.07	46175.8	44456.85
ENSG00000026036.22|RTEL1-TNFRSF6B	760.03	776.48	594.52	673.38
ENSG00000026297.15|RNASET2	40	44	26	32
ENSG00000026508.18|CD44	2742	2990	3086	3276
ENSG00000026652.14|AGPAT4	1133	914	947	912
ENSG00000026950.17|BTN3A1	263.17	272.55	228.66	219.35
ENSG00000027001.10|MIPEP	479	494.33	446	524
ENSG00000027075.15|PRKCH	546	488	436	479
ENSG00000027644.5|INSRR	127	125	110	110
ENSG00000027697.14|IFNGR1	478	498	405	491
ENSG00000027847.14|B4GALT7	193	222	231	204
ENSG00000028137.19|TNFRSF1B	361	477	403	564
ENSG00000028203.18|VEZT	886	911	757	902
ENSG00000028277.21|POU2F2	10	14	19	20
ENSG00000028310.18|BRD9	1725.84	1614.56	1420.57	1501.5
ENSG00000028528.15|SNX1	3268	3065	2762	3032
ENSG00000028839.10|TBPL1	282.45	292.41	260.98	327.5
ENSG00000029153.14|ARNTL2	404	488	328	467
ENSG00000029363.16|BCLAF1	4925	4729.97	3968	4317.93
ENSG00000029364.12|SLC39A9	1204	1178	1062	1096
ENSG00000029534.20|ANK1	83	84	56	91
ENSG00000029639.11|TFB1M	201.93	170.85	168.59	196.11
ENSG00000029725.17|RABEP1	2045.1	1845.71	1570.12	1732.32
ENSG00000029993.15|HMGB3	2210	2204	1777	1963
ENSG00000030066.13|NUP160	2715	2617	2423	2606
ENSG00000030110.13|BAK1	321	289	295	335
ENSG00000030419.16|IKZF2	75	51	46	47
ENSG00000030582.18|GRN	2892	3149	2737	2686
ENSG00000031003.10|FAM13B	792	839.98	724	862.74
ENSG00000031081.10|ARHGAP31	1440	1379	1358	1385
ENSG00000031691.7|CENPQ	291	316	210	280
ENSG00000031698.13|SARS	1332	1364	1248	1287
ENSG00000031823.14|RANBP3	1570	1650	1377	1461
ENSG00000032219.18|ARID4A	1107	1176	843	1098
ENSG00000032389.12|EIPR1	384	366	335	304
ENSG00000032444.16|PNPLA6	493	482	446	420
ENSG00000032742.17|IFT88	505	432	381	406
ENSG00000033011.12|ALG1	277.39	260.9	227.79	221.56
ENSG00000033030.13|ZCCHC8	459	517	437	519
ENSG00000033050.9|ABCF2	748.83	719.77	591.15	613.55
ENSG00000033100.16|CHPF2	559	470	445	441
ENSG00000033170.16|FUT8	350.87	305.51	335.54	325.56
ENSG00000033178.13|UBA6	1498	1401	1391	1591
ENSG00000033327.13|GAB2	5864	5459	4728	4514
ENSG00000033627.16|ATP6V0A1	1842	1783	1674	1712
ENSG00000033800.13|PIAS1	1183.45	1239.34	997.31	1167.45
ENSG00000033867.16|SLC4A7	561	558	511	544
ENSG00000034053.14|APBA2	3099	2797	2616	2308
ENSG00000034152.18|MAP2K3	547	496	538	477
ENSG00000034510.6|TMSB10	7291	7362	7862	8051
ENSG00000034533.11|ASTE1	213.71	223.62	191.54	216.95
ENSG00000034677.13|RNF19A	1752.41	1801	1781.8	1797
ENSG00000034693.15|PEX3	155	186.87	146	173.96
ENSG00000034713.8|GABARAPL2	1046	1096	1096	1158
ENSG00000035115.21|SH3YL1	383	321	310	380
ENSG00000035141.8|FAM136A	966	1058	818	1027
ENSG00000035403.17|VCL	691.95	760.7	679.6	755.88
ENSG00000035499.13|DEPDC1B	659	709	584	752
ENSG00000035664.11|DAPK2	173	162	133	154
ENSG00000035681.9|NSMAF	1194	1096	1048	1126
ENSG00000035687.10|ADSS	904	944	836	1089
ENSG00000035862.12|TIMP2	11702.71	12333	10103.46	10223.09
ENSG00000035928.16|RFC1	2531	2500	1989	2496
ENSG00000036054.13|TBC1D23	738	669	663	739
ENSG00000036257.13|CUL3	2046	1822	1788	1852
ENSG00000036448.10|MYOM2	60	75	62	30
ENSG00000036530.8|CYP46A1	11	10	18	20
ENSG00000036549.13|AC118549.1	547	424	478	500
ENSG00000036565.15|SLC18A1	248	388	291	431
ENSG00000036672.16|USP2	229	275	165	199
ENSG00000037042.9|TUBG2	603.53	654.5	636.92	649.25
ENSG00000037241.7|RPL26L1	345.97	370	300	331.87
ENSG00000037280.16|FLT4	36	40	26	21
ENSG00000037474.15|NSUN2	2093	2071	1859	1975
ENSG00000037637.11|FBXO42	549	529	488	569
ENSG00000037749.12|MFAP3	446	433	368	441
ENSG00000037757.14|MRI1	792.86	882.23	795.08	811.01
ENSG00000037897.17|METTL1	226	179	174	213
ENSG00000037965.6|HOXC8	10	16	13	9
ENSG00000038002.9|AGA	353	391	297	326
ENSG00000038210.13|PI4K2B	391.09	459.28	359.19	409.7
ENSG00000038219.13|BOD1L1	1341	1310	1109	1220
ENSG00000038274.17|MAT2B	818	708	719	722
ENSG00000038358.15|EDC4	2301.94	2524.99	2071.55	2226.88
ENSG00000038382.20|TRIO	9609	7372	7756	6789
ENSG00000038427.16|VCAN	11007	10300	9743	10310
ENSG00000038532.16|CLEC16A	498	466	454	427
ENSG00000039123.16|MTREX	2139.77	2068.04	1860.47	2138.67
ENSG00000039139.9|DNAH5	18	18	10	13
ENSG00000039319.17|ZFYVE16	2634.61	2762.34	2219.06	2668.08
ENSG00000039523.20|RIPOR1	1676	1763	1564	1655
ENSG00000039560.14|RAI14	638	695	563	589
ENSG00000039650.12|PNKP	590.62	544.53	482.73	520.19
ENSG00000040199.18|PHLPP2	793.86	682.07	694	773.99
ENSG00000040275.17|SPDL1	719	743	640	638
ENSG00000040341.18|STAU2	1167.22	1066.42	1133.38	1086.34
ENSG00000040487.13|PQLC2	342	360	320	344
ENSG00000040531.14|CTNS	414	370	368	378
ENSG00000040608.14|RTN4R	40	61	59	39
ENSG00000040633.13|PHF23	1122	1187	1132	1181
ENSG00000040933.15|INPP4A	775	756	683	765
ENSG00000041353.10|RAB27B	40	48	17	29
ENSG00000041357.16|PSMA4	3989	4194	3486	3929
ENSG00000041802.11|LSG1	951	883	851	880
ENSG00000041880.14|PARP3	223	256	261	236
ENSG00000041982.16|TNC	2581	1682	1819	1174
ENSG00000041988.15|THAP3	104	114.2	91.16	96
ENSG00000042088.13|TDP1	388	414	361	459
ENSG00000042286.15|AIFM2	13	7	10	17
ENSG00000042317.17|SPATA7	136.24	123	115.02	129.07
ENSG00000042429.12|MED17	1068.69	922.15	941.98	914.27
ENSG00000042445.14|RETSAT	850.66	891.86	843.83	891.97
ENSG00000042753.11|AP2S1	607	716	613	679
ENSG00000042832.12|TG	47	60	31	37
ENSG00000043093.14|DCUN1D1	843	851	750	851
ENSG00000043143.20|JADE2	149	210	180	200
ENSG00000043355.12|ZIC2	116	108	94	120
ENSG00000043514.16|TRIT1	252	220	208	215
ENSG00000044090.8|CUL7	51.53	50	49	36
ENSG00000044115.21|CTNNA1	7896	7009	7726	7075
ENSG00000044446.11|PHKA2	281	297	249	285
ENSG00000044459.15|CNTLN	504	461	435	482
ENSG00000044524.11|EPHA3	9343	6413	7838	6366
ENSG00000044574.8|HSPA5	10050	8050	10216	8224
ENSG00000046647.13|GEMIN8	218	158	172	154
ENSG00000046651.15|OFD1	903	940	817	962
ENSG00000046653.15|GPM6B	12776	12208	10469	10794
ENSG00000046774.10|MAGEC2	56	57	43	42
ENSG00000047056.15|WDR37	511	501	428	475
ENSG00000047188.16|YTHDC2	1509	1676	1293	1576
ENSG00000047230.15|CTPS2	689	650	613	650
ENSG00000047249.18|ATP6V1H	576	638	644	607
ENSG00000047315.16|POLR2B	4377.58	4307.12	3906.59	3994.76
ENSG00000047346.12|FAM214A	678	590.69	508.41	556.8
ENSG00000047365.12|ARAP2	203	191	183	158
ENSG00000047410.14|TPR	7059	7110.97	5835	6866
ENSG00000047578.13|KIAA0556	561.27	487.48	491.77	477.37
ENSG00000047579.19|DTNBP1	336	314	252	247
ENSG00000047621.12|C12orf4	605	695	586	707
ENSG00000047634.15|SCML1	386	458	327	415
ENSG00000047644.18|WWC3	1394	1414	1217	1151
ENSG00000047648.22|ARHGAP6	288	275	246	202
ENSG00000047849.21|MAP4	4382	3961	4040	3824
