LMP_923_R2B1	LMP.Olap_923_R2B1	LMP_923_R3B1	LMP.Olap_923_R3B1	LMP_923_R1B2	LMP.Olap_923_R1B2
ENSG00000010256.11|UQCRC1	3177	3149	2667	3425	3411	3028
ENSG00000010270.13|STARD3NL	1392	1261	881	1361	1371	1037
ENSG00000010278.14|CD9	1860	2345	1384	2147	1953	1642
ENSG00000010282.14|HHATL	8	10	8	8	11	5
ENSG00000010292.13|NCAPD2	5683.66	5147.15	4165.69	5404.53	5740.32	4685.93
ENSG00000010295.19|IFFO1	553	540	396	535	561	510
ENSG00000010310.9|GIPR	34	50	21	36	47	36
ENSG00000010318.21|PHF7	51	42	32	30	51	30
ENSG00000010319.6|SEMA3G	9	18	8	15	11	17
ENSG00000010322.16|NISCH	2478	2382	2063	2459	2375	2090
ENSG00000010361.13|FUZ	339.17	451.2	290.88	377.5	365.96	368.06
ENSG00000010404.18|IDS	8685.24	10240.92	6850.69	11831.02	9291.74	10031.05
ENSG00000010539.11|ZNF200	528	528.11	381	620.86	579	457
ENSG00000010626.15|LRRC23	124.24	127.31	77	106	147	98.27
ENSG00000010704.18|HFE	65	70	73	82	69	47
ENSG00000010803.16|SCMH1	897	867	718	1005.98	990	794
ENSG00000010810.17|FYN	4291	3741	2787	4070	4108	3295
ENSG00000010818.10|HIVEP2	118.85	109	71	124	73	119.27
ENSG00000011007.12|ELOA	2205.02	2112.44	1575.99	2325.6	2483.18	1966.27
ENSG00000011009.11|LYPLA2	1074	1055	960	1123	1133	1065
ENSG00000011021.23|CLCN6	1210	1095	957.99	1277.69	1397	1057.5
ENSG00000011028.14|AC080038.1	7172.75	8473.78	6698.47	8680.41	7907.49	8107.49
ENSG00000011052.21|NME1-NME2	496.42	339.53	384.16	319.35	502.85	340.63
ENSG00000011105.14|TSPAN9	602	695	533	723	605	603
ENSG00000011114.15|BTBD7	982	783	687	1037	1017	792
ENSG00000011132.12|APBA3	236.43	194	175	234	230	201.67
ENSG00000011143.16|MKS1	460	494	305	456	439	339
ENSG00000011198.9|ABHD5	481	454	320	514	475	376
ENSG00000011243.18|AKAP8L	2074.87	2061.09	1543.61	2003.99	2123.44	1786.8
ENSG00000011258.16|MBTD1	1255	1067	737	1177	1099	820
ENSG00000011260.14|UTP18	1126	900	762	1159	1121	811
