Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000008405.12|CRY1	422	444	460	504
ENSG00000008441.16|NFIX	3136	4229	2892	3336
ENSG00000008513.16|ST3GAL1	596	628	669	726
ENSG00000008710.19|PKD1	845.29	1160.52	779.8	883.55
ENSG00000008735.14|MAPK8IP2	285	416	279	375
ENSG00000008838.20|MED24	2325	2682	2203	2546
ENSG00000008853.16|RHOBTB2	1072.24	1253.25	949.5	1212.71
ENSG00000008869.12|HEATR5B	1123	1303	1560	1419
ENSG00000008952.17|SEC62	1835	2155	2057	2044
ENSG00000008988.9|RPS20	5353	5486	5048.98	4825.99
ENSG00000009307.16|CSDE1	9619	10307	9822	9388
ENSG00000009335.18|UBE3C	800	907	896	893
ENSG00000009413.15|REV3L	5636.77	5844.1	6241.99	5722.89
ENSG00000009724.16|MASP2	30	44	34	40
ENSG00000009780.15|FAM76A	149	174	174	169
ENSG00000009830.11|POMT2	1757	1948	1732	1796
ENSG00000009844.16|VTA1	857	905	930	896
ENSG00000009954.11|BAZ1B	6212	7515	6564	7293
ENSG00000010017.13|RANBP9	2058.63	2409.69	2394.18	2502.61
ENSG00000010072.16|SPRTN	304.33	354.81	325.32	349.26
ENSG00000010165.20|EEF1AKNMT	590	566	530	561
ENSG00000010219.13|DYRK4	348	325.65	334.1	279
ENSG00000010244.18|ZNF207	4163	4689	4493	4392
ENSG00000010256.11|UQCRC1	1754	2007	1500	1801
ENSG00000010270.13|STARD3NL	988	1067	1180	1225
ENSG00000010278.14|CD9	3463	3440	4301	3805
ENSG00000010282.14|HHATL	20	16	19	9
ENSG00000010292.13|NCAPD2	3240.27	4447.51	3003.36	3697.08
ENSG00000010295.19|IFFO1	821	741	897	845
ENSG00000010310.9|GIPR	88	97	83	70
ENSG00000010318.21|PHF7	76	79	55	66
ENSG00000010322.16|NISCH	1611	1871	1572	1821
ENSG00000010361.13|FUZ	378.66	559.1	329.46	428.4
ENSG00000010404.18|IDS	832.88	1092.21	991.88	1158.31
ENSG00000010539.11|ZNF200	315	344	333	369
ENSG00000010626.15|LRRC23	112.82	87.03	87.95	68
ENSG00000010803.16|SCMH1	716	788.99	674	700
ENSG00000010810.17|FYN	5811	4743	5997	4584
ENSG00000010818.10|HIVEP2	231	305.92	259	322
ENSG00000011007.12|ELOA	2063.09	2487.82	2131.73	2447.73
ENSG00000011009.11|LYPLA2	1121	1165	1011.99	1193
ENSG00000011021.23|CLCN6	982	1036.82	1011.3	894.19
ENSG00000011028.14|AC080038.1	1910.84	2036.74	2217.95	2263.66
ENSG00000011052.21|NME1-NME2	368.25	238.5	152.01	340.43
ENSG00000011105.14|TSPAN9	597	573	600	641
ENSG00000011114.15|BTBD7	705	842	878	798
ENSG00000011132.12|APBA3	275	330.56	271	385
ENSG00000011143.16|MKS1	462	554	499	538
ENSG00000011198.9|ABHD5	362	416	436	432
ENSG00000011243.18|AKAP8L	2131.32	2235.24	1897.11	1950.8
ENSG00000011258.16|MBTD1	740	812	880	862
ENSG00000011260.14|UTP18	722	942	920	997
ENSG00000011275.18|RNF216	1874.23	1966.91	1764.75	1842.7
ENSG00000011295.16|TTC19	918.94	1058.03	1030	1049.25
ENSG00000011304.20|PTBP1	6574	7972	6742	7152
ENSG00000011332.19|DPF1	318	393	347	424
ENSG00000011347.9|SYT7	10	21	6	6
ENSG00000011376.11|LARS2	698	765	706	714
ENSG00000011405.13|PIK3C2A	1398	1800	1608	1611
ENSG00000011422.12|PLAUR	139	166	120	124
ENSG00000011426.11|ANLN	2874	4428	3219	4173
ENSG00000011451.19|WIZ	1927	2421	1773	1906
ENSG00000011454.17|RABGAP1	2418	2613	2709	2433
ENSG00000011478.12|QPCTL	120	150	126	117
ENSG00000011485.14|PPP5C	1622.04	1866	1417	1702
ENSG00000011523.14|CEP68	921	1079.07	936.02	1061.79
ENSG00000011566.15|MAP4K3	739	794	803	793
ENSG00000011638.10|TMEM159	57	60	65	58
ENSG00000012048.22|BRCA1	1233	1930	1403	2003
ENSG00000012061.15|ERCC1	1605.61	1747.58	1435.43	1434.54
ENSG00000012171.19|SEMA3B	159	193	134	146
ENSG00000012174.12|MBTPS2	640.66	759.11	773	719.64
ENSG00000012232.8|EXTL3	4340	4824	3769	3926
ENSG00000012660.14|ELOVL5	903	1045	1023	1136
ENSG00000012822.16|CALCOCO1	1390	1349	1321	1260
ENSG00000012963.15|UBR7	1526	1775.41	1471.68	1666.03
ENSG00000012983.11|MAP4K5	770	906	964	997
ENSG00000013016.16|EHD3	154	122	172	138
ENSG00000013275.7|PSMC4	1711	1815	1576	1878
ENSG00000013288.8|MAN2B2	584	633	634	611
ENSG00000013306.16|SLC25A39	1311	1479	1123	1372
ENSG00000013364.19|MVP	96	98	66.41	91
ENSG00000013374.16|NUB1	511	537.96	543.97	522
ENSG00000013375.16|PGM3	968.25	1171.95	1127.22	1181.49
ENSG00000013392.8|RWDD2A	183	216	219	225
ENSG00000013441.16|CLK1	1416	1815	1872	1915
ENSG00000013503.10|POLR3B	281	266	257	269
ENSG00000013523.9|ANGEL1	2387.27	2341.11	2596.57	2565.41
ENSG00000013561.18|RNF14	386	521.97	545	581
ENSG00000013563.14|DNASE1L1	81.17	151.11	114.9	140.08
ENSG00000013573.17|DDX11	1384.44	1620.69	1174.68	1446.49
ENSG00000013583.10|HEBP1	146	150	108	154
ENSG00000013588.8|GPRC5A	14	7	12	19
ENSG00000013619.14|MAMLD1	687	625	615	567
ENSG00000013810.19|TACC3	3293.54	4670	2890	4073.31
ENSG00000014123.10|UFL1	715	1032	857	932
ENSG00000014138.9|POLA2	667.65	970.34	625.31	939.06
ENSG00000014164.7|ZC3H3	291	349	283	260
ENSG00000014216.15|CAPN1	1062.8	1217.71	993	1194
ENSG00000014641.18|MDH1	2264.79	2907.11	2334.7	2724.72
ENSG00000014824.14|SLC30A9	959	1020	1106	997
ENSG00000014914.21|MTMR11	119	141	170	166
ENSG00000014919.12|COX15	533.47	563.84	601.28	645.33
ENSG00000015133.19|CCDC88C	363	367	319	351
ENSG00000015153.14|YAF2	134	152	167	135
ENSG00000015171.19|ZMYND11	1201	1200	1325	1257
ENSG00000015285.10|WAS	41	38	34	47
ENSG00000015475.18|BID	549	573	452	484
ENSG00000015479.18|MATR3	7298.05	8078.38	7854.67	7600.97
ENSG00000015532.9|XYLT2	461	573	426	528
ENSG00000015568.13|RGPD5	146.39	47.58	37.89	93.54
ENSG00000015676.18|NUDCD3	2472	2589	2506	2568
ENSG00000016391.11|CHDH	105	88	71	105
ENSG00000016864.18|GLT8D1	526	555	557	524
ENSG00000017260.19|ATP2C1	1306.76	1505.38	1667.61	1563.05
ENSG00000017797.13|RALBP1	778	939	900	975
ENSG00000018189.13|RUFY3	2460	2652	3085	2830
ENSG00000018236.15|CNTN1	67	73	77	62
ENSG00000018280.17|SLC11A1	17	13	15	10
ENSG00000018408.14|WWTR1	440.45	451.16	594.84	637.23
ENSG00000018510.15|AGPS	1036	1288.5	1393	1305
ENSG00000018610.14|CXorf56	531	582.76	577.45	588
ENSG00000018699.13|TTC27	255	255	322	260
