	Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000116863.11|ADPRHL2	4.71107919955724	4.42477268524657	4.50954242028781	4.62630946451599
ENSG00000116871.15|MAP7D1	6.4732005631927	6.32901887028415	6.35785613143266	6.44436330204419
ENSG00000116874.11|WARS2	3.54940644255596	3.93912551850974	3.76891667328084	3.71961528778486
ENSG00000116883.8|AL591845.1	1.81684448130645	2.13578701316399	2.09956960592532	1.85306188854513
ENSG00000116885.18|OSCP1	2.00070281132076	1.88819867238517	1.9987313088849	1.89017017482104
ENSG00000116898.12|MRPS15	4.96509817361492	4.75151720804303	4.7955982963684	4.92101708528955
ENSG00000116903.7|EXOC8	4.56424437404632	4.82988718158231	4.70291066295017	4.69122089267847
ENSG00000116906.13|GNPAT	6.188772235536	6.22025087057002	6.25414319681778	6.15487990928824
ENSG00000116918.14|TSNAX	5.43511484432857	5.49242163852374	5.60188132466837	5.32565515818394
ENSG00000116922.14|C1orf109	4.32660625232363	4.55575073014664	4.54034948818548	4.34200749428479
ENSG00000116954.8|RRAGC	5.37081805075843	5.63028294397593	5.54192995529591	5.45917103943844
ENSG00000116962.15|NID1	7.49726449514735	7.60793069319542	7.46412328012142	7.64107190822135
ENSG00000116977.18|LGALS8	1.55678395770176	1.20670504053751	1.28159574510097	1.4818932531383
ENSG00000116983.13|HPCAL4	0.127312945801038	-0.407037169904286	-0.151994422221095	-0.127729801882154
ENSG00000116984.13|MTR	5.48799021657383	5.71514516784882	5.60577768261851	5.59735770180414
ENSG00000116985.12|BMP8B	4.83088177854199	4.95028066762444	4.8479759920023	4.93318645416412
ENSG00000116990.11|MYCL	2.90301163329319	2.8908250780087	2.97197949868458	2.82185721261731
ENSG00000116991.10|SIPA1L2	7.46519010840692	7.55523534835923	7.44354096587416	7.57688449089199
ENSG00000117000.9|RLF	5.17478589465957	5.25860376991467	5.40864162265435	5.02474804191989
ENSG00000117010.17|ZNF684	1.54694363273547	1.83596922278931	1.48333087810803	1.89958197741674
ENSG00000117016.10|RIMS3	3.44023446336728	3.60910806724197	3.43928308252809	3.61005944808116
ENSG00000117020.17|AKT3	5.92976728498777	6.09651515501465	6.07917783557382	5.9471046044286
ENSG00000117036.12|ETV3	4.74362573606607	4.8824288180025	4.77220922845919	4.85384532560939
ENSG00000117054.13|ACADM	5.64889019199543	5.53304015495701	5.71693644111902	5.46499390583342
ENSG00000117114.19|ADGRL2	6.8495766308582	6.95090820786515	6.95710364605296	6.84338119267039
ENSG00000117118.9|SDHB	6.0151986652362	5.79935394732362	5.9302727973188	5.88427981524102
ENSG00000117122.13|MFAP2	1.93323985957952	1.44364583348032	1.62327342287712	1.75361227018272
ENSG00000117133.11|RPF1	5.50458865870162	5.19678244209588	5.36478321162083	5.33658788917667
ENSG00000117139.17|KDM5B	7.00738503646308	7.07187705293652	7.0484140275609	7.03084806183869
ENSG00000117143.13|UAP1	4.3779129876347	4.19468665938649	4.3036391347585	4.26896051226269
ENSG00000117153.16|KLHL12	6.06780162892214	6.03528644849324	6.12136713586262	5.98172094155276
ENSG00000117155.16|SSX2IP	5.07505710029269	5.27812537289737	5.24414146503069	5.10904100815937
ENSG00000117174.11|ZNHIT6	4.81955465947335	4.92697138405466	4.9936888290721	4.75283721445591
ENSG00000117222.14|RBBP5	5.47173106195841	5.52961114755605	5.52889846938664	5.47244374012781
ENSG00000117228.10|GBP1	0.8188512932398	0.454657315692246	0.817083246051227	0.456425362880819
ENSG00000117242.7|PINK1-AS	4.04281373786042	3.78896938555249	3.83845695158692	3.99332617182599
ENSG00000117245.12|KIF17	-0.770101805818306	-0.400527190853482	-0.161838569700079	-1.00879042697171
ENSG00000117262.19|GPR89A	4.54767177373741	4.63036039010361	4.63805963693707	4.53997252690396
ENSG00000117266.15|CDK18	3.4089009853596	2.80435224200032	2.99560216291869	3.21765106444123
ENSG00000117280.13|RAB29	5.64173543740322	5.63903578571695	5.69380776808022	5.58696345503995
ENSG00000117298.16|ECE1	7.12668344143081	7.17962044240926	7.08686953104627	7.2194343527938
ENSG00000117305.15|HMGCL	4.57985429347588	4.49150846058939	4.40352786851556	4.66783488554972
ENSG00000117308.15|GALE	4.46526388951699	4.54059644749857	4.36943939348518	4.63642094353038
ENSG00000117318.9|ID3	6.05068086085777	5.81421232385721	5.90142095700655	5.96347222770843
ENSG00000117335.19|CD46	6.20222991936057	6.43432898998317	6.38902616666596	6.24753274267779
ENSG00000117360.13|PRPF3	6.94101810020884	6.77440298407475	6.85224459512431	6.86317648915928
ENSG00000117362.13|APH1A	7.27120614932121	7.14300616924239	7.1480573692583	7.2661549493053
ENSG00000117385.15|P3H1	5.62420910332901	5.54925907773888	5.50541827232642	5.66804990874147
ENSG00000117394.21|SLC2A1	5.98209873701338	6.00327892353901	5.84231544764371	6.14306221290868
