	Ctrl_923_R2B1	LMP.Olap_923_R2B1	Ctrl_923_R3B1	LMP.Olap_923_R3B1	Ctrl_923_R1B2	LMP.Olap_923_R1B2
ENSG00000132031.13|MATN3	0.986209873251007	1.13171943580168	0.467422252551263	1.34054376188728	0.864733713023307	1.09821394872231
ENSG00000132109.10|TRIM21	2.23774750984937	1.98047751329854	1.45500151917039	2.13746029239376	1.61742319022374	2.28792022713229
ENSG00000132122.12|SPATA6	6.30033395014671	5.58248672955647	6.00596502527226	5.64806198007852	6.12899142267552	5.63943241985147
ENSG00000132128.16|LRRC41	6.42090452755584	6.50192637518661	6.36867833778445	6.32713882705161	6.44141075024289	6.36791328354636
ENSG00000132141.14|CCT6B	1.307981916014	1.23250666299929	0.678323805825352	1.19188089829531	1.23895169971267	0.966394941854308
ENSG00000132153.15|DHX30	7.13443914178379	7.23894347256997	7.32368187534687	7.19333468219229	7.161890095608	7.28330949033845
ENSG00000132155.11|RAF1	7.36717692350321	7.23300523102072	7.31922117124532	7.23651371331518	7.39037846744506	7.18758005209716
ENSG00000132164.10|SLC6A11	4.16124553052185	3.82244380461065	3.82502271614022	3.9524953153866	4.08157673678986	3.7990269465398
ENSG00000132182.12|NUP210	8.39386387120219	8.65103983071995	8.55142786443632	8.56865553448223	8.40720889885653	8.67528465156381
ENSG00000132185.16|FCRLA	1.44575670585043	1.5783916958997	1.371968964394	1.60633097851363	1.68438192852634	1.31684224380254
ENSG00000132196.14|HSD17B7	4.78234639232692	4.56878951651015	4.9483546606493	5.06191969727636	4.85953516915006	4.82116996423131
ENSG00000132199.20|ENOSF1	5.35380867017185	5.71885241360659	5.46495576739846	5.78780388121214	5.51032575843526	5.65238460775927
ENSG00000132207.17|SLX1A	3.54297849343696	4.23170329976685	4.2642533547833	3.72573325631684	4.06667707123939	3.81565713091258
ENSG00000132254.12|ARFIP2	4.8648117503548	4.76767071098151	4.76369356241221	4.50781133344626	4.81333555196444	4.63865812663295
ENSG00000132256.18|TRIM5	3.88533010587092	3.89415153196566	3.84374018750341	3.92266278773402	3.76088380277495	4.01205850376206
ENSG00000132275.11|RRP8	3.49456911658027	3.7104541162227	3.55708098041727	3.66069488037385	3.55563045594789	3.65576909084916
ENSG00000132286.12|TIMM10B	4.35431728190732	4.19904909761634	4.23949188036541	4.32384779763277	4.3561608085481	4.20219222021282
ENSG00000132294.15|EFR3A	5.23642120607947	5.16178942957168	5.04439685517656	5.24296356103737	5.11159273734235	5.23119278859018
ENSG00000132300.19|PTCD3	7.2479531381052	7.36923418559046	7.14245699673787	7.34872045249235	7.2104288546501	7.34375353181284
ENSG00000132305.20|IMMT	7.34362346834664	7.26455147584239	7.30256238970484	7.37748069590431	7.35446417506905	7.28964483983004
ENSG00000132313.15|MRPL35	5.54456334805428	5.4646033125146	5.35195862398628	5.6319286627068	5.50912749841955	5.48739947521143
ENSG00000132323.9|ILKAP	5.05431042857859	4.75724240542421	5.16730519176359	4.64296973400537	5.05569323905007	4.75522064083582
ENSG00000132326.12|PER2	3.49700660937505	3.45616244719994	3.47162835009201	3.34910776176863	3.35901471937744	3.52793786484037
ENSG00000132329.11|RAMP1	2.40727034763625	3.2857687543313	3.15705890661867	3.54428287553562	2.60729421679577	3.58989622526515
ENSG00000132330.17|SCLY	4.65716998191643	4.77074592152138	4.93963688813112	4.9210369085626	4.54754301723871	5.09675183282706
ENSG00000132334.16|PTPRE	4.30671112904732	4.34978831527942	4.32310171281637	4.54095546009342	4.33767001653238	4.42260829208589
ENSG00000132341.12|RAN	8.95469822363792	8.59890961871578	8.89769881944701	8.61487851042058	8.9345998999939	8.59849268611675
ENSG00000132356.11|PRKAA1	6.12028109869751	5.88228280205707	6.01528962317226	6.08151311844691	6.09024490513354	5.95943841605334
ENSG00000132359.15|RAP1GAP2	4.35202784093692	4.95274159836453	3.88877120867674	4.40100234756679	4.0667654660332	4.73050603173929
