	LMP_602_R1B1	LMP.Olap_602_R1B1	LMP_602_R2B2	LMP.Olap_602_R2B2
ENSG00000163541.12|SUCLG1	5.68952859961416	5.68548453080034	5.6745280385724	5.7004850918421
ENSG00000163545.8|NUAK2	2.1543450991087	2.70946301274119	2.42910380136183	2.43470431048806
ENSG00000163558.13|PRKCI	5.08664814558409	5.09342527252686	5.07801990356326	5.10205351454768
ENSG00000163565.18|IFI16	5.86576340070053	5.69955799436167	5.76064449865654	5.80467689640566
ENSG00000163576.18|EFHB	-0.343785860522396	-0.353741624500221	-0.429443272495108	-0.26808421252751
ENSG00000163577.8|EIF5A2	4.65712590607263	4.60904791214356	4.48358351728249	4.7825903009337
ENSG00000163584.18|RPL22L1	5.68261368218187	5.80362639604278	5.6488281828823	5.83741189534236
ENSG00000163590.14|PPM1L	5.94929316093884	5.95952340003234	5.91752743639016	5.99128912458102
ENSG00000163596.16|ICA1L	4.45123006065231	4.39150966739178	4.38414417529039	4.4585955527537
ENSG00000163597.14|SNHG16	5.50531894603634	5.67032057489358	5.54871572158779	5.62692379934213
ENSG00000163602.10|RYBP	5.58879116955463	5.66252105839473	5.56004002239222	5.69127220555714
ENSG00000163605.14|PPP4R2	6.69290363689782	6.54497543188011	6.60323905183244	6.63464001694549
ENSG00000163607.15|GTPBP8	3.65071929898993	3.82424762653928	3.6622261984996	3.8127407270296
ENSG00000163608.15|NEPRO	5.859498459591	5.80426553730851	5.83464504527898	5.82911895162053
ENSG00000163611.11|SPICE1	4.4724997245296	4.48757241129995	4.37999189144972	4.58008024437983
ENSG00000163617.11|CCDC191	2.95531064676682	3.00903146899496	2.82327481408278	3.141067301679
ENSG00000163623.9|NKX6-1	4.54643385918929	4.68459276471237	4.59002917688292	4.64099744701873
ENSG00000163624.6|CDS1	1.24555003806306	1.01171228537758	0.865517224122361	1.39174509931829
ENSG00000163625.15|WDFY3	6.26883281864872	6.21593365846063	6.20636251507155	6.2784039620378
ENSG00000163626.16|COX18	3.98702918584203	4.12869581205203	4.19319818536487	3.92252681252919
ENSG00000163629.13|PTPN13	7.48302656931881	7.37847179810766	7.41134016711244	7.45015820031403
ENSG00000163633.12|C4orf36	-0.664838157243364	0.945288357205336	0.758604977990842	-0.478154778028871
ENSG00000163634.12|THOC7	4.4877879125036	4.36708254049443	4.40280588974386	4.45206456325418
ENSG00000163635.18|ATXN7	4.14441977984012	3.41921535561139	3.42115936860814	4.14247576684337
ENSG00000163636.10|PSMD6	6.06173549683968	5.9143447286328	5.99135842515224	5.98472180032024
ENSG00000163637.13|PRICKLE2	5.02005876542729	4.95186586737351	4.92141746667792	5.05050716612288
ENSG00000163638.13|ADAMTS9	4.98626059901644	5.04423225574185	4.96548048798967	5.06501236676862
ENSG00000163644.15|PPM1K	4.24731628045341	4.44052125372798	4.29621010510841	4.39162742907298
ENSG00000163655.16|GMPS	6.88785113198954	6.89023483035857	6.80345037809401	6.9746355842541
ENSG00000163659.13|TIPARP	5.99226218288479	5.97347414020286	5.98670121325154	5.97903510983611
ENSG00000163660.11|CCNL1	7.25817490091198	7.06465412005197	7.12314004949025	7.1996889714737
ENSG00000163661.4|PTX3	5.50047899002581	5.43255257771293	5.38663139416148	5.54640017357726
ENSG00000163666.10|HESX1	-0.20546178227859	-0.786972014610399	-1.29356992878426	0.301136131895268
ENSG00000163681.14|SLMAP	4.976808578379	4.95973151227928	4.96486005566778	4.9716800349905
ENSG00000163682.16|RPL9	8.73637984384341	8.68871908959136	8.69631163250226	8.72878730093251
ENSG00000163683.12|SMIM14	4.94179811367122	4.81013776019332	4.86203508592731	4.88990078793723
ENSG00000163684.11|RPP14	4.73663058194802	4.77052767043884	4.72889117200999	4.77826708037687
ENSG00000163686.14|ABHD6	3.25008790865421	3.46955669982434	3.47850210382566	3.24114250465288
ENSG00000163694.15|RBM47	1.66544434143494	0.869826113881057	1.19580069735528	1.33946975796071
ENSG00000163697.17|APBB2	6.74653656588265	6.69297024389321	6.77388862146329	6.66561818831257
ENSG00000163701.19|IL17RE	0.532316858656975	1.07750857242962	0.90459888466952	0.705226546417071
ENSG00000163702.20|IL17RC	4.63075982817386	4.55082191788156	4.57310011860416	4.60848162745125
ENSG00000163703.17|CRELD1	4.89361062530455	4.65533125215763	4.89127327999469	4.65766859746748
ENSG00000163704.12|PRRT3	2.89806920697638	2.90388810760033	2.88079043449069	2.92116688008601
ENSG00000163710.9|PCOLCE2	1.99276253247207	1.78470415105675	1.90884225257716	1.86862443095166
ENSG00000163714.17|U2SURP	7.49867553584084	7.50582914838282	7.46966497821299	7.53483970601066
ENSG00000163719.19|MTMR14	5.19009250456227	5.23770128576122	5.32185384255519	5.10593994776829
ENSG00000163728.11|TTC14	5.8948176052472	5.83655267449134	5.85026784739016	5.88110243234838
ENSG00000163738.18|MTHFD2L	4.53337310938103	4.15855874459285	4.29278873383046	4.39914312014342
ENSG00000163743.13|RCHY1	5.02629645184911	4.80046799782876	4.83110583495403	4.99565861472384
ENSG00000163754.17|GYG1	5.84665385071444	5.88593928177044	5.81903074130514	5.91356239117974
ENSG00000163755.8|HPS3	5.5917596804772	5.60487936771759	5.53885684285821	5.65778220533658
ENSG00000163781.13|TOPBP1	7.23643845399821	7.44913661504869	7.18032204807696	7.50525302096994
ENSG00000163785.12|RYK	6.55454016581557	6.39109269142127	6.52171213363627	6.42392072360056
ENSG00000163788.14|SNRK	6.27366342007567	6.28072511499857	6.25383687936314	6.30055165571111
ENSG00000163794.6|UCN	-0.16096585837349	-0.143086918663974	-0.108688038679517	-0.195364738357947
ENSG00000163795.14|ZNF513	4.45863969709731	4.41670305226351	4.52734710560524	4.34799564375557
ENSG00000163798.13|SLC4A1AP	5.66445722573356	5.59132875294305	5.5727862269928	5.68299975168381
ENSG00000163803.13|PLB1	0.0156792537681497	0.262071766515776	0.125658953879351	0.152092066404574
ENSG00000163806.16|SPDYA	-0.0616479375982633	-0.0794858303180969	-0.197331700130391	0.0561979322140305
ENSG00000163807.6|KIAA1143	5.93683249431676	5.92595777442727	5.88186876639244	5.98092150235159
ENSG00000163808.17|KIF15	6.1713731397243	6.43184359946179	6.20543240902946	6.39778433015663
ENSG00000163811.12|WDR43	6.04677915263409	5.99564843924902	5.95753263563853	6.08489495624457
ENSG00000163812.14|ZDHHC3	5.57272716650252	5.52855021974026	5.63710066964857	5.46417671659421
ENSG00000163818.17|LZTFL1	3.23062622133864	3.1404965666989	3.15630985665366	3.21481293138388
ENSG00000163820.15|FYCO1	4.39756794698691	4.19750433986671	4.42575721736728	4.16931506948633
ENSG00000163832.16|ELP6	4.54018203624431	4.68375285589646	4.67351080515156	4.55042408698921
ENSG00000163840.10|DTX3L	5.99744929541239	6.17443305403906	6.03195716112071	6.13992518833073
ENSG00000163848.19|ZNF148	5.91653352743412	5.80871590096998	5.86727360375484	5.85797582464926
ENSG00000163866.9|SMIM12	5.23079217763043	5.14317418946686	5.21452079498595	5.15944557211134
ENSG00000163867.17|ZMYM6	4.24775943749757	4.31454214257946	4.20275453186067	4.35954704821636
ENSG00000163870.15|TPRA1	4.31914893083527	4.12822918502881	4.27007189591843	4.17730621994564
ENSG00000163872.16|YEATS2	6.93221152218073	6.97248599099281	7.00635178512498	6.89834572804856
ENSG00000163873.10|GRIK3	8.08757663269988	7.99718866242733	8.06291848945162	8.02184680567558
ENSG00000163874.11|ZC3H12A	1.21165655116788	0.9778187984824	1.27825044758658	0.911224902063699
ENSG00000163875.15|MEAF6	5.90527177459124	6.04107994067975	5.88915553618539	6.0571961790856
ENSG00000163877.11|SNIP1	4.2413377508643	4.25582306337824	4.27217097755516	4.22498983668737
ENSG00000163879.11|DNALI1	4.16691808208924	4.32347568259064	4.25287783924114	4.23751592543873
ENSG00000163882.9|POLR2H	5.55616303568829	5.36844444573059	5.55092475927129	5.37368272214759
ENSG00000163884.4|KLF15	4.1891996988507	4.42550066714773	4.36575897042937	4.24894139556906
ENSG00000163888.4|CAMK2N2	3.54288346898121	3.96416932901455	3.86433294642138	3.64271985157439
ENSG00000163900.11|TMEM41A	3.98622065436499	4.26501060345813	4.07958186347828	4.17164939434483
ENSG00000163902.12|RPN1	7.79376221908397	7.86251101408496	7.84730716323828	7.80896606993065
ENSG00000163904.13|SENP2	6.13068717877668	6.14687061518349	6.09158685601409	6.18597093794607
ENSG00000163913.11|IFT122	5.35171998170066	5.58899171775005	5.44518314432058	5.49552855513012
ENSG00000163918.10|RFC4	6.00762764801302	6.22047820253103	5.9915129329884	6.23659291755564
ENSG00000163930.10|BAP1	6.76181113432505	6.84354292506513	6.77741259324654	6.82794146614364
ENSG00000163931.16|TKT	7.64903186985034	7.62547115569321	7.63898612907473	7.63551689646881
ENSG00000163932.14|PRKCD	3.10467636386244	3.07157449313952	3.17195230493376	3.00429855206819
ENSG00000163933.10|RFT1	4.16865504128418	4.1743301850941	4.08291118750386	4.26007403887441
ENSG00000163935.14|SFMBT1	3.90546127414528	3.90097843198475	3.82138958516126	3.98505012096877
ENSG00000163938.17|GNL3	6.28704539464221	6.31732512665091	6.32913960361165	6.27523091768146
ENSG00000163939.18|PBRM1	6.16843368132474	6.15415043860797	6.14975642308142	6.17282769685129
ENSG00000163945.16|UVSSA	5.98075468711897	5.75188810581815	5.86468088175244	5.86796191118469
ENSG00000163947.11|ARHGEF3	3.42621478209386	3.41226302975667	3.33416445626395	3.50431335558658
ENSG00000163950.13|SLBP	6.42535032387997	6.48409414357333	6.34747480922932	6.56196965822398
ENSG00000163956.12|LRPAP1	6.94962215084562	6.87725117097793	7.00497641831656	6.82189690350699
ENSG00000163959.10|SLC51A	-0.13091854974821	0.528744887120558	0.442215854601598	-0.0443895172292496
ENSG00000163960.12|UBXN7	6.81118344001887	6.83012804629504	6.80592474699893	6.83538673931498
ENSG00000163961.4|RNF168	5.60866862521789	5.84504615665503	5.64912802087732	5.8045867609956
ENSG00000163964.14|PIGX	5.07533507689059	5.20460397795462	5.0310986576155	5.24884039722971
ENSG00000163975.12|MELTF	2.28623971972652	2.48473850291677	2.5153539026948	2.25562431994849
ENSG00000163995.20|ABLIM2	1.4397378066736	0.741613156708116	1.08799495022348	1.09335601315824
