	Ctrl_602_R1B1	LMP_602_R1B1	Ola_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000134744.14|TUT4	6.09985024998924	6.11955579064988	6.23587247315221	6.14020462859367	6.15093849400192	6.13951810050981	6.14159091090739	6.16343563696588
ENSG00000134748.13|PRPF38A	6.57336805255429	6.47113188291543	6.49865477367387	6.51212767314238	6.57314219021052	6.45527414256226	6.45886079776692	6.56800525174627
ENSG00000134758.14|RNF138	5.22190485661323	5.36569950268266	5.35697820755882	5.38126080764604	5.28029117314492	5.29006821100372	5.2391612077966	5.51632278255553
ENSG00000134759.14|ELP2	6.10373883671483	6.18257352641473	6.22570374807042	6.05379148125959	6.23460320798025	6.16514881741356	6.13605807225881	6.02999749480694
ENSG00000134769.21|DTNA	5.65019314038041	5.51696559899136	5.57481768817098	5.65232598756355	5.56096754171509	5.53760248505532	5.73910755239779	5.55662483593811
ENSG00000134775.15|FHOD3	4.71102474051571	4.58482396731543	4.89207482559396	4.41982030918021	4.7025798489921	4.55900006435939	4.76831783497998	4.57784609427383
ENSG00000134779.15|TPGS2	6.68107675035056	6.67972490869436	6.69317158356166	6.79545510393262	6.65179450958264	6.68882578658469	6.7217310916475	6.78707695872437
ENSG00000134780.10|DAGLA	4.26737545006159	4.43646144403761	4.42783459980312	4.53779422080102	4.14645697929918	4.36631302409449	4.55789607504322	4.59879963626644
ENSG00000134809.9|TIMM10	5.02748573993902	4.9427300677247	4.77141124458234	4.78943034270247	4.87689962006325	4.84655450392114	4.8891826545863	4.91842061637784
ENSG00000134815.19|DHX34	4.6668721342592	4.67036655393578	4.76441314087187	4.78234316036828	4.63762167704514	4.81611348681649	4.81678258596388	4.61347723960962
ENSG00000134824.14|FADS2	8.633619268559	8.51050031211523	8.45904258900622	8.54337604074506	8.46103983810612	8.61854386158883	8.54486474471182	8.52208976601875
ENSG00000134825.15|TMEM258	5.03711301589998	4.96208684819396	5.04695424137175	4.90605347096295	5.14980904430832	4.85948480983185	5.12489974153175	4.81801398075671
ENSG00000134851.13|TMEM165	5.61160474266113	5.53133949306175	5.66282532788247	5.60616254426977	5.64428547015866	5.5823868476406	5.63802045360345	5.54723933647242
ENSG00000134852.15|CLOCK	4.88234814753895	5.07287065735988	5.01632589052268	5.10512165361672	5.07834639074398	4.95942646826898	4.97864743246951	5.06024605755575
ENSG00000134853.12|PDGFRA	9.54021806256708	9.62481881118615	9.72259750579724	9.63772600319494	9.66083029304285	9.60184989832985	9.66083029304285	9.60184989832985
ENSG00000134864.10|GGACT	-0.306813199601655	-0.132693810624737	-0.524233467654046	-0.221789606031162	-0.0892382270069567	-0.0522383129351238	-0.370837765687357	-0.673215778282162
ENSG00000134871.18|COL4A2	8.30087670727998	8.06532102035266	8.29207204562345	8.04058706168039	8.25693524315999	8.14123170414369	8.29801508649003	8.00267480114277
ENSG00000134874.17|DZIP1	5.79806440902988	5.93072481682356	5.76684604062179	5.85034112376512	5.83916872892292	5.85023664051538	5.76160300294198	5.89496801786007
ENSG00000134882.15|UBAC2	5.10940985543547	4.80617517083164	4.81743957869173	4.89145350119089	5.00746550942117	4.88886285763892	4.93555163058984	4.79259810849981
ENSG00000134884.15|ARGLU1	7.22067648491105	7.25411230757245	7.21658418730157	7.22379714436214	7.33324417775659	7.19964911004758	7.09510557216001	7.28717126418304
ENSG00000134897.14|BIVM	4.7781584525048	4.86854153577054	5.03408929629761	4.97730122175723	4.93193835758397	4.90934760304681	4.7466327147755	5.07017183092391
ENSG00000134899.20|ERCC5	5.37192088181509	5.2504531767829	5.25947687895612	5.37299397126766	5.37951053789794	5.37686164601308	5.23652026440594	5.26195246050481
ENSG00000134900.12|TPP2	6.08106700666939	6.10093795025795	6.10530282606271	6.05658429328351	6.22584002320894	6.04455045333356	6.07070424176049	6.00279735797056
ENSG00000134901.13|KDELC1	4.34639228001589	4.16397583250995	4.17208761063336	4.41516564919713	4.19835161929236	4.18835742981498	4.27820420163411	4.4327081216149
ENSG00000134905.17|CARS2	5.00478120952599	4.94589946799146	4.92127227264377	4.98558533442424	4.97663655963382	4.96465547485878	5.05136335602518	4.86488289406769
ENSG00000134909.18|ARHGAP32	5.78316835615692	5.7204728237216	5.67793240601681	5.49614123464058	5.74131831193973	5.62845290834614	5.71252787930842	5.59541572094162
ENSG00000134910.13|STT3A	7.46025596931914	7.40988347897305	7.46578565293593	7.58544615017496	7.45791037098608	7.47198947938728	7.50135075375362	7.4901206472761
ENSG00000134940.13|ACRV1	0.827588566801288	1.07629226152343	0.719107002326726	1.09617151442113	0.997272348982124	0.94723052685152	0.677580390296238	1.09707607894269
