	Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000166016.6|ABTB2	4.14031862691561	4.1949419847825	4.00214498853933	4.33311562315879
ENSG00000166024.13|R3HCC1L	4.13189421061667	4.27731859797675	4.29380399813137	4.11540881046205
ENSG00000166025.18|AMOTL1	7.21852545379387	7.20362676930534	7.19266945116002	7.22948277193918
ENSG00000166033.13|HTRA1	6.18821685240874	6.04806905055012	6.23584676471177	6.00043913824709
ENSG00000166037.11|CEP57	5.97644247571131	6.12856027035955	5.99646952247926	6.10853322359159
ENSG00000166046.11|TCP11L2	0.295403496125643	0.0693675795124855	0.0362413577884026	0.328529717849725
ENSG00000166068.13|SPRED1	7.45544134520439	7.48110574750839	7.63526347089185	7.30128362182093
ENSG00000166073.10|GPR176	4.67335472708511	4.8286707809094	4.62542407780892	4.87660143018558
ENSG00000166086.12|JAM3	7.71627977063334	7.55256883360474	7.76823672150641	7.50061188273167
ENSG00000166091.21|CMTM5	0.503259975027076	0.124111340521479	-0.0865964322506065	0.713967747799161
ENSG00000166106.3|ADAMTS15	4.58581062558509	4.52366609887011	4.61235422718066	4.49712249727454
ENSG00000166123.14|GPT2	5.8656648144607	5.78911912679952	5.76859254157886	5.88619139968136
ENSG00000166128.13|RAB8B	6.96174001443814	7.11906458294051	7.00773583981609	7.07306875756256
ENSG00000166130.15|IKBIP	4.31421292051391	4.41202134882723	4.34811955382022	4.37811471552092
ENSG00000166133.18|RPUSD2	4.7231846716326	4.38492870311931	4.49151844334474	4.61659493140717
ENSG00000166135.14|HIF1AN	6.1562857191655	6.16877400711605	6.18637943021759	6.13868029606397
ENSG00000166136.16|NDUFB8	5.56376325857763	5.3597595734839	5.38359560324825	5.53992722881328
ENSG00000166140.17|ZFYVE19	5.54005553184627	5.5739676730891	5.43555255715674	5.67847064777863
ENSG00000166147.13|FBN1	3.09097573672073	2.92214686818793	3.2505411944124	2.76258141049625
ENSG00000166153.16|DEPDC4	0.152342025184716	-0.160786697861814	-0.253228198077544	0.244783525400446
ENSG00000166164.15|BRD7	7.42787144374901	7.30023954748134	7.39872758645422	7.32938340477612
ENSG00000166165.13|CKB	8.31816563338344	8.43617851087821	8.28253550692941	8.47180863733225
ENSG00000166166.13|TRMT61A	4.28623751935588	4.20559702783132	4.1140346479247	4.3777998992625
ENSG00000166167.18|BTRC	5.26950824612282	5.18995738679596	5.2853382210651	5.17412741185368
ENSG00000166169.17|POLL	3.8564316482294	3.82902136102606	3.75653030091534	3.92892270834011
ENSG00000166170.9|BAG5	6.5137069243288	6.54584002983867	6.47865016790397	6.58089678626349
ENSG00000166171.13|DPCD	2.86988560488384	3.25137690507368	2.87667921190606	3.24458329805147
ENSG00000166173.10|LARP6	4.29708151574473	4.41348819512966	4.30386757167433	4.40670213920007
ENSG00000166181.13|API5	7.26353749568119	7.41842436044248	7.35421916520498	7.32774269091869
