	LMP_827_R1B1	LMP.Olap_827_R1B1	LMP_827_R2B1	LMP.Olap_827_R2B1	LMP_827_R3B2	LMP.Olap_827_R3B2
ENSG00000143603.19|KCNN3	3.56250643994387	4.24329958127041	3.52708071578612	4.21717173111393	3.7397285683613	4.03530066569586
ENSG00000143612.20|C1orf43	7.65136433054904	7.75428916904937	7.74970794421776	7.72320039625163	7.72057957213664	7.71870134789725
ENSG00000143614.10|GATAD2B	6.2041032897415	6.33989386442073	6.64183976524976	6.24287590567562	6.32235703106072	6.39199938148309
ENSG00000143621.17|ILF2	8.05501447793201	7.95507316756485	7.76399927744896	7.82884207934857	7.91897861421822	7.88248588692898
ENSG00000143622.11|RIT1	5.80284191711474	5.88207003102351	6.1974174690471	5.94596423646702	5.93529033937275	5.97885648745344
ENSG00000143624.14|INTS3	7.8807870909458	7.83004279677951	7.62045128182294	7.82402296991009	7.75965670604864	7.81799536368054
ENSG00000143630.10|HCN3	4.26622005844846	4.0589961938771	4.04417149411525	4.10282013088522	4.12235098324247	4.11375295542054
ENSG00000143633.13|C1orf131	4.62794597365938	4.94640569886741	4.64952276866178	4.6545062161831	4.73845271320919	4.70073761547664
ENSG00000143641.10|GALNT2	8.58870520433183	8.76020018130179	8.28048936252303	8.69692291362561	8.5403774379063	8.62278139298484
ENSG00000143643.13|TTC13	5.60220576834866	5.66406183890535	5.59731006212195	5.39612431138629	5.55818335858978	5.57166763179135
ENSG00000143653.10|SCCPDH	6.17747771881745	6.30730852917161	6.27285303846744	6.18024694563058	6.26871226020812	6.20023085583543
ENSG00000143669.13|LYST	4.29261295682836	4.5488605828727	4.12932109076094	4.30798270631712	4.13174566088367	4.50764300750589
ENSG00000143674.11|MAP3K21	3.1955384219596	2.80402551836987	3.01876169856311	2.94314796947189	2.92243049945661	3.05830630472562
ENSG00000143702.16|CEP170	7.39938946787392	7.33561736613736	7.40414606349709	7.18220331638997	7.34105471919883	7.31962338775035
ENSG00000143727.16|ACP1	5.92603872204871	5.83297340365083	6.18617265038147	5.94493353398848	5.95212610061209	5.99293305442266
ENSG00000143740.14|SNAP47	5.30273803324506	5.42559017625521	5.09142356252011	5.43694253803995	5.38356521341555	5.24478194161462
ENSG00000143742.13|SRP9	8.51834568506989	8.59988013503557	8.52282306604068	8.55004895809594	8.53970921708339	8.55583970503766
ENSG00000143748.18|NVL	5.27001099241094	5.36639050378203	5.36116163837811	5.14975622755647	5.28639118737802	5.28726849368576
ENSG00000143751.10|SDE2	5.53791222152811	5.77980924622826	5.65097974848016	5.51293358896389	5.57995467070416	5.66086273189605
ENSG00000143753.13|DEGS1	6.00317893623591	6.11815007695176	6.0692481980719	6.02981297146584	6.08565194950006	6.02454314186264
ENSG00000143756.12|FBXO28	5.91204356913665	6.10506752096984	5.71049976923056	5.86817196709018	5.92437455044743	5.87351686276619
ENSG00000143761.16|ARF1	8.42807192199465	8.28132601786003	8.45861838663072	8.46576114141625	8.4074124442368	8.40947628971402
ENSG00000143768.13|LEFTY2	-0.295443982945426	-0.105037737882902	0.0534162057048734	0.987903314066145	-0.189580064880041	0.509998964351386
ENSG00000143771.12|CNIH4	5.7003234540358	5.63459984339356	5.67068367537458	5.67359110795695	5.63965985282957	5.69993918755087
ENSG00000143772.9|ITPKB	7.82729155498248	7.92082830813408	8.22394133547044	8.22181147430582	8.01293253690757	8.08400379953884
ENSG00000143774.16|GUK1	6.00521577428427	5.85392834376075	6.46802818769055	6.41394295393706	6.33720562865367	6.03335200118265
ENSG00000143776.18|CDC42BPA	6.89020873769493	6.96321514287588	6.82087132771747	6.89549810270584	6.81943139549819	6.96546525999888
ENSG00000143786.8|CNIH3	7.25386636348986	7.51135950658487	7.22679334157544	7.37758981896399	7.29317080465154	7.39163371065555
ENSG00000143793.13|C1orf35	4.31567496138893	4.26972801927138	4.14816324909967	4.30086470180521	4.19877142269176	4.31844404309083
ENSG00000143797.12|MBOAT2	5.70098214034063	5.69102445847296	6.20111037951312	5.7795179063929	5.84068328705368	5.84563415530612
ENSG00000143799.13|PARP1	8.97234591492573	8.92842430737846	8.70814860111523	8.73084269212551	8.83368386019003	8.83619689758243
ENSG00000143801.17|PSEN2	5.34058908112928	5.21664319119991	5.05550888619393	5.2637673242037	5.26443740454339	5.17381683682002
ENSG00000143811.19|PYCR2	7.25890039736004	7.32272704446874	6.91646833338366	7.31362842193065	7.21055470888632	7.19530738968523
ENSG00000143815.15|LBR	6.81772981938557	6.50411026001316	6.97882342933462	6.56905060635931	6.81469749048576	6.62015956706057
ENSG00000143816.8|WNT9A	-0.383349883531436	0.33147855731013	0.146412473953567	0.286286270703367	0.163768749806343	0.0266449594114711
ENSG00000143819.12|EPHX1	6.59341626932313	6.72071465553932	6.63045675064267	6.67632157248021	6.56921416334446	6.7412404606482
ENSG00000143842.15|SOX13	6.91386309641642	6.69963253137797	6.57240516292413	6.79424716751577	6.73400470832879	6.75606927078835
ENSG00000143845.15|ETNK2	4.28343990901839	4.29314463392821	4.57422555550151	4.57151640912913	4.47085326663604	4.39030998715259
ENSG00000143847.15|PPFIA4	4.16947544651461	4.15983896200443	5.83519290323408	5.12706773065347	4.77270232972644	4.87308519147686
ENSG00000143850.15|PLEKHA6	3.60507400752532	3.43847494783915	3.40501888005006	3.65180161429375	3.34585660964139	3.70432811521276
ENSG00000143862.8|ARL8A	5.71061674258028	5.72575675524891	5.70938967020621	5.65739273188862	5.71311731480683	5.68846063515518
ENSG00000143867.7|OSR1	0.668025273973992	2.16482543341507	0.248688220644787	1.74485680141901	1.2577735783805	1.15542428634593
ENSG00000143870.12|PDIA6	8.81841701786886	8.76932121530956	8.88119845334137	8.64843450168186	8.76730481946907	8.79138077463176
ENSG00000143878.9|RHOB	5.50088761107068	5.60210076299018	5.81394538137406	6.00900310780423	5.70078851525393	5.76217991636564
ENSG00000143882.12|ATP6V1C2	1.15393870985198	0.437770161781201	1.48217435678317	1.02889158584273	1.29477710275264	0.756610304376901
ENSG00000143889.16|HNRNPLL	5.56643309710696	5.44723772047233	5.40754006441043	5.33500989051279	5.48412926289106	5.3939811233602
ENSG00000143891.17|GALM	4.1310201694202	4.15086096431517	4.32984114416857	4.11179039411978	4.12731042297175	4.23444591304011
ENSG00000143919.15|CAMKMT	1.17111200755505	0.974355375252173	1.20266035639956	1.3171239255747	1.52288222193581	0.809743610454933
ENSG00000143924.19|EML4	7.25007738615155	7.25532221798769	7.0456106042751	7.05667530944117	7.2000801001841	7.10376265874366
ENSG00000143933.17|CALM2	8.82181014903449	8.87325932328952	8.57397019899094	8.658004099032	8.76259799130184	8.70092389387164
ENSG00000143942.5|CHAC2	2.22151987822185	2.23665264040849	2.01822096148176	2.09528957405611	2.19778741567327	2.08805411141084
ENSG00000143947.13|RPS27A	8.56450158556563	8.62919013258477	8.76131141634328	8.52157995507761	8.70968878636943	8.52860275841622
ENSG00000143951.16|WDPCP	2.94607828115028	2.85898863825599	3.1055846989155	2.66207226566964	3.0785467211245	2.70781522087121
ENSG00000143952.20|VPS54	5.65945370933977	5.84110467355203	5.9632894699094	5.77911226614517	5.75550037610549	5.8659796833677
ENSG00000143970.16|ASXL2	5.87408113682546	5.90164489666453	5.61390336964944	5.67863386801566	5.68736988263909	5.84676175293846
ENSG00000143971.8|ETAA1	4.08236146130785	4.05791498005678	4.2015322670255	4.40412111629546	4.35611754854149	4.0168473638013
ENSG00000143977.14|SNRPG	4.68238490121906	4.72259720375747	4.60895359543962	4.72848279819903	4.79911433210881	4.57209491719879
ENSG00000143994.14|ABHD1	0.969204807910875	1.11528090663065	0.816673229718297	0.438879525423072	0.706542201219043	0.963477033622405
ENSG00000143995.20|MEIS1	4.48113371505551	4.47210620451518	4.44572034532119	4.18433713051437	4.35394401849476	4.43770467920837
ENSG00000144021.2|CIAO1	6.85306388289328	6.88779803313954	6.71017651070824	6.81820203617295	6.75265576066208	6.88196447079493
ENSG00000144026.12|ZNF514	4.62624359865422	4.73706041469682	5.25607388640713	4.84252186510355	4.89923859604985	4.83171128638101
ENSG00000144028.15|SNRNP200	8.86886412330695	8.87094808928685	8.7542005582296	8.84696011915354	8.8585898227495	8.81189662223896
ENSG00000144029.12|MRPS5	4.6681583739644	4.78725867015306	5.17366143344344	4.84023453744569	4.86319073257938	4.87146577492392
ENSG00000144034.14|TPRKB	3.9315978583868	4.0028494278726	4.02294821358527	3.81997301856824	4.03287320638811	3.85581105281834
ENSG00000144036.15|EXOC6B	4.93327071004828	5.14601991313144	4.91324346516456	4.99889923760804	4.85570666470293	5.14000999827323
ENSG00000144040.12|SFXN5	5.36735059529245	5.30043528667209	4.77584447216856	5.28970664814784	5.12831607857561	5.23835242256486
ENSG00000144043.12|TEX261	5.58615218989996	5.65571966113803	5.29265938454816	5.46190180560817	5.46580778272629	5.53240873787087
ENSG00000144045.14|DQX1	0.466808184091526	1.18691876081359	0.869752254423678	0.788821408587252	0.688427479464912	0.96772282449311
ENSG00000144048.10|DUSP11	3.63477054741446	4.09584669025337	4.2130284443141	3.87725057508832	3.917418502789	3.99302962574613
ENSG00000144061.12|NPHP1	3.8036533494173	3.64132262629871	3.68040876210736	3.55243728005379	3.58194616625429	3.75696484268429
ENSG00000144118.14|RALB	5.44997065120543	5.71529559578573	5.63047403853081	5.49343378212271	5.53343448216681	5.61115255165554
ENSG00000144120.13|TMEM177	3.78966480226379	3.61421357834519	3.52142346988255	3.77367139464206	3.6884111546477	3.66107546791909
ENSG00000144134.18|RABL2A	3.91230907908928	4.30284622697039	4.19642034041623	4.01385908382866	3.8996550537194	4.31306231143289
ENSG00000144136.11|SLC20A1	6.89237776390626	7.10162510203967	7.59797369337723	6.99355631540365	7.12095023973191	7.17181619763149
ENSG00000144152.13|FBLN7	2.86098023936412	2.64233710019921	3.06437841747767	3.04769188686411	2.76078002187593	3.04691380007662
ENSG00000144161.13|ZC3H8	4.36474430451303	4.693137825711	4.08493352455257	4.37560801682767	4.35918140862992	4.40003042717222
ENSG00000144182.17|LIPT1	2.02722161390821	1.7996389017482	1.84852096365199	1.98512382685543	1.89171611620652	1.9385365368754
ENSG00000144191.11|CNGA3	1.5201730232058	1.0404214847244	1.87136487567533	1.33347432738108	1.52631373459007	1.35640312090324
ENSG00000144199.11|FAHD2B	2.73224417052378	2.74920725434545	2.61127093426617	2.71639464343367	2.66915624661106	2.73540225467348
ENSG00000144224.17|UBXN4	7.46864964903835	7.54035213216365	7.38543784021172	7.40238142315127	7.41366257843315	7.48474794384934
ENSG00000144228.8|SPOPL	4.61832180782752	4.4564481838743	4.88827467098015	4.4545608393172	4.61185754058987	4.59694521040972
ENSG00000144231.11|POLR2D	6.1095628584507	6.22434933283941	5.91306860652594	6.02762613646644	6.03997647070251	6.09732699643874
ENSG00000144233.9|AMMECR1L	5.90777619990649	5.96853409124601	5.88922666593656	5.71265002994516	5.88406477087257	5.85502872264454
ENSG00000144283.21|PKP4	5.10323301099838	5.07624627205109	4.82520078971505	5.08984652215634	4.92337083018741	5.12389246727302
ENSG00000144306.14|SCRN3	4.89736437389322	5.16795880112293	4.81925063926194	4.86410751419524	4.90891643761543	4.96542422662124
ENSG00000144320.14|LNPK	6.90604572875684	7.13143868711182	7.47505887108194	7.22186532737155	7.13729108411731	7.22991322304377
ENSG00000144354.14|CDCA7	4.91997588292552	4.60108406423794	4.98248529045521	4.37177443361342	4.86114804722249	4.57651178839356
ENSG00000144355.15|DLX1	3.41909684116425	2.90236167713162	2.87172057350174	2.92858213155577	3.04189763930798	3.01898297236872
ENSG00000144357.16|UBR3	5.51776988221255	5.44641231077226	5.59484536900809	5.4087691091075	5.36659888155773	5.61729945399247
ENSG00000144362.12|PHOSPHO2	0.578533428261384	1.17459794694224	0.932012232962871	0.696558734637883	0.66439428281133	1.02645688859086
ENSG00000144366.16|GULP1	4.67717602009319	4.78277223807674	4.67753504905506	4.40166209671826	4.60328537761357	4.66628732435806
ENSG00000144369.13|FAM171B	6.47554818303445	6.80864767838173	6.44855800295335	6.63262033450296	6.42805982743108	6.75462727200516
ENSG00000144381.17|HSPD1	9.60983522873019	9.54769835300226	9.37456297036696	9.29871824924802	9.49437917245155	9.42102822822217
ENSG00000144395.18|CCDC150	2.75473082786999	2.43164630226656	2.47777847809918	2.44460156896275	2.51930063026557	2.53507795833367
ENSG00000144401.14|METTL21A	3.96728273772843	3.87583615746331	3.57967421499796	3.75165450872987	3.95531788849486	3.63190592096493
ENSG00000144406.18|UNC80	2.41178864405589	2.31709736632396	1.58909676729225	1.87239465828079	2.06092618186168	2.03426253611477
ENSG00000144426.18|NBEAL1	2.98341963502756	3.09301123013152	3.56564375807927	2.80071526377044	3.04792991532086	3.17346502818354
ENSG00000144445.17|KANSL1L	3.69002441118824	3.70561647399755	3.91909559583171	3.62644052729025	3.76477266619378	3.7058158379601
ENSG00000144451.19|SPAG16	3.6835827023133	3.73658909951881	3.82399588754481	3.6717721543854	3.8346376201543	3.62333230172686
ENSG00000144452.15|ABCA12	0.751454405077288	1.73406735241361	0.137089766122322	1.28633261060332	0.773244630652277	1.18122743645599
ENSG00000144455.14|SUMF1	5.08362473391601	5.07693038312932	5.08635920523483	5.02350632731855	5.04103892736688	5.09417139743247
ENSG00000144468.17|RHBDD1	4.65930403018708	4.78974974834831	4.78476592205604	4.66326789085412	4.66796860115882	4.78057519456397
ENSG00000144476.6|ACKR3	2.50985681080272	1.66806111502538	2.00775099095132	1.74596667767241	2.19875114242908	1.76706665479684
ENSG00000144481.17|TRPM8	3.90050229878003	4.38494343865446	3.75229250325479	4.03274043440089	3.93472542991752	4.10051390762756
ENSG00000144485.11|HES6	3.06643659739742	3.06612973037129	2.46017031888908	2.81001478072975	2.91320757984533	2.78816813384845
ENSG00000144488.15|ESPNL	2.90231673412211	3.02838509871473	2.70706061124915	3.11377657884295	2.98994632349	2.88582318797447
ENSG00000144504.15|ANKMY1	3.7598156979748	3.78396536173007	3.52301747802482	3.94580990890503	3.64081247796701	3.86549174535035
ENSG00000144524.17|COPS7B	5.66582467745525	5.50837818462564	5.65462865559924	5.55786272086527	5.53738914242168	5.65595797685103
ENSG00000144535.19|DIS3L2	4.60783483409125	4.70399405047412	4.74684198116722	4.49968842250773	4.65295949579662	4.62622014832354
ENSG00000144554.10|FANCD2	5.69235957397479	5.73329608694026	5.55244562768281	5.71896877450464	5.63216443393307	5.71637059761819
ENSG00000144559.10|TAMM41	4.31002744070062	4.23028789088921	4.12940291321997	4.3008035952175	4.27241830106784	4.21284261894581
ENSG00000144560.15|VGLL4	7.76710543153257	7.9530875983005	7.94041097842196	7.9055447005142	7.83779118321964	7.94528317116498
ENSG00000144566.11|RAB5A	5.97882935108446	6.06536277666298	6.20209207758007	6.01249646479282	5.99773192933168	6.13165840572849
ENSG00000144567.11|RETREG2	6.74876873826203	6.73808148486989	7.33728321547888	6.9407124743481	6.96600369711475	6.9164192593647
ENSG00000144579.7|CTDSP1	5.45624791328511	5.25739576959051	5.34728788017862	5.66605834804742	5.47687001194184	5.38662494360899
ENSG00000144580.13|CNOT9	6.48517280853259	6.34177493843119	6.33928356687351	6.38066094415995	6.4113898825443	6.36205624645432
ENSG00000144583.5|MARCH4	5.53423935193789	5.28753472253251	5.10608829618338	5.08094678195766	5.29260816056069	5.21179641574503
ENSG00000144589.22|STK11IP	5.41756553440575	5.09197130932173	5.59711785709127	5.40437818993811	5.49330395668409	5.26221248869434
ENSG00000144591.18|GMPPA	5.80186528750191	5.6813047354542	5.97547810640412	5.72241153606715	5.81578576444701	5.77474406826668
ENSG00000144596.13|GRIP2	4.66536548972066	4.44537103134097	5.05286404421853	4.78442134414967	4.85795739860886	4.61605355610606
ENSG00000144597.14|EAF1	6.03620382424157	6.27069465709635	6.37140772703587	6.15345290329279	6.12637688353802	6.28950267229527
ENSG00000144635.9|DYNC1LI1	6.14922105543487	6.02094467698591	6.10840953268296	5.99032604515234	6.0893040693163	6.04514658581175
ENSG00000144644.14|GADL1	1.94009894241499	0.990254507068578	1.68412723381833	1.80937870583833	1.80560861048328	1.40632108408684
ENSG00000144645.13|OSBPL10	4.59251827196934	4.71689075814937	4.76153911397892	4.8050699783208	4.63798724537733	4.80002181583189
ENSG00000144647.6|POMGNT2	5.06734060754106	4.74499059755505	4.905101086827	4.93432428188388	4.92451400925918	4.90136427764432
ENSG00000144655.15|CSRNP1	5.09631488753579	5.06049122551898	6.73444375011386	5.45557292960054	5.71823169585524	5.45517970052934
ENSG00000144659.12|SLC25A38	5.49489776365028	5.63171821853414	5.56664040411863	5.50121642238611	5.57981919320746	5.51741721113712
ENSG00000144674.16|GOLGA4	7.21376133846386	7.36365087217956	7.29866468950954	7.09930768153411	7.21459410954357	7.27309818129997
ENSG00000144677.15|CTDSPL	5.30884596189301	5.31425324509038	5.20211627865014	5.12173803266486	5.19992483640157	5.27355192274763
ENSG00000144711.16|IQSEC1	6.90695042704573	7.02073978849038	7.05839305902307	7.0347549890694	7.02661677425459	6.98380235755969
ENSG00000144712.12|CAND2	4.90633518211184	4.60106196210862	4.35148622623198	4.84288802952941	4.58504582470913	4.7658398752818
ENSG00000144713.12|RPL32	8.67120197345452	8.75273694237033	8.8898984656203	8.68295909440756	8.79534989903268	8.70304833889367
ENSG00000144724.20|PTPRG	6.77062325796942	6.74073407306033	7.05452846851387	6.89015492053396	6.80304339163397	6.92497696840482
ENSG00000144730.18|IL17RD	5.76185717424123	5.44897173948118	6.17949347693007	5.76361666531704	5.76026648103632	5.81670304694844
ENSG00000144736.14|SHQ1	4.5044085599468	4.6626166661964	4.41350891518822	4.44224856420085	4.57082974162398	4.44056161114215
ENSG00000144741.17|SLC25A26	3.57855550739931	3.54432960865731	4.14011689808714	3.71413368242308	3.79886279571141	3.689705052572
ENSG00000144744.17|UBA3	6.78073818731559	6.84250327243631	6.71361168491264	6.7719218655559	6.7863328437261	6.76805466138412
ENSG00000144746.7|ARL6IP5	6.77740837612883	6.87000270917018	6.85135992591307	6.79190518052227	6.82956629584851	6.81577180001867
ENSG00000144747.17|TMF1	6.43649848526404	6.54128139375333	6.77928786895648	6.43546516448123	6.52719256820971	6.56907388801784
ENSG00000144749.13|LRIG1	9.02412365665206	9.02412365665206	9.13461953604033	9.20489007389766	9.07074224739184	9.12313621422922
ENSG00000144785.8|AC073896.1	1.88436658128152	1.83893318390602	1.37210140975275	1.7163534992198	2.25922869688007	1.14664864019998
ENSG00000144791.10|LIMD1	6.6623475286199	6.64014036833568	7.18305183564763	6.85198924837002	6.84892542629214	6.81983906419447
ENSG00000144792.9|ZNF660	4.56952086374711	4.93863684864229	4.42229623661971	4.52705781392095	4.55809483232676	4.67066104913827
ENSG00000144802.11|NFKBIZ	2.90636139779248	2.53844206874895	2.82576195801891	2.60282164575316	2.69545699523334	2.74123653992341
ENSG00000144815.16|NXPE3	5.74804343601893	5.83169094702902	5.58549447539861	5.69431083915023	5.73123137830243	5.69853847049598
ENSG00000144820.8|ADGRG7	-0.143534541877502	-1.01856153750113	-0.886457857858826	-1.30145641039997	-0.816640523235921	-0.858364650582794
