	Ctrl_923_R2B1	LMP_923_R2B1	Ctrl_923_R3B1	LMP_923_R3B1	Ctrl_923_R1B2	LMP_923_R1B2
ENSG00000101134.11|DOK5	2.52080986244221	2.45565891663772	2.24747446361892	2.48835812245414	2.18667480712891	2.66947587544758
ENSG00000101138.11|CSTF1	5.89064447613026	6.01247081110573	5.84948689709825	6.00215982665463	5.87945188991688	5.99792911557756
ENSG00000101144.13|BMP7	7.53333515870175	7.32633738031685	7.72841309318742	7.47800767387391	7.64383699678384	7.38920965625613
ENSG00000101146.13|RAE1	6.6564828256083	6.76181532069738	6.70189957422158	6.66152301296637	6.67494759176964	6.71591277497718
ENSG00000101150.17|TPD52L2	7.36811290598725	7.65585079664556	7.30917621474914	7.73375432406764	7.37861042194401	7.65483669878079
ENSG00000101152.11|DNAJC5	6.97884738959539	7.06789971788109	7.25249593832478	7.2435909409652	7.12803024168096	7.14338675170228
ENSG00000101158.14|NELFCD	7.67895336270417	7.77054665412443	7.7013682932914	7.73711284498991	7.72634743574443	7.71764314181053
ENSG00000101161.8|PRPF6	7.2668056349291	7.24762158846186	7.31702845353543	7.37203830507281	7.25373361778054	7.34801337321905
ENSG00000101162.3|TUBB1	-1.43645034405023	0.0364277604349721	0.0928516502043395	0.310222595247182	-0.37972828133772	-0.11874588774415
ENSG00000101166.16|PRELID3B	5.29270005630987	5.0389173625713	5.00222427796163	4.91701715864831	5.12659304454707	4.99883638319849
ENSG00000101181.17|MTG2	5.25736570783393	5.43120745133404	5.53371350207848	5.67614046148779	5.4036065173587	5.54560704400842
ENSG00000101182.15|PSMA7	7.7314563812891	7.55867601812793	7.65518045889222	7.72422545706171	7.69301038625665	7.64175877142883
ENSG00000101187.16|SLCO4A1	5.77141011098356	5.58879380265398	5.94672733259406	5.69190440181447	5.80900330853015	5.69041451549288
ENSG00000101189.7|MRGBP	5.58185452356015	5.68761473062186	5.66822154583511	5.54283484798126	5.6380289675284	5.60223385647079
ENSG00000101190.12|TCFL5	4.81025473403833	4.72260512368457	4.72308429355895	4.42317991410278	4.66730423059084	4.67225780210148
ENSG00000101191.16|DIDO1	7.16855821056066	7.19438895867539	7.27940014747216	7.24080583569545	7.21491035551639	7.22666622068545
ENSG00000101193.8|GID8	6.87036393820821	6.78156607702246	6.83365773934051	6.90019760445564	6.81365335050173	6.87923932901168
ENSG00000101198.15|NKAIN4	2.09343887133936	1.1008025237407	1.95164843226562	1.01983596245126	1.85082425127458	1.23203864362389
ENSG00000101199.13|ARFGAP1	7.09413893575401	7.30398321926428	7.44859255122722	7.65803285226252	7.30801348255456	7.44436029669946
ENSG00000101203.16|COL20A1	7.01480443661513	7.07678953788002	7.61391524654197	7.46022308607625	7.32675984427777	7.25610630927891
ENSG00000101210.12|EEF1A2	7.81249784315451	8.15055714668033	8.09202789731136	8.46686586697341	7.93412208151413	8.32685229554569
ENSG00000101216.11|GMEB2	4.86473580268627	4.90728241748884	5.13661201975901	5.02966570787521	5.0589065774471	4.91024139645757
ENSG00000101220.17|C20orf27	5.51925015131969	5.64571687562457	5.90713081271742	6.08435642539953	5.71843252263669	5.85979460989392
ENSG00000101224.17|CDC25B	8.14892273084133	8.50964393673335	8.3236500364209	8.71821825641955	8.26518733257315	8.58503014763442
ENSG00000101236.17|RNF24	5.72150552130076	5.88382807538328	5.76076472323223	5.81631023868722	5.84692205761066	5.74428222169108
ENSG00000101246.20|ARFRP1	4.66909560774192	4.97362278656414	5.11453253239584	5.06081427387017	4.91865564674663	4.99037695353941
ENSG00000101247.18|NDUFAF5	4.19771199114829	3.95371988045171	3.89426060934026	4.05232369230913	4.13142717050115	3.91758091612355
ENSG00000101255.11|TRIB3	4.53417940652389	4.37506693697312	4.30078346748282	4.3933599555584	4.46031657015218	4.34137831311694
ENSG00000101265.16|RASSF2	7.86991254367689	7.40829865593548	7.76355322768495	7.30075686225138	7.85237093390914	7.31888971086521
ENSG00000101266.19|CSNK2A1	8.56457155786361	8.58987114730613	8.52499931332442	8.47766063987328	8.58948588753821	8.48906544164551
ENSG00000101290.14|CDS2	7.77518714105585	7.73882296475504	7.71220758153475	7.74026862052185	7.69975118048393	7.78349197344982
ENSG00000101294.17|HM13	7.48560507054808	7.42949820144581	7.52459366968439	7.49941359113196	7.46784470569549	7.50171056070963
ENSG00000101298.15|SNPH	1.12960963430136	0.681678240482229	1.05844328568863	0.973823367272409	0.842346570665917	1.0794306932064
ENSG00000101306.10|MYLK2	-0.548240305402926	0.245591245702724	0.405857622575537	0.743244775600851	0.353365754134948	0.069860915103145
ENSG00000101307.15|SIRPB1	-0.652124125986698	-1.35577861393563	-0.43193760470609	-0.232629306491231	-0.402498271863113	-0.933736553696711
ENSG00000101310.16|SEC23B	7.2422735590355	7.22665977657077	7.17525513957983	7.12361763264311	7.21130154074668	7.17260151316792
ENSG00000101333.16|PLCB4	4.86949843088873	4.98852185856137	4.9582388413399	4.56158143138193	4.93311073260711	4.75580954847886
ENSG00000101337.15|TM9SF4	7.88378232328216	7.83524074293436	7.82600236290521	7.90820771761202	7.82548195197852	7.90113462138837
ENSG00000101343.14|CRNKL1	6.1234281431744	6.09891609443763	5.94673938255059	5.91714615216435	6.02526967459748	6.01784521156601
ENSG00000101346.14|POFUT1	8.06694106142297	8.01257934436249	8.09558416351353	8.07619120169277	8.05830976396329	8.06733812153258
ENSG00000101347.9|SAMHD1	5.01768841724756	4.82799442617563	4.93424223210379	4.88039904304682	4.98121421453671	4.84894784475019
ENSG00000101350.8|KIF3B	7.33292991055188	7.29441196681625	7.28379253371316	7.29216213019123	7.33483586455668	7.26681240607959
ENSG00000101353.14|MROH8	0.308705295449611	0.875031684290769	0.228105454580418	0.138533894089006	0.246095281165802	0.529092883039101
ENSG00000101361.17|NOP56	9.14859988564729	9.19375839748877	9.21802158446711	9.11189870090026	9.16213740619582	9.17400187805589
ENSG00000101363.12|MANBAL	6.26459516096243	6.29313678625643	6.20905428121603	6.23735893269113	6.32199693001295	6.18007565055006
ENSG00000101365.21|IDH3B	6.95626597763263	6.94032227872837	7.01820871387826	7.02605057779108	6.99723224772252	6.97319152629265
ENSG00000101367.9|MAPRE1	8.60608400638173	8.45104713492968	8.49099983841437	8.45001129332461	8.53789829170075	8.46117284482445
