	Ola_602_R1B1	LMP.Olap_602_R1B1	Ola_602_R2B2	LMP.Olap_602_R2B2
ENSG00000167220.12|HDHD2	5.80497839033763	5.72417225342481	5.75274216211028	5.77640848165216
ENSG00000167232.14|ZNF91	6.13906980721882	5.9887764902558	6.08710106894837	6.04074522852624
ENSG00000167244.20|IGF2	8.90551837918963	9.03613470580352	8.99707654638314	8.94457653861
ENSG00000167257.11|RNF214	5.63662841420439	5.57782714921464	5.58708807891678	5.62736748450225
ENSG00000167258.13|CDK12	6.58863698335376	6.62871560682481	6.59834201627768	6.61901057390088
ENSG00000167264.18|DUS2	4.19609396271108	4.42022478033819	4.35349883749726	4.26281990555201
ENSG00000167272.10|POP5	4.14475124122234	4.13135451398422	4.09643764696026	4.1796681082463
ENSG00000167280.16|ENGASE	4.96643805976094	4.84231863966948	4.89011372170566	4.91864297772476
ENSG00000167283.8|ATP5MG	6.14800765281373	6.18120367834487	6.17191787360021	6.15729345755838
ENSG00000167291.16|TBC1D16	7.18309060545716	7.21641065661476	7.23322120760353	7.16628005446839
ENSG00000167302.10|TEPSIN	4.24415789942136	4.35360573402868	4.38202750912097	4.21573612432908
ENSG00000167306.20|MYO5B	7.44414490223472	7.33784584825267	7.48004068849223	7.30195006199515
ENSG00000167315.18|ACAA2	6.21648583803718	6.35690800535092	6.20513941806813	6.36825442531997
ENSG00000167323.11|STIM1	5.60282617348413	5.6874730886466	5.69636683713284	5.59393242499789
ENSG00000167325.15|RRM1	7.44601868296511	7.81643765616318	7.41137788527407	7.85107845385422
ENSG00000167333.13|TRIM68	3.94535024163622	3.73215672683804	3.79997789498692	3.87752907348734
ENSG00000167363.14|FN3K	3.71249577866904	4.02857688376035	3.80277584043493	3.93829682199446
ENSG00000167371.20|PRRT2	4.82102638156304	5.1025441880711	4.86188120147252	5.06168936816162
ENSG00000167377.18|ZNF23	4.47883827142327	4.44533683679087	4.45527094445991	4.46890416375422
ENSG00000167378.8|IRGQ	6.07226493936878	6.20152098372272	6.13059091416723	6.14319500892426
ENSG00000167380.16|ZNF226	5.27093107012678	5.35570258062592	5.28411223797684	5.34252141277586
ENSG00000167384.10|ZNF180	4.01804704117032	4.17767186605963	3.97723214477688	4.21848676245307
ENSG00000167393.17|PAR|Y|PPP2R3B	4.36895335606629	4.2863721667147	4.3626693661863	4.29265615659468
ENSG00000167393.17|PPP2R3B	4.36895335606629	4.2863721667147	4.3626693661863	4.29265615659468
