	Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000074842.7|MYDGF	5.48737625621151	5.44464750348159	5.48863657900844	5.44338718068467
ENSG00000074855.11|ANO8	5.12297318900576	5.34882924938281	5.15011228652029	5.32169015186827
ENSG00000074935.14|TUBE1	5.28227277318234	5.33140517083074	5.33384083960572	5.27983710440736
ENSG00000074964.17|ARHGEF10L	5.33802777253152	5.23551703126288	5.3513010902908	5.2222437135036
ENSG00000075043.18|KCNQ2	3.31473638354958	3.38475878623791	3.25732739541701	3.44216777437047
ENSG00000075089.9|ACTR6	4.34963347788007	4.5857242977433	4.45246966998014	4.48288810564323
ENSG00000075131.10|TIPIN	3.53900516189275	3.2509089491311	3.39386636538348	3.39604774564037
ENSG00000075142.13|SRI	8.76167477985277	8.46754275119348	8.75590980890164	8.47330772214461
ENSG00000075151.20|EIF4G3	7.4086282166147	7.05761914086432	7.40988996243976	7.05635739503926
ENSG00000075188.9|NUP37	4.45879826912094	4.52344367667731	4.49842343374681	4.48381851205143
ENSG00000075213.11|SEMA3A	7.33485510304685	7.25118448743665	7.40724269465143	7.17879689583207
ENSG00000075218.19|GTSE1	5.74863301020175	6.29800103733737	5.87147641452939	6.17515763300973
ENSG00000075234.17|TTC38	3.93917171854119	3.88826084400487	3.91359574743631	3.91383681510974
ENSG00000075239.13|ACAT1	6.89466165686185	6.8571223848479	6.8943494390627	6.85743460264705
ENSG00000075240.17|GRAMD4	4.73422039575228	4.69341996263908	4.71808168708176	4.7095586713096
ENSG00000075275.16|CELSR1	5.10027986653777	5.31322683908521	5.15774526839451	5.25576143722847
ENSG00000075292.19|ZNF638	7.28571281075155	7.31416968973609	7.34221672912275	7.2576657713649
ENSG00000075303.13|SLC25A40	4.8358027721366	5.16691963604466	4.94147833877909	5.06124406940217
ENSG00000075336.12|TIMM21	5.23275107714421	5.21301156697318	5.15038699821439	5.29537564590301
ENSG00000075340.23|ADD2	6.27247599058585	6.50157824034791	6.25604154951669	6.51801268141706
ENSG00000075391.16|RASAL2	4.21738385158844	4.43289471209788	4.49295196481527	4.15732659887104
ENSG00000075399.14|VPS9D1	5.44609501495142	5.32098117113702	5.42624504220609	5.34083114388236
ENSG00000075407.18|ZNF37A	6.89703040783307	6.76096555807005	6.94676703789299	6.71122892801013
ENSG00000075413.18|MARK3	6.86122549552785	6.7561535642672	6.84683751820671	6.77054154158834
ENSG00000075415.12|SLC25A3	7.71778779871839	7.67275652231891	7.78458293157589	7.60596138946142
ENSG00000075420.13|FNDC3B	6.95289672681021	6.73346726944293	7.01966499662492	6.66669899962822
ENSG00000075426.12|FOSL2	4.49396216660458	4.72892556767923	4.46324831836571	4.7596394159181
ENSG00000075461.6|CACNG4	6.62523050821737	6.6734239485138	6.56939316811959	6.72926128861158
ENSG00000075539.14|FRYL	6.35527832900167	6.26359151481327	6.39661584004727	6.22225400376767
ENSG00000075568.17|TMEM131	6.94826611757417	6.72941055684491	6.91760507766093	6.76007159675815
ENSG00000075618.18|FSCN1	8.46181758009656	8.55239814285934	8.5198515782966	8.49436414465929
ENSG00000075624.15|ACTB	11.1979249248396	11.1296885708686	11.1638067478541	11.1638067478541
ENSG00000075651.16|PLD1	3.33372472166513	3.53398461462994	3.32330410226863	3.54440523402643
ENSG00000075702.18|WDR62	6.42672259529792	6.92304941184219	6.39883856523185	6.95093344190826
ENSG00000075711.20|DLG1	6.73439216072994	6.61393053789595	6.83242756050718	6.51589513811871
ENSG00000075785.12|RAB7A	8.11190355809722	7.95859348532678	8.11403757582541	7.95645946759859
ENSG00000075790.10|BCAP29	6.88123365727115	6.93757777232216	6.89244541678241	6.92636601281089
ENSG00000075826.17|SEC31B	3.92441136623487	3.96716880884357	3.9864256029318	3.90515457214664
ENSG00000075856.12|SART3	6.26804361048541	6.24648629124093	6.15792193716058	6.35660796456575
ENSG00000075914.13|EXOSC7	4.63985880205842	4.39793919056657	4.56253669645485	4.47526129617014
ENSG00000075945.13|KIFAP3	5.24198982517572	5.09932362313758	5.08003231029462	5.26128113801868
ENSG00000075975.16|MKRN2	5.49334498407582	5.47858264373737	5.54588485137754	5.42604277643564
ENSG00000076003.5|MCM6	7.60883932440142	7.5030812191683	7.55526569484846	7.55665484872126
ENSG00000076043.10|REXO2	4.39394495311029	4.46819375545418	4.43896668815092	4.42317202041355
ENSG00000076053.10|RBM7	4.17136788875739	4.04963126540209	4.18792550769773	4.03307364646175
ENSG00000076067.13|RBMS2	4.84175671760764	4.8231528068125	4.88323043740143	4.78167908701871
ENSG00000076108.11|BAZ2A	6.85966906362286	6.93597256277809	6.80162291855543	6.99401870784553
ENSG00000076201.15|PTPN23	5.80213630823506	5.77038318135936	5.76341296352702	5.8091065260674
ENSG00000076242.14|MLH1	5.9937527091417	5.82484240047525	5.91676597652888	5.90182913308806
ENSG00000076248.10|UNG	5.86512058634256	5.65804339748184	5.78569839352844	5.73746559029596
ENSG00000076258.10|FMO4	1.95337758338099	0.921525115526212	1.63486045629397	1.24004224261324
ENSG00000076321.11|KLHL20	5.62358708812855	5.6142009445763	5.60430009321209	5.63348793949275
ENSG00000076344.16|RGS11	3.86733570629218	4.2822216211784	3.88138066788274	4.26817665958784
ENSG00000076351.13|SLC46A1	4.99111366457878	5.06158464488988	4.91403928407236	5.13865902539629
ENSG00000076356.7|PLXNA2	6.06706194629228	5.87122206426577	6.15532708955452	5.78295692100353
ENSG00000076382.17|SPAG5	7.69974814055008	8.04298502465242	7.67076171975141	8.07197144545109
ENSG00000076513.16|ANKRD13A	4.60502845498186	4.94636309064362	4.78803020435758	4.76336134126791
ENSG00000076554.15|TPD52	3.81707649184765	3.93971930791784	3.85314335344486	3.90365244632063
ENSG00000076555.15|ACACB	4.03482843759112	3.89779135945645	3.88271030522988	4.04990949181769
ENSG00000076604.15|TRAF4	7.83648009761277	7.72524259366003	7.76364405464082	7.79807863663199
ENSG00000076641.4|PAG1	6.24922614305423	6.30852530683897	6.32643406513643	6.23131738475677
ENSG00000076650.6|GPATCH1	4.44549639505611	4.41846592076571	4.43198872481079	4.43197359101103
ENSG00000076685.18|NT5C2	6.28246464487923	6.18886857430366	6.22505213811819	6.2462810810647
ENSG00000076706.17|AP002956.1	7.35013850907283	7.48766359975247	7.30063583782852	7.53716627099678
ENSG00000076716.9|GPC4	4.70202402859956	4.90570134007286	4.68763635828118	4.92008901039124
ENSG00000076770.14|MBNL3	5.71171748721975	5.90176491333259	5.8309158609886	5.78256653956374
ENSG00000076826.9|CAMSAP3	1.58883487449738	1.34452098929713	1.66959339128091	1.2637624725136
ENSG00000076864.19|RAP1GAP	4.97449161422829	4.68663176143159	4.78244150067964	4.87868187498023
ENSG00000076924.12|XAB2	6.18361065297161	6.1062221033169	6.11149913939543	6.17833361689308
ENSG00000076928.17|ARHGEF1	6.07773015378319	5.95423829235649	5.97801355385705	6.05395489228264
ENSG00000076944.16|STXBP2	0.928340550634159	1.21528165556267	1.22908814585037	0.914534060346455
ENSG00000076984.17|MAP2K7	5.39690091389298	5.24559957495582	5.41615178377892	5.22634870506988
ENSG00000077044.10|DGKD	6.2444044220649	6.07166537863783	6.22007180531338	6.09599799538935
ENSG00000077092.19|RARB	1.03880501294426	1.04479963353406	0.674315775130123	1.4092888713482
ENSG00000077097.15|TOP2B	8.44885830795569	8.39895661921657	8.46210225705896	8.38571267011329
ENSG00000077147.16|TM9SF3	7.11080057439654	7.14267357129361	7.17052910888	7.08294503681016
ENSG00000077150.19|NFKB2	4.37211017617434	4.72430564855414	4.32664234658714	4.76977347814135
ENSG00000077152.10|UBE2T	6.3280376250283	6.6084647250218	6.31702016005876	6.61948218999134
ENSG00000077157.22|PPP1R12B	5.46706122895323	5.38018919379511	5.52297581940958	5.32427460333876
ENSG00000077232.18|DNAJC10	6.80976658810385	6.71728074288784	6.8510533151722	6.67599401581949
ENSG00000077235.18|GTF3C1	7.78146732066633	7.84836148845601	7.77152705398457	7.85830175513776
ENSG00000077238.14|IL4R	2.13725873405305	2.15953489122285	1.98054113470843	2.31625249056747
ENSG00000077254.14|USP33	5.90562532848828	5.9666239741006	5.93482035602735	5.93742894656152
ENSG00000077264.15|PAK3	0.993205803494885	0.730703222785438	0.852828065818775	0.871080960461546
ENSG00000077279.18|DCX	2.38088610511036	2.73317024234078	2.45181588314525	2.66224046430589
ENSG00000077312.9|SNRPA	6.12782013334228	6.11690247082505	6.07231033838463	6.17241226578271
ENSG00000077348.9|EXOSC5	3.41961270157821	2.97329117053412	3.24813728399575	3.14476658811658
ENSG00000077380.15|DYNC1I2	7.65192280088818	7.615284006042	7.65866721393317	7.60853959299701
ENSG00000077454.16|LRCH4	5.64083751111194	5.85708381744089	5.77528986521461	5.72263146333822
ENSG00000077458.13|FAM76B	5.68729814478522	5.87533483872715	5.66828729690353	5.89434568660884
ENSG00000077463.15|SIRT6	4.19853591101562	4.23127883526377	4.10983380712793	4.31998093915145
ENSG00000077514.8|POLD3	5.61014839252889	5.92609668784212	5.50248678660121	6.03375829376979
ENSG00000077522.13|ACTN2	2.72658202835918	2.06665660966743	2.52252766811814	2.27071096990846
ENSG00000077549.18|CAPZB	7.83807531660925	7.60912423442021	7.79832386435925	7.6488756866702
ENSG00000077585.14|GPR137B	4.48732052315848	4.2233032005514	4.48731945596518	4.2233042677447
ENSG00000077684.16|JADE1	6.04871704732164	6.19842133096118	6.06189190158787	6.18524647669495
ENSG00000077721.16|UBE2A	5.92816913889283	6.02433743422985	5.96470518776284	5.98780138535984
ENSG00000077782.20|FGFR1	8.13991959254463	8.14555909426903	8.16465539761842	8.12082328919523
ENSG00000077942.19|FBLN1	1.30865444623538	2.11630356153676	1.46661469627427	1.95834331149786
ENSG00000078018.19|MAP2	9.8478762749317	9.63508930048934	9.94674649097889	9.53621908444216
ENSG00000078043.16|PIAS2	6.77395470403728	6.66025098569619	6.78873794987667	6.6454677398568
ENSG00000078053.17|AMPH	1.13604602351174	0.376427330511713	1.10160446587495	0.410868888148501
ENSG00000078061.13|ARAF	6.14893987269688	5.95937898045883	6.01637730103408	6.09194155212162
ENSG00000078070.13|MCCC1	5.230733232565	5.08863545116597	5.15300318623474	5.16636549749622
ENSG00000078098.14|FAP	-0.199428056994627	-0.557455632035366	-1.00610296879183	0.249219279761834
ENSG00000078124.12|ACER3	5.55386628468127	5.65221333132305	5.70071348821802	5.5053661277863
ENSG00000078140.14|UBE2K	6.82572220184688	6.95496804536804	6.92232090688421	6.8583693403307
ENSG00000078142.13|PIK3C3	5.73834198608144	5.73879452536317	5.87169425525865	5.60544225618596
ENSG00000078177.14|N4BP2	4.77592938564009	5.08246463026892	4.97084953551465	4.88754448039436
ENSG00000078237.7|TIGAR	5.05595536170954	5.00604591109813	5.03100063640384	5.03100063640384
ENSG00000078246.17|TULP3	5.92750939487034	6.08925533202927	6.02665521959229	5.99010950730732
ENSG00000078269.15|SYNJ2	5.32715114509132	5.47077740778161	5.48986668704318	5.30806186582975
ENSG00000078295.16|ADCY2	6.1484862554545	5.67607045058456	6.19576426206168	5.62879244397736
ENSG00000078304.19|PPP2R5C	7.82363093423244	7.96130042925066	7.95911862690771	7.8258127365754
ENSG00000078319.9|PMS2P1	3.78844654737141	3.69321618783658	3.79135932016835	3.69030341503963
ENSG00000078369.18|GNB1	7.73468218563374	7.58234432244126	7.71763352557494	7.59939298250005
ENSG00000078399.18|HOXA9	-0.388003480030407	-0.377922468128565	0.0597018755174693	-0.825627823676441
ENSG00000078403.17|MLLT10	5.78511503961523	5.61921828152811	5.7262894465078	5.67804387463553
ENSG00000078487.17|ZCWPW1	3.18862155283522	3.48157326828431	3.13076064814427	3.53943417297527
ENSG00000078549.14|ADCYAP1R1	2.08561098416483	1.56839519377255	1.96760236192154	1.68640381601584
ENSG00000078618.21|NRDC	7.16613494473323	7.21803791949294	7.23878129732506	7.1453915669011
ENSG00000078668.14|VDAC3	6.89414870330709	6.93893290743156	6.9008318207035	6.93224979003515
ENSG00000078674.17|PCM1	7.90320652328295	8.08356493354392	7.99031130610273	7.99646015072414
ENSG00000078687.17|TNRC6C	6.18595748843616	6.12563139696274	6.1471131622481	6.16447572315079
ENSG00000078699.21|CBFA2T2	6.01905660333389	6.35503909897795	6.10089832227175	6.27319738004008
ENSG00000078747.14|ITCH	7.02786288205737	7.06959955039224	7.09785648144819	6.99960595100143
ENSG00000078804.13|TP53INP2	5.89443722182797	5.94917562850479	5.87915208631108	5.96446076402168
ENSG00000078808.16|SDF4	5.57502487343503	5.30088411023612	5.38459156828497	5.49131741538618
ENSG00000078814.15|MYH7B	1.20829487323863	0.814179286026091	1.03361413580371	0.988860023461006
ENSG00000078900.15|TP73	2.82346359206822	3.5622925856768	2.82425344696072	3.5615027307843
ENSG00000078902.16|TOLLIP	5.32159110409423	5.26447566869789	5.22361454778825	5.36245222500387
ENSG00000078967.13|UBE2D4	5.1112602919341	4.63972309610659	4.91966969950819	4.83131368853249
ENSG00000079102.16|RUNX1T1	4.13906160549351	3.89334826142023	4.01643423864027	4.01597562827348
ENSG00000079134.12|THOC1	5.85663440699859	5.67851818259917	5.79212149778214	5.74303109181562
ENSG00000079150.18|FKBP7	3.41882649882373	3.15791301792136	3.37834046772468	3.19839904902041
ENSG00000079156.17|OSBPL6	6.09750867841432	6.04860876101657	6.17882647613656	5.96729096329433
ENSG00000079215.14|SLC1A3	8.57196894318622	8.27090675914305	8.65489581254268	8.18797988978659
ENSG00000079246.16|XRCC5	9.10277963297167	9.09771542615719	9.09624528643711	9.10424977269175
ENSG00000079277.20|MKNK1	1.60563079660022	0.664583960632543	1.78540912624036	0.484805630992403
ENSG00000079308.19|TNS1	3.37177164816872	3.37585422762057	3.49442857657046	3.25319729921883
ENSG00000079313.15|REXO1	5.9472986867206	5.99239001905282	5.87530841789775	6.06438028787566
ENSG00000079332.15|SAR1A	6.3121054215621	6.33038422805594	6.32243602222967	6.32005362738837
ENSG00000079335.20|CDC14A	2.55595926277411	2.84940939147874	2.80838511310567	2.59698354114719
ENSG00000079337.16|RAPGEF3	4.23032950676455	4.34366807021667	4.07161213784164	4.50238543913958
ENSG00000079387.14|SENP1	4.83506580939389	5.06209935522483	4.91585325738017	4.98131190723855
ENSG00000079432.7|CIC	6.87255183759044	7.10257650262406	6.92466865013503	7.05045969007947
ENSG00000079435.10|LIPE	2.6685384573968	3.16970723026995	2.56810401518857	3.27014167247818
ENSG00000079459.13|FDFT1	7.25222167393015	7.04195673321256	7.22525144325396	7.06892696388875
ENSG00000079462.7|PAFAH1B3	5.18644418411959	5.04362421392454	5.07385926052803	5.1562091375161
ENSG00000079482.13|OPHN1	5.4392626149956	5.48618679126433	5.48442241815903	5.4410269881009
ENSG00000079616.12|KIF22	7.12132065658826	7.27716680771421	7.0339483251142	7.36453913918828
ENSG00000079739.17|PGM1	5.66471564585365	5.57375758871021	5.63626981148825	5.60220342307561
ENSG00000079785.15|DDX1	6.98155656465383	6.88021927701207	7.01621837206272	6.84555746960317
ENSG00000079805.16|DNM2	7.51103378952228	7.48283428221467	7.3818347482712	7.61203332346575
ENSG00000079819.19|EPB41L2	7.22305458802758	7.24010892694257	7.23933678556075	7.22382672940939
ENSG00000079841.18|RIMS1	0.235311697376895	0.0283322368573705	0.555099064335952	-0.291455130101687
ENSG00000079950.14|STX7	4.41809954136418	4.52866313746498	4.52650214597745	4.4202605328517
ENSG00000079974.17|RABL2B	4.62230842102105	4.32969620980827	4.48320499510726	4.46879963572206
ENSG00000079999.14|KEAP1	6.81433984779194	6.92588528633778	6.71214198181996	7.02808315230975
ENSG00000080189.15|SLC35C2	5.82081197849946	5.74110660234147	5.76696844174606	5.79495013909486
ENSG00000080200.10|CRYBG3	4.42263819906006	4.56674456466784	4.47251806712855	4.51686469659935
ENSG00000080298.15|RFX3	0.923192867592507	-0.0315544984107877	0.212304305664565	0.679334063517154
ENSG00000080345.17|RIF1	6.72498425849859	6.94810883684774	6.76261538270876	6.91047771263757
ENSG00000080371.6|RAB21	5.45255484499903	5.50794936644174	5.48561711373841	5.47488709770236
ENSG00000080493.17|SLC4A4	4.14902800472491	4.07299369202632	4.42666065341079	3.79536104334044
ENSG00000080503.24|SMARCA2	6.43077382004206	6.59427902488622	6.44800232839266	6.57705051653561
ENSG00000080546.13|SESN1	4.2840522885589	4.22271536763508	4.37475252340079	4.13201513279319
ENSG00000080561.13|MID2	1.31585375210457	0.811837944969924	1.0346089396649	1.0930827574096
ENSG00000080573.7|COL5A3	3.34368358150872	2.36470298630383	2.99056252492349	2.71782404288906
ENSG00000080603.17|SRCAP	6.1103188430023	6.30324838566221	5.99164448626259	6.42192274240192
ENSG00000080608.10|PUM3	0.566335178218235	0.741352010833672	0.239022294680092	1.06866489437181
ENSG00000080644.16|CHRNA3	-0.309693617062919	-0.301300347351765	0.35853424058842	-0.969528205003104
ENSG00000080709.15|KCNN2	4.77002421662688	4.56522582292406	4.92230815059039	4.41294188896055
ENSG00000080802.18|CNOT4	4.26539129141464	4.24662967302525	4.27159907958901	4.24042188485088
ENSG00000080815.19|PSEN1	6.28744794174837	6.06269492395115	6.30242957469834	6.04771329100118
ENSG00000080819.8|CPOX	4.31339058160164	4.54662177773393	4.41772955991472	4.44228279942085
ENSG00000080822.17|CLDND1	6.26263795727131	6.19566176342981	6.24238721173704	6.21591250896407
ENSG00000080823.23|MOK	3.66794470581796	3.57813979957155	3.42491139652302	3.82117310886648
ENSG00000080824.18|HSP90AA1	10.7283152953506	10.9233786991653	10.7283152953506	10.9233786991653
ENSG00000080839.11|RBL1	5.84651148050285	6.10632044285765	5.85823828404183	6.09459363931867
ENSG00000080845.17|DLGAP4	6.81640585569069	6.62754470643463	6.83079640750972	6.6131541546156
ENSG00000080854.14|IGSF9B	2.57455892584594	2.02988142041102	2.43695086934835	2.16748947690861
ENSG00000080947.14|CROCCP3	2.73622301305828	2.47734470922195	2.64865030526914	2.56491741701109
ENSG00000080986.13|NDC80	6.21106608092473	6.52910646702246	6.23186968709617	6.50830286085102
ENSG00000081014.11|AP4E1	4.64734797662494	4.81760100847962	4.83531686139664	4.62963212370792
ENSG00000081019.13|RSBN1	4.30206865691698	4.37129274033629	4.33666463035593	4.33669676689735
ENSG00000081026.19|MAGI3	5.22091299064144	5.34125871915189	5.33708998640009	5.22508172339324
ENSG00000081052.12|COL4A4	4.40521238116569	4.22279427433182	4.34007558515893	4.28793107033858
ENSG00000081059.20|TCF7	2.37294555699556	2.75009403009523	2.19638927934957	2.92665030774121
ENSG00000081087.15|OSTM1	6.14646065959449	6.28122461967083	6.23661166347347	6.19107361579186
ENSG00000081148.12|IMPG2	1.42295896695383	0.183195226181259	0.639031761595663	0.967122431539426
ENSG00000081154.11|PCNP	6.6553261894089	6.60517660269152	6.64621185862484	6.61429093347558
ENSG00000081177.18|EXD2	4.58405804636045	4.62782339514983	4.71676211554296	4.49511932596732
ENSG00000081181.8|ARG2	2.26415450598664	2.82483646667477	2.41783692439577	2.67115404826564
