	Ctrl_923_R2B1	LMP_923_R2B1	Ola_923_R2B1	LMP.Olap_923_R2B1	Ctrl_923_R3B1	LMP_923_R3B1	Ola_923_R3B1	LMP.Olap_923_R3B1	Ctrl_923_R1B2	LMP_923_R1B2	Ola_923_R1B2	LMP.Olap_923_R1B2
ENSG00000169241.19|SLC50A1	3.21416988921845	3.30725724623446	3.1491657950674	3.52959265140477	3.1477520533651	3.46698874101679	3.37586921475539	3.38076742253011	3.27380508147792	3.33687571365949	3.09517317543217	3.57992753622665
ENSG00000169242.12|EFNA1	4.42374974093098	4.20845320549997	4.44794052350527	4.33354425341649	4.39915697328903	4.29057441623246	4.68569638529119	4.26425346758125	4.56101989689144	4.3371039477265	4.46149963987579	4.1670609983796
ENSG00000169246.16|NPIPB3	3.31291196776261	3.65865845421019	3.70000342311087	3.57677424584589	3.6308694792055	3.66197196364993	3.48693886077491	3.60389245362556	3.6098320216788	3.66162366608202	3.38656582538144	3.65798891095047
ENSG00000169247.12|SH3TC2	1.04782314440221	2.08621281900194	1.29193269585148	1.64106232434791	1.32180448316353	2.06231213798141	1.72789555914521	0.959088379884855	1.29628535633042	2.08287128851604	1.37570465298996	1.31420447405286
ENSG00000169248.12|CXCL11	-2.89938332747911	-4.67036516419136	-2.43541575125338	-2.13193994094941	-2.28906980558587	-3.46935287886762	-1.74476149396034	-0.901100749782323	-1.67758178926878	-1.71981064852407	-4.73919793115593	-2.13410418708593
ENSG00000169249.12|ZRSR2	3.97283472359452	4.07662312648576	4.04183303954611	4.24098245574444	4.03632263390065	4.18005602776861	4.00447583719958	4.08183219835265	4.09753963764733	4.04814566621166	3.97357921395541	4.19821550348175
ENSG00000169251.12|NMD3	6.32961227205655	6.20439108282902	6.29683856770611	6.30917019834963	6.0254256076382	6.09964391341318	6.23283792229329	6.38154160259746	6.18043841769997	6.27219760274999	6.26254541754021	6.22454914545156
ENSG00000169255.15|B3GALNT1	5.95617985755631	5.67453851623599	5.80992426507153	5.61509008154196	5.73301214480907	5.57319808607579	5.8247608422623	5.69191508234347	5.80710096341758	5.76198947342892	5.80717835731556	5.56304064378614
ENSG00000169258.7|GPRIN1	5.68541619543942	5.70911324297629	5.70057855335788	5.57410341036995	5.74210598536435	5.6371242605459	5.89963152330497	5.56075223372361	5.65168858311351	5.68605855934417	5.67103490841967	5.74563065166385
ENSG00000169282.17|KCNAB1	-1.76026977304699	-0.879253278153852	-1.98506278112402	-0.892261036372268	-0.739333107720801	-1.30040649051554	-1.59235061381018	-0.565336400890883	-1.54658899125988	-0.813117324615883	-0.981721271960314	-1.51570915298119
ENSG00000169288.18|MRPL1	4.17433373352082	3.81516200822229	3.96174948429923	3.70754760201161	3.8992739984009	3.84142083042197	3.71217836286142	3.80667910049714	4.009758788341	3.95031223924226	3.90623342631386	3.59286810622057
ENSG00000169299.14|PGM2	5.68745099011383	5.69455695510369	5.59487942161156	5.60881490949459	5.70822383489961	5.60462323457396	5.67638288665102	5.61309470672871	5.77446820057349	5.62799352036731	5.67987986886162	5.51167187978607
ENSG00000169302.16|STK32A	0.841185741633682	0.696234192757539	0.350039906372945	0.409984481776002	0.667559591281391	0.877213094492417	-0.251833062391706	0.627905200356596	0.884013288535472	0.29437678666351	1.2195758053392	-0.288821307398751
ENSG00000169330.8|MINAR1	1.66237262095254	1.50409651996041	1.48060128155679	1.04427987466884	1.13473555544053	0.801631118828226	1.24444841949118	0.661106299005621	1.56710931938497	1.09763004574066	1.257161565686	0.844734914140446
ENSG00000169359.15|SLC33A1	5.17914012081743	5.18993566180308	5.23282754390558	5.20608058159132	4.95407230488561	5.12503361835966	4.9828664503	5.06870747320109	5.09205737745497	5.03315923679936	5.2457925465149	5.09832271666265
ENSG00000169371.13|SNUPN	4.38950685362856	4.47835494412857	4.3593935560317	4.25874417984252	4.37009296389309	4.50602590575895	4.38150296925631	4.21154419126441	4.42975225027915	4.42908938430991	4.43219179654847	4.18654935076452
ENSG00000169372.13|CRADD	2.49744695737918	1.65162198224672	2.43102160307799	1.71040571330245	2.18689391925454	1.60957119407153	2.36448385293313	1.89474751514055	2.28485905906905	1.76385118354421	2.4389405225766	1.68544560351319
ENSG00000169375.15|SIN3A	6.79996904622594	6.91166049661076	6.76690582286696	6.8065236815848	6.81680487181798	6.84410401725525	6.78822848968634	6.86655538186908	6.83537525480831	6.78219156048908	6.81444013168569	6.86836895697547
ENSG00000169379.15|ARL13B	4.21213468760404	4.0637872561557	4.12122583726263	3.72439126767589	4.23805306519966	3.93138154860164	4.23522749887622	4.10700548788751	4.15369582689603	4.01226304737587	4.27297520900638	3.87766924135337
ENSG00000169398.19|PTK2	7.73937141755427	7.63101028279319	7.69242907671922	7.62966983176849	7.66437961002759	7.52449222381305	7.74472591752185	7.72229826243985	7.71102601548308	7.60303084415214	7.69280558337633	7.6673258683072
ENSG00000169410.9|PTPN9	6.344776559469	6.19491554001255	6.24305062491388	6.18612598727704	6.17028082795462	6.16110625396431	6.15089773236817	6.18112523869481	6.19543135010083	6.17808887167453	6.19866735477104	6.24395180578078
ENSG00000169418.10|NPR1	2.08450816264485	2.23526694444782	2.4142689740928	2.81882635918141	2.35542909191813	2.72336792946477	2.28403642240068	3.28066161955507	2.21097650035836	2.50860285462004	2.24390384663002	3.13469955024434
ENSG00000169436.17|COL22A1	5.27483651700829	5.1257497074275	5.33713518437338	5.25395455493868	5.30727363748223	5.00524508781685	5.24977846965772	5.04220182096024	5.30539913431609	5.06592329068762	5.26769527500437	5.15906978982437
ENSG00000169439.12|SDC2	0.0462948235511221	0.553340610637189	0.130288515316464	0.792106059484172	0.0444089090094915	0.220721466479485	0.0402225931251775	1.01002677806477	0.197540835111047	0.496547314011967	-0.492808537519836	1.21742526623075
ENSG00000169446.5|MMGT1	5.26686908057718	5.06031877296933	5.16621625927657	5.16482891891635	4.99295531522428	5.15563093956655	4.98582194756315	5.37146437750692	5.10799050626401	5.1020439034573	5.1226509752236	5.24936742085526
ENSG00000169490.17|TM2D2	5.11425821063892	5.24372496729324	5.16865556518794	5.4331775764555	5.15810746017803	5.39615158525018	5.20226286148584	5.34882836077833	5.23904493157891	5.26155245219087	5.20779350915401	5.32419240071021
ENSG00000169499.15|PLEKHA2	6.83433284401883	6.70672781720694	6.67433579503187	6.91302143181516	6.72930638631054	6.71153335030517	6.77347205281399	6.9192997282005	6.7433143618559	6.74923558352488	6.82082367380044	6.81764108367028
ENSG00000169504.15|CLIC4	7.94936432008592	7.77480010098078	7.74258858053915	7.58203146130971	7.69921276864577	7.60781650420071	7.63759205205489	7.73845374867943	7.84181554004144	7.7061281514079	7.76061369359461	7.55737238320424
ENSG00000169515.7|CCDC8	0.676032718928054	0.36083641794721	0.956603437753106	0.231240362373124	0.625497381742342	0.128665471927741	0.914477505024078	-0.215954505192475	0.802404408414889	0.539300517070663	0.269327097611716	0.227667372154321
ENSG00000169519.21|METTL15	4.30265854252418	4.16360014859473	4.40247863641531	4.05079147476005	4.0649054519504	4.07781687972221	4.15424632504258	4.17139524836138	4.47610956083998	3.89535076597865	4.3857217306177	3.93676429624909
ENSG00000169554.20|ZEB2	6.86948314298548	6.86046421417683	6.8687974297409	6.58379104888318	6.91399628736929	6.71571605264299	6.74232837949211	6.57517813043022	6.9074240265364	6.82757356606529	6.95604818149693	6.37383156876187
ENSG00000169562.10|GJB1	2.96809169825109	3.3492990069584	2.76421400411021	2.77735211782927	3.09663268165484	3.11243930769448	3.1275176783697	2.73989564850496	3.0560537900808	3.23492952259258	2.72412546180291	2.9526122972102
ENSG00000169564.6|PCBP1	7.54168114990409	7.48958111116137	7.57630323659739	7.44526732131831	7.60190355306166	7.48922047790562	7.59973377669838	7.37442340494111	7.59794915725364	7.4287565762587	7.54102070304736	7.49133057923426
ENSG00000169567.11|HINT1	7.05896393244935	6.89624255554109	7.00971220092939	6.70880971921302	6.90352027063949	6.85293492447164	6.96291670152072	6.67310276256861	6.96852288571138	6.86065594644676	6.9962668760442	6.70765582546431
ENSG00000169570.10|DTWD2	2.93669747210472	2.63484995238143	2.73244437106792	2.42660483306087	2.67416285560111	2.81348607347449	2.78368737806217	2.71546486760579	2.8651423704582	2.64990229572883	2.6550170978506	2.68863713764162
ENSG00000169592.15|INO80E	5.44419919366973	5.56517514517338	5.61525698900644	5.53599768213482	5.84332535521977	5.69968709847986	5.76236203736201	5.58226978712359	5.68557043636399	5.70108203903407	5.56606682538964	5.5714173432971
ENSG00000169598.15|DFFB	3.08737809302166	3.13808598591064	3.12995741079375	2.60717796455568	3.15724961346284	2.95535131731818	3.19743572238176	2.54330565269495	3.03254567623348	3.151150873288	2.89581009156555	2.8284642389827
ENSG00000169599.12|NFU1	3.89117538851135	4.13861799677462	3.84736303108066	3.90548327015475	3.97763096938915	3.92580325116071	3.90769526728545	3.99493930518271	4.0186249553443	3.95855956995238	3.88438087775446	3.93278883671855
ENSG00000169604.19|ANTXR1	7.26255000251348	7.1012162634649	7.2578318702738	6.86884751984736	7.27596658295119	6.94700460535705	7.1830401318378	6.952674080927	7.21723313254016	7.03812299608404	7.25224116785852	6.91696823210358
ENSG00000169607.13|CKAP2L	6.04363893801579	5.9286627914359	5.83133181048098	5.8739673854026	5.95063066989841	5.86010083550212	5.77815658571369	5.87619478049938	5.94812381225267	5.98894783337913	5.9082137059128	5.72605654692984
ENSG00000169609.14|C15orf40	4.64321379508091	4.75920299284333	4.55615202729081	4.48521719480718	4.7821448753327	4.4602354516609	4.55500107033957	4.57142527704541	4.67392006982415	4.67022031207442	4.58077045732525	4.48138550297659
