	Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000111962.8|UST	5.5638490541879	5.66849660984123	6.72713612021879	6.13779886879561	5.98135624007744	6.06728408644433
ENSG00000111981.5|ULBP1	2.04295287704178	2.0781946085659	3.56581048574174	2.57497986968813	2.82581984128438	2.30514907923439
ENSG00000112029.10|FBXO5	5.00405222069691	4.89665904964002	4.48640261005195	4.84488850846979	4.87246078736164	4.7435404070677
ENSG00000112031.16|MTRF1L	5.36665276082257	5.54368141396791	5.35145284289269	5.35870728765957	5.42013806411888	5.3901090885525
ENSG00000112033.14|PPARD	4.99238472300332	4.92049956830006	6.98374334360908	6.63185177498819	5.70638866540289	6.05785103954743
ENSG00000112039.4|FANCE	3.37158492478545	3.42703067757178	5.79102758120609	5.10811751423768	4.43024575223888	4.41863459666162
ENSG00000112062.10|MAPK14	5.87914901364991	5.80794345860511	5.66448577771521	5.79762837318366	5.77507923962892	5.79952407194803
ENSG00000112078.14|KCTD20	7.20331368942294	7.11017096083358	7.04908864815132	7.11748807665242	7.0718411110909	7.16818957643923
ENSG00000112079.9|STK38	5.63348433482452	5.59255107066154	5.36348436530874	5.28539702449922	5.4498636506033	5.48759474704372
ENSG00000112081.17|SRSF3	8.21358069341691	8.15539847334826	7.67018557687689	7.99773461136099	8.04023892984299	7.97821074765854
ENSG00000112096.18|SOD2	5.91524250973131	5.94655712550407	6.5186151577524	6.14089072417266	6.10943810006459	6.15121465851564
ENSG00000112110.10|MRPL18	5.17983809141479	5.14530704922721	4.94504306000108	4.92266704071461	5.09592454342813	5.00050307725072
ENSG00000112118.19|MCM3	7.9120752237283	7.74486801314114	7.06153003692492	7.57131678713481	7.64622863351815	7.49866639694644
ENSG00000112130.17|RNF8	4.60155510128571	4.52159504219264	4.31312254711934	4.370040733632	4.50778418955348	4.39537252256136
ENSG00000112139.16|MDGA1	5.44704101541184	5.45038422547316	5.01619359554268	5.21783293018729	5.27012795269469	5.29559793061279
ENSG00000112144.15|ICK	5.66633927233844	5.77405663923579	5.3326433958786	5.24900660264248	5.53080696401401	5.48021599103364
ENSG00000112146.16|FBXO9	6.130665526763	6.23231405087193	5.90737998024332	6.10404756557945	6.08776506106428	6.09943850066457
ENSG00000112149.10|CD83	3.68161011259749	3.52952219923721	3.66892424702961	3.31622033844512	3.70748093872344	3.39065750993128
ENSG00000112159.12|MDN1	5.4005417319832	5.32701813725727	5.05063566431677	5.02356278994419	5.28852411032052	5.1123550514302
ENSG00000112167.10|SAYSD1	3.17357063073474	3.50698776298403	3.20456939926603	3.40152216155704	3.31840287987923	3.32492209739169
ENSG00000112182.15|BACH2	3.28257071061166	3.39865044865984	3.27502576051994	3.40683632996688	3.27469741444622	3.40684421043294
ENSG00000112183.15|RBM24	-0.602415602413565	0.0598185801098172	0.174033673816305	-0.263887903069606	-0.518337673198702	0.202112047420178
