Ctrl_923_R2B1	LMP_923_R2B1	Ctrl_923_R3B1	LMP_923_R3B1	Ctrl_923_R1B2	LMP_923_R1B2
ENSG00000012171.19|SEMA3B	458	597	624	514	539	585
ENSG00000012174.12|MBTPS2	1123.61	1147.78	1330.45	832.91	1283	1158.78
ENSG00000012211.13|PRICKLE3	48.5	78.1	52.81	78.61	53.7	78.21
ENSG00000012232.8|EXTL3	8168	9227	10710	7434	9365	9997
ENSG00000012660.14|ELOVL5	3182	3583	3671	2450	3721	3685
ENSG00000012822.16|CALCOCO1	841	1119	991	734	905	1092
ENSG00000012963.15|UBR7	1550.38	1816.16	1743.89	1074	1810.96	1883.99
ENSG00000012983.11|MAP4K5	1439	1393	1523	845.99	1392	1429
ENSG00000013016.16|EHD3	337	304	463	223	382	307
ENSG00000013275.7|PSMC4	2018	2357	2766	1833	2425	2464
ENSG00000013288.8|MAN2B2	366	453	628	380	445	523
ENSG00000013297.11|CLDN11	16	17	13	18	14	13
ENSG00000013306.16|SLC25A39	1327	1723	2033	1532	1673	1830
ENSG00000013364.19|MVP	19	41	44	29	18	42
ENSG00000013374.16|NUB1	957.96	1173.6	1138.83	805.76	1083.44	1171.65
ENSG00000013375.16|PGM3	1238.89	1363.68	1427.11	917.89	1376.8	1360.03
ENSG00000013392.8|RWDD2A	204	187	181	153	186	212
ENSG00000013441.16|CLK1	572	794	804	588	619	679
ENSG00000013503.10|POLR3B	439	376	456	270	373	437
ENSG00000013523.9|ANGEL1	951.57	1137.09	1303.85	955.17	1171.3	1280.09
ENSG00000013561.18|RNF14	843	810	906	692	895	949
ENSG00000013563.14|DNASE1L1	68.58	110.2	112.68	76.74	80.58	122.48
ENSG00000013573.17|DDX11	1533.67	2176.63	2376.36	1650.81	2086.77	2373.92
ENSG00000013583.10|HEBP1	266	306	307	238	300	292
ENSG00000013619.14|MAMLD1	844	1052	1127	773	931	914
ENSG00000013725.14|CD6	13	25	17	19	11	18
ENSG00000013810.19|TACC3	2224	3269	3382.54	2643	2581	3252
ENSG00000014123.10|UFL1	660	725	761	479	716	644
ENSG00000014138.9|POLA2	774	926.18	851.5	615.04	853.06	841.85
ENSG00000014164.7|ZC3H3	234	285	373	269	252	324
ENSG00000014216.15|CAPN1	520	690	756.89	596	557	775
ENSG00000014641.18|MDH1	2419	2891.34	2461.58	2157.89	2703.72	3137
ENSG00000014824.14|SLC30A9	2567	2992	2880	1906	2777	2868
ENSG00000014914.21|MTMR11	31	61	35	30	37	42
ENSG00000014919.12|COX15	596.44	623.77	711.78	460.07	676.37	693.78
ENSG00000015133.19|CCDC88C	368	498	543	411	424	466
ENSG00000015153.14|YAF2	241	266	293	170	266	238
ENSG00000015171.19|ZMYND11	1170	1156	1333	801	1278	1171
ENSG00000015285.10|WAS	39	45	60	32	34	34
ENSG00000015475.18|BID	557	737	846	622	747	783
ENSG00000015479.18|MATR3	10258.15	11101.96	11704.97	6666.24	11447.97	10385.14
ENSG00000015532.9|XYLT2	285	399	530	324	374	454
ENSG00000015568.13|RGPD5	167.92	338.18	172.78	278.99	76.81	180.26
ENSG00000015592.16|STMN4	71	55	54	27	56	39
ENSG00000015676.18|NUDCD3	1539	1640	1833	1280	1745	1727
ENSG00000016391.11|CHDH	86	137	107	80	84	104
ENSG00000016402.13|IL20RA	10	5	7	8	10	11
ENSG00000016864.18|GLT8D1	1161	1208.01	1262	761	1136	1192
ENSG00000017260.19|ATP2C1	1795.34	2007.11	2106.37	1397.89	1965.81	2043.56
ENSG00000017797.13|RALBP1	1183	1357	1508	913	1296	1300
ENSG00000018189.13|RUFY3	2052	2354.18	2231	1451	2253	2239
ENSG00000018408.14|WWTR1	4572.8	4941.21	5527.17	3386.54	5314.98	5213.45
ENSG00000018510.15|AGPS	1214	1266	1334	903	1283	1303
ENSG00000018610.14|CXorf56	413.74	474.88	490	352	398.78	484.95
ENSG00000018699.13|TTC27	274	229	335	193	280	242
ENSG00000018869.16|ZNF582	85.79	106	89	70.3	70.08	112.52
ENSG00000019102.12|VSIG2	11	7	15	9	15	11
ENSG00000019144.19|PHLDB1	2758.8	3549.57	4159.06	2777.01	3221.14	3781
ENSG00000019485.13|PRDM11	191	230	236	198	212	221
ENSG00000019505.8|SYT13	22	30	17	11	17	11
ENSG00000019549.12|SNAI2	316	486	471	445	431	604
ENSG00000019582.15|CD74	20	23	25.27	15	21	28
ENSG00000019995.6|ZRANB1	350.51	449.32	409.71	289.13	369.58	414.27
ENSG00000020129.16|NCDN	697	837	1009	746	780	1012
ENSG00000020181.17|ADGRA2	38.31	60.66	67.74	53.87	45.5	64.04
ENSG00000020256.20|ZFP64	464	553	632	474	519	581
ENSG00000020426.11|MNAT1	419	393	473	252	418	401
ENSG00000020577.13|SAMD4A	973	1057	1024	688	956	891
ENSG00000020633.18|RUNX3	12	7	11	11	8	17
ENSG00000020922.12|MRE11	690	876	856	548	736	816
ENSG00000021300.14|PLEKHB1	1050	1462	1381	1154	1215	1374
ENSG00000021574.12|SPAST	590	574	602	381	576	685
ENSG00000021645.18|NRXN3	216	224	308	166	262	218
ENSG00000021762.20|OSBPL5	278	402	440	405	296	393
ENSG00000021776.11|AQR	1627	1724	1971	1266	1808	1772
ENSG00000022267.17|FHL1	2425	2579	2588	1942	2551	2633
ENSG00000022277.12|RTF2	2339	2492	2616	1856.45	2692	2640
ENSG00000022567.9|SLC45A4	151	143	167	131	148	195
ENSG00000022840.16|RNF10	2057	2360	2363	1640	2353	2307
ENSG00000022976.15|ZNF839	172.51	195.7	213.4	164.56	174.33	215.41
ENSG00000023041.11|ZDHHC6	555	553	634	417	562	663
ENSG00000023171.18|GRAMD1B	145	160	162	136	149	190
ENSG00000023191.17|RNH1	774	909	1368	932	969	958
ENSG00000023228.14|NDUFS1	2041.04	2143.91	2364.89	1451.81	2209.6	2202.96
ENSG00000023287.13|RB1CC1	1496	1571	1569	999	1607	1667
ENSG00000023318.8|ERP44	873	935	1023	674	952	945
ENSG00000023330.15|ALAS1	1029	1137	1231	856	1117	1198
ENSG00000023516.9|AKAP11	952	1066	1145	791	1041	1115
ENSG00000023572.9|GLRX2	342.63	314.1	370.78	240.3	356.81	349.55
ENSG00000023608.5|SNAPC1	197.68	295	260	224	269.08	307.65
ENSG00000023697.13|DERA	422	404	472	260	440	360
ENSG00000023734.11|STRAP	2963	3267	3662	2309	3499	3438
ENSG00000023902.14|PLEKHO1	847	770	1037	568	902	768
ENSG00000023909.10|GCLM	250	248	317	188	380	335
ENSG00000024048.10|UBR2	758	876	760	539	757	854
ENSG00000024422.12|EHD2	949	1337	1257	1139	1041	1329
ENSG00000024526.17|DEPDC1	1127.6	1327.27	1332.3	989.34	1393.05	1442.78
ENSG00000024862.17|CCDC28A	176	217.54	201.73	143	201	210
ENSG00000025039.14|RRAGD	746	748	706	497	843	717
ENSG00000025156.12|HSF2	699	791	735	518	700	745
ENSG00000025293.17|PHF20	1939	2158	2268	1519	2184	2127
ENSG00000025423.11|HSD17B6	46	58	48.17	29.08	42	53
ENSG00000025434.19|NR1H3	84	119	84.02	106	91	132.01
ENSG00000025708.14|TYMP	6	19	10	11	15	11
ENSG00000025770.19|NCAPH2	998.16	1221.8	1392.31	1125.4	1273.84	1494.79
ENSG00000025772.8|TOMM34	1090	1351	1496	1038	1389	1548
ENSG00000025796.14|SEC63	2657.61	3044.72	3031.35	2123.54	2832.62	3100.53
ENSG00000025800.14|KPNA6	1880	2173.13	2187.63	1612.47	2242	2221.34
ENSG00000026025.16|VIM	35470.95	42303.41	43959.63	31304.62	39186.67	42439.01
ENSG00000026036.22|RTEL1-TNFRSF6B	205.23	334.54	432.18	371.31	347.15	374.64
ENSG00000026297.15|RNASET2	75	97	106	52	87.62	108
ENSG00000026508.18|CD44	1610	2123	1973	1578	1669	2231
ENSG00000026559.14|KCNG1	78	135	133	112	94	88
ENSG00000026652.14|AGPAT4	1451	1863	1782	1184	1623	1762
ENSG00000026950.17|BTN3A1	364.16	504.81	442.34	337.05	386.26	399.38
ENSG00000027001.10|MIPEP	293	346.19	363	250	313.05	343
ENSG00000027697.14|IFNGR1	592	698	679	499	671	751
ENSG00000027847.14|B4GALT7	281	344	406	274	297	395
ENSG00000028116.17|VRK2	13.6	29.56	16.96	12.03	32.55	22.48
ENSG00000028137.19|TNFRSF1B	147	274	173	218	153	295
ENSG00000028203.18|VEZT	917	977	1190	640	1051	988
ENSG00000028277.21|POU2F2	25	50	39	22	38	53
ENSG00000028310.18|BRD9	1375.89	1737.95	1874.18	1324.72	1598.91	1681.38
ENSG00000028528.15|SNX1	2443	3158	3124	2205	2950	3196
ENSG00000028839.10|TBPL1	311.02	306.2	341.72	203.5	343.26	333.12
ENSG00000029153.14|ARNTL2	537	573	581	325	562	541
ENSG00000029363.16|BCLAF1	5072.63	5696.61	5913.9	3847	5302.23	5769.69
ENSG00000029364.12|SLC39A9	1596	1705	1853	1332	1806	1707
ENSG00000029639.11|TFB1M	213.68	218.42	266.87	171.8	280.49	255.74
ENSG00000029725.17|RABEP1	2056.57	2246.79	2528.45	1554.5	2305.86	2263.3
ENSG00000029993.15|HMGB3	2709	2866	3080	1788	2929	2823
ENSG00000030066.13|NUP160	2999	3443	3701	2533	3456	3540
ENSG00000030110.13|BAK1	297	356	466	322	409	426.99
ENSG00000030582.18|GRN	1490	2147	2127	1829	1527	2294
ENSG00000031003.10|FAM13B	952	1210	1017	687	1020	1202.81
ENSG00000031081.10|ARHGAP31	788	899	947	605	840	867
ENSG00000031691.7|CENPQ	336	386	376	278	390	435
ENSG00000031698.13|SARS	3231	3732	3984	2696	3751	3781
ENSG00000031823.14|RANBP3	1125	1420	1556	1097	1225	1496
ENSG00000032219.18|ARID4A	615	795	773	584	680	880
ENSG00000032389.12|EIPR1	417	543	571	353	558	576
ENSG00000032444.16|PNPLA6	573	720	973	746	644	779
ENSG00000032742.17|IFT88	349	381	439	257	397	387
ENSG00000033011.12|ALG1	351.47	405.89	494.65	365.93	434.42	507.89
ENSG00000033030.13|ZCCHC8	437	552	618	402	598	591
ENSG00000033050.9|ABCF2	1644.17	1776.61	2059.05	1415.24	2001.41	2058.45
ENSG00000033100.16|CHPF2	1237	1696.37	1914.98	1538.85	1635	1915.33
ENSG00000033170.16|FUT8	1419.84	1440.59	1598.69	981.58	1415.96	1532.83
ENSG00000033178.13|UBA6	1583	1510	1635	1048	1650	1612
ENSG00000033327.13|GAB2	2197	2344	3092	1844	2556	2420
ENSG00000033627.16|ATP6V0A1	1501	1898	2072	1324	1799	1839
ENSG00000033800.13|PIAS1	919.99	1151.78	1209.65	840.68	1137.68	1147.1
ENSG00000033867.16|SLC4A7	1697	1902	1830	1329	1761	2095
ENSG00000034053.14|APBA2	1221	1439	1884	1177	1499	1518
ENSG00000034152.18|MAP2K3	339	393	483	367	453	479
ENSG00000034510.6|TMSB10	19005	23739	22794	18046	21010	24074
ENSG00000034533.11|ASTE1	96.66	115.89	116.63	61.11	92.19	110.44
ENSG00000034677.13|RNF19A	2543	2773	2682	1864	2747	2745
ENSG00000034693.15|PEX3	236	249	273.92	203	256	302.72
ENSG00000034713.8|GABARAPL2	1136	1330	1231	877	1248	1381
ENSG00000035115.21|SH3YL1	446	541	520	346	541	517
ENSG00000035141.8|FAM136A	1323	1450	1593	1016	1503	1564
ENSG00000035403.17|VCL	821.98	1085.59	972.8	787.86	945.44	1104.65
