Ctrl_417_R1B1	LMP_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2
ENSG00000007255.10|TRAPPC6A	151	118	105	94	78	87
ENSG00000007341.19|ST7L	475.07	422.25	359.93	340.78	363.68	266.46
ENSG00000007372.22|PAX6	252.88	242.95	254.29	246.4	201.24	146.71
ENSG00000007376.8|RPUSD1	180	209	183	161	154	220
ENSG00000007384.15|RHBDF1	937	831	693	577	494	521
ENSG00000007392.16|LUC7L	1375	1469	949	1114	1015	886
ENSG00000007402.11|CACNA2D2	899	1042.97	557	539	256	212
ENSG00000007520.4|TSR3	489	446	387	322	297.99	357
ENSG00000007541.16|PIGQ	509.77	477.51	360	380.32	324.99	441.26
ENSG00000007545.15|CRAMP1	1032.89	975.14	798.39	715.19	683.14	753.4
ENSG00000007866.21|TEAD3	218	219	130	130	226	248
ENSG00000007923.16|DNAJC11	1006.58	924.16	981	813.61	887.93	816
ENSG00000007944.15|MYLIP	252	242	228	283	154	136
ENSG00000007968.7|E2F2	498	447	536	506	504	470
ENSG00000008018.9|PSMB1	3384	2620	2360	2233	3126	2922
ENSG00000008056.14|SYN1	91	88	65	63	62	51
ENSG00000008083.14|JARID2	507	509	502	408	528	539
ENSG00000008086.11|CDKL5	368	294	380	300	331	252
ENSG00000008118.10|CAMK1G	206	172	185	142	284	219
ENSG00000008128.23|CDK11A	615.84	647.53	500.89	500.26	517.11	526.31
ENSG00000008130.15|NADK	1531	1495	1122	1090	1222	1311
ENSG00000008196.13|TFAP2B	24	15	21	20	12	5
ENSG00000008256.16|CYTH3	736	812	671	664	883	854
ENSG00000008277.14|ADAM22	1620	1307	1723	1514	672	556
ENSG00000008282.8|SYPL1	1649	1301	1295	1365	1704	1395
ENSG00000008283.16|CYB561	159	139	107	102	126	184
ENSG00000008294.21|SPAG9	5114	4405	4519	4273	5005	3952
ENSG00000008300.17|CELSR3	1620	1495	1034	984	1420	1684
ENSG00000008311.15|AASS	5187	4614.99	4421	4112.99	4361	3447
ENSG00000008324.11|SS18L2	162.14	137.06	147	132	274.1	235
ENSG00000008382.15|MPND	433.94	432.06	238	270.96	281.96	291.96
ENSG00000008394.13|MGST1	70	61	46	33	295	249
ENSG00000008405.12|CRY1	1206	1006	1011	1048	1183	1031
ENSG00000008441.16|NFIX	11774.72	11584	10166	8808	7415	7250
ENSG00000008513.16|ST3GAL1	304	252	260	196	403	333
ENSG00000008517.16|IL32	15	12	16	16	81	93
ENSG00000008710.19|PKD1	2226.66	2214.86	2034.7	1945.22	1077.92	1709.17
ENSG00000008735.14|MAPK8IP2	603	694	524	471	750	877
ENSG00000008838.20|MED24	2283	2207	1770	1681	1569	1773
ENSG00000008853.16|RHOBTB2	740.6	777.72	623.12	633.79	659.66	730.09
ENSG00000008869.12|HEATR5B	1188	979	1064	928	1056	809
ENSG00000008952.17|SEC62	3406	2848	2535	2539	2912	2437
ENSG00000008988.9|RPS20	4826	4073	3736.99	3557	4269	4075
ENSG00000009307.16|CSDE1	9162.96	7497	7469	6769	9060	7734.94
ENSG00000009335.18|UBE3C	2901	2421	2322	2113	2894	2669
ENSG00000009413.15|REV3L	7412.95	5650	7209.8	6318.49	5251.38	4158.5
ENSG00000009694.13|TENM1	1027	626	1210	739	1098	527
ENSG00000009724.16|MASP2	117	102	64	68	62	82
ENSG00000009780.15|FAM76A	278	285	240	208	198	158
ENSG00000009830.11|POMT2	1457	1194	1187	975	883	845
ENSG00000009844.16|VTA1	1368	1085	1049	975	1188	1130
ENSG00000009950.16|MLXIPL	11	20	9	18	25	33
ENSG00000009954.11|BAZ1B	5311	4615	4831	4605	5320	5105
ENSG00000010017.13|RANBP9	2350.89	1814.63	1804.99	1629.12	2131.47	1981.94
ENSG00000010072.16|SPRTN	342.18	297.67	333.95	317.87	364.17	336.8
ENSG00000010165.20|EEF1AKNMT	1192	964	863	871	1194	1121
ENSG00000010219.13|DYRK4	320.94	278.87	265	228	238.53	188
ENSG00000010244.18|ZNF207	5351	4294	4266	3726	5117	3931
ENSG00000010256.11|UQCRC1	3303	3027	2431	2396	3019	3180
ENSG00000010270.13|STARD3NL	1413	1147	1232	1203	1432	1233
ENSG00000010278.14|CD9	1265	1107	1308	1453	1672	1703
ENSG00000010292.13|NCAPD2	4394.2	3740.58	4075.88	4174.69	6005.28	5486.18
ENSG00000010295.19|IFFO1	2350	2264	2433	2139	2082	2056
ENSG00000010310.9|GIPR	252	220	173	167	280	221
ENSG00000010318.21|PHF7	235	263	225	215	193	216
ENSG00000010322.16|NISCH	2502	2460	2091	1825	2234	2369
ENSG00000010361.13|FUZ	406.28	356.88	277.11	258.73	249.38	248.29
ENSG00000010404.18|IDS	8011.52	6144.63	6838.21	5677.96	6290.47	5428.19
ENSG00000010539.11|ZNF200	275	219	232	200	320	276
ENSG00000010626.15|LRRC23	158.03	148.78	123.15	133.13	87.41	90.78
ENSG00000010803.16|SCMH1	1677.99	1378.99	1448.98	1234.99	1325.99	1035.99
ENSG00000010810.17|FYN	6882	5455	6332	5284	5176	3687
ENSG00000010818.10|HIVEP2	223	215.03	204	221	331	339
ENSG00000011007.12|ELOA	2388.59	2035.35	1924.85	1757.93	2359.15	2174.38
ENSG00000011009.11|LYPLA2	574	514	413	395	567	710
ENSG00000011021.23|CLCN6	2212.28	2072.17	1855.06	1516.6	1976.96	1697.98
