Ctrl_827_R1B1	LMP_827_R1B1	Ctrl_827_R2B1	LMP_827_R2B1	Ctrl_827_R3B2	LMP_827_R3B2
ENSG00000007392.16|LUC7L	1235	1091	1531	1484	1247	1483
ENSG00000007402.11|CACNA2D2	22	16	28	23	27	24
ENSG00000007516.13|BAIAP3	6	10	27.02	17.02	11	8
ENSG00000007520.4|TSR3	160	131	165.98	138.98	211	222
ENSG00000007541.16|PIGQ	443	515.97	302.14	367.29	653	759.66
ENSG00000007545.15|CRAMP1	845.64	694.37	895.33	764.85	874.21	981.38
ENSG00000007866.21|TEAD3	617	586	957	872	638	688
ENSG00000007923.16|DNAJC11	1946.31	1627.51	1438.75	1528.23	2169.34	2178.15
ENSG00000007944.15|MYLIP	160	136	158	214	127	119
ENSG00000007968.7|E2F2	253	162	116	139	322	242
ENSG00000008018.9|PSMB1	1862	1421	1696	1801	2094	2152
ENSG00000008056.14|SYN1	66	75	47.14	56	60	119
ENSG00000008083.14|JARID2	540	440	988	778	624	573
ENSG00000008086.11|CDKL5	16	7	53	23	27	31
ENSG00000008118.10|CAMK1G	43	41	10	15	25	31
ENSG00000008128.23|CDK11A	969.59	842.82	798.05	819.26	1077.67	1089.04
ENSG00000008130.15|NADK	1371	1232	1136	1127	1769	1774
ENSG00000008196.13|TFAP2B	11	6	0	3	13	15
ENSG00000008226.19|DLEC1	2	9.01	9.27	10.44	16.96	4.86
ENSG00000008256.16|CYTH3	644	490	1190	579	642	605
ENSG00000008277.14|ADAM22	1666	1094	792	1028	1742	1303
ENSG00000008282.8|SYPL1	2797	2474	3724	3497	3076	3465
ENSG00000008283.16|CYB561	966	868	898	943	1090	1195.69
ENSG00000008294.21|SPAG9	3607	3037	4777	4050	3847	4105
ENSG00000008300.17|CELSR3	458	522	325	413	396	593
ENSG00000008311.15|AASS	2447	2048	2284	2271	2586	2603
ENSG00000008324.11|SS18L2	188	188	219	195	194	242
ENSG00000008382.15|MPND	298.67	228	178	244.95	344.89	394.18
ENSG00000008405.12|CRY1	457	337	337	327	487	459
ENSG00000008441.16|NFIX	3854	3301	4103	3896	4717	4795
ENSG00000008513.16|ST3GAL1	1090	873	1930	1457	1195	1109
ENSG00000008710.19|PKD1	1844.54	1981.28	4613.73	3414.93	2097.99	2679.65
ENSG00000008735.14|MAPK8IP2	185	212	136	162	217	323
ENSG00000008838.20|MED24	1837	1615	1538	1695	2018	2142
ENSG00000008853.16|RHOBTB2	648.09	618.06	366.57	461.45	665.73	748.52
ENSG00000008869.12|HEATR5B	700	621	758	661	731	768
ENSG00000008952.17|SEC62	3284	2591	3386	3149	3241	3446
ENSG00000008988.9|RPS20	3357	2678	4415.32	3686	3945	4130
ENSG00000009307.16|CSDE1	12120	9444	15258	13375.98	13562	13178.98
ENSG00000009335.18|UBE3C	2892	2360	2667	2580	3167	3221
ENSG00000009413.15|REV3L	2836.53	2022.04	2250.18	2316.89	3124.07	2990.43
ENSG00000009694.13|TENM1	1755	812	1389	847	1657.92	810
ENSG00000009724.16|MASP2	59	55	33	44	55	52
ENSG00000009780.15|FAM76A	139	133	161	162	130	182
ENSG00000009830.11|POMT2	929	799	803	839	1080	1043
ENSG00000009844.16|VTA1	2019	1509	1595	1693	2069	1998
ENSG00000009950.16|MLXIPL	123	134	58	119	119	155
ENSG00000009954.11|BAZ1B	6836	5062	4638	5166	7376	6402
ENSG00000010017.13|RANBP9	1948.47	1352.43	2557.52	1794.31	2221.92	1979.85
ENSG00000010030.14|ETV7	19	22	5	8	14	25
ENSG00000010072.16|SPRTN	438.77	303.49	235.36	336.53	420.81	460.88
ENSG00000010165.20|EEF1AKNMT	1182	1040	896	990	1231	1281
ENSG00000010219.13|DYRK4	322	220.33	338.01	249	335	295
ENSG00000010244.18|ZNF207	3891	3081.02	4697	3937	4418.71	4327
ENSG00000010256.11|UQCRC1	3967	3170	4891	4623	4825	4742
ENSG00000010270.13|STARD3NL	917	664	829	880	870	871
ENSG00000010278.14|CD9	1626	1316	15182	7661	2150	2389
ENSG00000010292.13|NCAPD2	3714.82	2455.42	2745.37	2829.46	4194.78	3307.97
ENSG00000010295.19|IFFO1	864	813	1027	877	951	971
ENSG00000010310.9|GIPR	32	30	103	73	29	40
ENSG00000010318.21|PHF7	80	60	90	67	107	86
ENSG00000010319.6|SEMA3G	7	7	3	14	19	13
ENSG00000010322.16|NISCH	2582	2630	2813	2659	2794	3328
ENSG00000010327.10|STAB1	14.06	12	8.04	6	7.02	22.02
ENSG00000010361.13|FUZ	254.96	264.98	216.35	207.53	347.82	382.68
ENSG00000010404.18|IDS	6532.7	5719.75	7239.35	7041.28	6706.69	6940.89
ENSG00000010539.11|ZNF200	250	208	207	217	280	236
ENSG00000010626.15|LRRC23	116.53	81.26	114.65	94.37	120.64	129.58
ENSG00000010704.18|HFE	548	436	398	501	572	650
ENSG00000010803.16|SCMH1	692	458	575.98	560	762	617
ENSG00000010810.17|FYN	6151	4088	5970	4825	6751	5256
ENSG00000010818.10|HIVEP2	569	507	664.08	583.21	591	548
ENSG00000011007.12|ELOA	1434.65	1184	1171.98	1274.59	1529.7	1545.71
ENSG00000011009.11|LYPLA2	470	415	360	365	479	552
ENSG00000011021.23|CLCN6	892	685	1172.75	949	1000	937.94
ENSG00000011028.14|AC080038.1	3494.79	3131.81	3360.44	3438.6	4003.53	4286.66
ENSG00000011052.21|NME1-NME2	376.63	410.17	228.77	242.47	537.58	444.35
ENSG00000011105.14|TSPAN9	2020	1583	3619	2770	2199	2368
ENSG00000011114.15|BTBD7	682	582	593	522	710	699
ENSG00000011132.12|APBA3	327.64	241	291	255	370.7	381
ENSG00000011143.16|MKS1	408	353	386	420	490	531
ENSG00000011198.9|ABHD5	1045	797	855	855	1182	1056
ENSG00000011201.12|ANOS1	436	251	332	260	440	271
ENSG00000011243.18|AKAP8L	2423.84	2115.98	3921.26	3730.84	2705.21	2736
ENSG00000011258.16|MBTD1	472	449	617	449	543	526
ENSG00000011260.14|UTP18	900	778	679	741	1044	1019
ENSG00000011275.18|RNF216	1900	1566.69	1500.36	1564.67	2083.29	1999.65
ENSG00000011295.16|TTC19	1425.99	1110.94	1728.2	1610.16	1492.95	1545.69
ENSG00000011304.20|PTBP1	5845	4543	4399	4563	6872	6261
ENSG00000011332.19|DPF1	370	269	438	461	440	331
ENSG00000011347.9|SYT7	25	29	75	47	17	28
ENSG00000011376.11|LARS2	1882	1435	1111	1381	1855	2021
ENSG00000011405.13|PIK3C2A	1221	862	974	1020	1148	1095
ENSG00000011422.12|PLAUR	231	161	194	155	256	181
ENSG00000011426.11|ANLN	3790	2436	2115	2521	4360	3269
ENSG00000011451.19|WIZ	2411	2340	1821	2130	2806	3259
ENSG00000011454.17|RABGAP1	1443	1140	1377	1316	1514	1440
ENSG00000011465.17|DCN	645	432	315	411	607	472
ENSG00000011478.12|QPCTL	154	138	184	175	221	231
ENSG00000011485.14|PPP5C	1807	1457	1153.76	1385	2147	2048.65
ENSG00000011523.14|CEP68	341	333	334.04	349	353	397
ENSG00000011566.15|MAP4K3	992	701	870	834	1024	971
ENSG00000011638.10|TMEM159	46	40	61	39	41	39
ENSG00000011677.13|GABRA3	1387	1078	846	1170	1115	1130
ENSG00000012048.22|BRCA1	1564	982	863	950	1713	1287
ENSG00000012061.15|ERCC1	2031.39	1643.21	1500.46	1579.81	2249.34	2169.24
ENSG00000012171.19|SEMA3B	441	385	339	421	547	513
ENSG00000012174.12|MBTPS2	1181.39	983.82	1053.69	1142.14	1371.7	1410.38
ENSG00000012211.13|PRICKLE3	58.68	96.35	42.58	61.84	74.99	97.39
ENSG00000012232.8|EXTL3	5469	4268	3325	3991	5983	5344
ENSG00000012660.14|ELOVL5	3588	2597	2109	2834	3954	3527
ENSG00000012817.15|KDM5D	1008	895	1163	1132	1123	1076
ENSG00000012822.16|CALCOCO1	970	829	2406	1599	1060	1086
ENSG00000012963.15|UBR7	1330.66	1026	923	1014	1609.1	1361.77
ENSG00000012983.11|MAP4K5	970	699	809	810	984	939
ENSG00000013016.16|EHD3	572	528	270	379	544	593
ENSG00000013275.7|PSMC4	2383	1888	1586	1880	2705	2726
ENSG00000013288.8|MAN2B2	267	288	214	251	296	378
ENSG00000013306.16|SLC25A39	1391	1347	1147	1206	1468	1679
ENSG00000013364.19|MVP	864.27	921	679	808	993	1272.96
ENSG00000013374.16|NUB1	1304.96	1075.99	1267.88	1161.99	1382.97	1372.88
ENSG00000013375.16|PGM3	1215.67	901.12	1659.03	1186.98	1324.55	1284.52
ENSG00000013392.8|RWDD2A	219	214	199	195	185	243
ENSG00000013441.16|CLK1	751	552	2038	1565	1042	1090
ENSG00000013503.10|POLR3B	520	352	238	285	577	552
ENSG00000013523.9|ANGEL1	528.83	514.31	429.93	556.97	523.91	668.93
ENSG00000013561.18|RNF14	1605	1268	1783.47	1740	1707	1870
ENSG00000013563.14|DNASE1L1	239.32	246.14	287.57	315.57	307.41	351.78
ENSG00000013573.17|DDX11	1560.4	1114.03	928.12	1065.17	1741.26	1495.32
ENSG00000013583.10|HEBP1	362	379	431	453	438	502
ENSG00000013588.8|GPRC5A	12	19	823	428	13	32
ENSG00000013619.14|MAMLD1	1600	1060	668	880	1604	1203
ENSG00000013810.19|TACC3	2201	1460	1198	1455.46	2730	2199
ENSG00000014123.10|UFL1	1247	1027	1248	1226	1338	1407
ENSG00000014138.9|POLA2	499.68	308.59	293.36	316.02	597.16	504.45
ENSG00000014164.7|ZC3H3	371	283	249	208	381	392
ENSG00000014216.15|CAPN1	1060.6	1034	1063	1133	1291.59	1449.54
ENSG00000014641.18|MDH1	2423.31	2026.71	2858	2731.86	2604.9	2987.72
ENSG00000014824.14|SLC30A9	2409	1966	2122	2245	2685	2743
ENSG00000014914.21|MTMR11	1138	1072	1860	1650	1198	1375
ENSG00000014919.12|COX15	618.02	564.83	607.07	657.09	762.41	821.57
ENSG00000015133.19|CCDC88C	93	105	38	81	93	103
ENSG00000015153.14|YAF2	312	225	261	270	314	296
ENSG00000015171.19|ZMYND11	1597	1298	1352	1271	1722	1649
ENSG00000015285.10|WAS	36	28	14	49	38	57
ENSG00000015475.18|BID	470	396	353	357	462	501
ENSG00000015479.18|MATR3	7270.94	5353.63	6968.98	6884.12	8067.78	7930.17
ENSG00000015532.9|XYLT2	582	597	519	519	665	751
ENSG00000015568.13|RGPD5	157.31	224.83	1832.21	710.8	85.08	376.1
ENSG00000015592.16|STMN4	134	242	51	160	113	161
ENSG00000015676.18|NUDCD3	3326	2658	2675	2714	3439	3449
ENSG00000016391.11|CHDH	551	466.95	238.72	425	561.94	582.97
ENSG00000016864.18|GLT8D1	1548.02	1255	2059	1668	1595.02	1734.01
ENSG00000017260.19|ATP2C1	2675.4	2080.03	2824.94	2795.27	2710.47	2790.07
ENSG00000017797.13|RALBP1	1402	1081	1491	1405.3	1584	1459
ENSG00000018189.13|RUFY3	932	798	1405	1124	989	992
ENSG00000018408.14|WWTR1	16111.85	10507.58	12820.03	11512.08	16204.6	13182.54
ENSG00000018510.15|AGPS	1121	845	783	969	1330	1308
ENSG00000018610.14|CXorf56	252	184	222	219	252	241
ENSG00000018625.14|ATP1A2	13	18	25	15	20	28
ENSG00000018699.13|TTC27	571	397	454	418	565	525
ENSG00000018869.16|ZNF582	82.9	64.75	47.74	53.99	85.62	80.73
ENSG00000019144.19|PHLDB1	4382.84	3649.21	2966.12	3320.04	5120.86	5017.76
ENSG00000019485.13|PRDM11	147	148	132	119	195	215
ENSG00000019549.12|SNAI2	1597	1257	2658	2304	2280	2548
ENSG00000019995.6|ZRANB1	602.45	447.69	842.83	689.96	652.93	695.23
ENSG00000020129.16|NCDN	741	760	441	598	898.86	1045
ENSG00000020181.17|ADGRA2	147.42	108.25	172.51	125.33	181.44	174.41
ENSG00000020256.20|ZFP64	584	537	350	443	692	767
ENSG00000020426.11|MNAT1	254	176	193	198	291	247.87
ENSG00000020577.13|SAMD4A	912	657	2177	1178	938	886
ENSG00000020922.12|MRE11	860	596	530	615	888	779
ENSG00000021300.14|PLEKHB1	1599	1480	1168	1644	1957	2027
ENSG00000021355.13|SERPINB1	135	147	176	201	183	223
ENSG00000021574.12|SPAST	522	511	426	494	608	629
ENSG00000021645.18|NRXN3	209	99	200	167	308	149
ENSG00000021762.20|OSBPL5	424	336	335	298	482	522
ENSG00000021776.11|AQR	1373	933	1061	1015	1365	1348
ENSG00000021826.15|CPS1	406	271	334	294	367	317
ENSG00000022267.17|FHL1	1065	817	1690	1321	1217	1095
ENSG00000022277.12|RTF2	2525.75	1923	2250	2434	2850	2807
ENSG00000022567.9|SLC45A4	257	239	160	163	257	241
ENSG00000022840.16|RNF10	2423	2030	2943	2466	2624	2814
ENSG00000022976.15|ZNF839	202.96	165.64	110.56	170.43	183.85	238.57
ENSG00000023041.11|ZDHHC6	704.44	495	544	591.17	728	681
ENSG00000023171.18|GRAMD1B	180	188	120	199	150	184
ENSG00000023191.17|RNH1	1433	1323	1140	1066	1770	2022
ENSG00000023228.14|NDUFS1	3255.45	2607	3026.42	3077.6	3612.5	3668.23
ENSG00000023287.13|RB1CC1	1288	933	1456	1319	1341	1368
ENSG00000023318.8|ERP44	1210	896	1550	1207	1190	1276
ENSG00000023330.15|ALAS1	1875	1598	1344	1469	1803	2103
ENSG00000023516.9|AKAP11	1309	951	1127	1135	1250	1136
ENSG00000023572.9|GLRX2	493.91	427.35	394.89	375.73	532.39	489.39
ENSG00000023608.5|SNAPC1	178	141	130.96	132.67	179.6	162.88
ENSG00000023697.13|DERA	492	362	437	395	660	526
ENSG00000023734.11|STRAP	3190	2459	2318	2590	3241	3469
ENSG00000023902.14|PLEKHO1	710	533	1068	950	790	767
ENSG00000023909.10|GCLM	773	565	450	604	833	913
ENSG00000024048.10|UBR2	964	782	972	904	1048	1078
ENSG00000024422.12|EHD2	1404	1491	3161	2890	1707	2196
ENSG00000024526.17|DEPDC1	1554.82	998.88	719.44	1046.81	1702.58	1397.17
ENSG00000024862.17|CCDC28A	191.75	170	880.88	656	212	263
ENSG00000025039.14|RRAGD	320	257	1018	761	363	382
ENSG00000025156.12|HSF2	502	379	465	458	573	531
ENSG00000025293.17|PHF20	1626	1280	1427	1434	1675	1701
ENSG00000025423.11|HSD17B6	92	62	44.02	56	77.06	69.08
ENSG00000025434.19|NR1H3	149	158	125	153	159	179
ENSG00000025770.19|NCAPH2	860.49	746.13	700.21	707.93	1195.08	1095.89
ENSG00000025772.8|TOMM34	961	885	629	889	980	1176
ENSG00000025796.14|SEC63	1759.44	1324.63	2323.86	1894.63	1903.29	1797.4
ENSG00000025800.14|KPNA6	1717	1342	1652.21	1670.22	1802	1865.97
ENSG00000026025.16|VIM	70274.17	63061.78	130648.85	105510.53	75193.75	85082.51
ENSG00000026036.22|RTEL1-TNFRSF6B	268.29	237.1	196.92	180.99	341.29	351.71
ENSG00000026103.22|FAS	1381.64	1114.14	1604.76	1392.34	1490.87	1507.75
ENSG00000026297.15|RNASET2	105	90	185	156	141.1	161
ENSG00000026508.18|CD44	5049	4511	6691	5445	5351	6286
ENSG00000026559.14|KCNG1	154	130	133	108	166.58	182
ENSG00000026652.14|AGPAT4	1031	782	909	965	920	936
ENSG00000026950.17|BTN3A1	748.09	631.99	934.43	823.66	864.66	891.64
ENSG00000027001.10|MIPEP	297	172	240	226	317	274
ENSG00000027644.5|INSRR	4	10	19	8	12	17
ENSG00000027697.14|IFNGR1	505	401	731	523	475	512
ENSG00000027847.14|B4GALT7	342	311	251	325	362	425
ENSG00000028116.17|VRK2	295.98	220.01	208.86	262.07	387.42	340.96
ENSG00000028137.19|TNFRSF1B	1647	1445	897	1347	2221	2220
ENSG00000028203.18|VEZT	1195	877	1342	1222	1276	1214
ENSG00000028310.18|BRD9	553.5	434	607.64	598.55	629.19	676.26
ENSG00000028528.15|SNX1	2195	1746	1901	1991	2444	2397
ENSG00000028839.10|TBPL1	369.19	273.56	300.92	291.42	417.48	425.91
ENSG00000029153.14|ARNTL2	592	437	338	420	662	556
ENSG00000029363.16|BCLAF1	4895.69	3653.54	4047.32	4087	5342.11	5234.5
ENSG00000029364.12|SLC39A9	1762	1389	1895	1680	1819	1823
ENSG00000029534.20|ANK1	98	63	58	98	109	108
ENSG00000029639.11|TFB1M	119.36	109.23	99.24	104.29	113.73	127.63
ENSG00000029725.17|RABEP1	1936.97	1442.19	1672.52	1571	2024.24	1959.45
ENSG00000029993.15|HMGB3	1821	1327	1268	1449	2189	1920
