Ctrl_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP.Olap_417_R3B2
ENSG00000011523.14|CEP68	1053.26	1113.04	871	844	812	750
ENSG00000011566.15|MAP4K3	1827	1622	1564	1072	1606	1090
ENSG00000011638.10|TMEM159	285	270	199	185	254	188
ENSG00000012048.22|BRCA1	1133	1199	1093	1118	1647	1638
ENSG00000012061.15|ERCC1	1616.76	1461.61	1426.74	1005.34	1001.8	960.6
ENSG00000012171.19|SEMA3B	209	283	183	212	72	125
ENSG00000012174.12|MBTPS2	1142.64	1110.64	995.18	715	916.84	670.32
ENSG00000012232.8|EXTL3	6370	5867	5846	4159	3968	3252
ENSG00000012660.14|ELOVL5	4759	4179	4150	3463	5015	4161
ENSG00000012817.15|KDM5D	1782	1624	1440	1196	1136	896
ENSG00000012822.16|CALCOCO1	2216	2157	1709	1425	1700	968
ENSG00000012963.15|UBR7	2924	2807	2628.85	2200	3141.99	2766.98
ENSG00000012983.11|MAP4K5	1168	1095	1078	864	1236	1006
ENSG00000013016.16|EHD3	432	397	333	208	210	176
ENSG00000013275.7|PSMC4	1674	1658	1304	1156	1426	1404
ENSG00000013288.8|MAN2B2	555	600	560	498	417	381
ENSG00000013293.6|SLC7A14	69	40	45	20	42	8
ENSG00000013297.11|CLDN11	44	32	38	25.53	40	26
ENSG00000013306.16|SLC25A39	1829	1909	1294	1078	1291	1571
ENSG00000013364.19|MVP	1870.82	1910.14	1768.7	1210.63	1591	1609.26
ENSG00000013374.16|NUB1	1056	936.95	767.93	633.91	966.98	725.97
ENSG00000013375.16|PGM3	1200.77	1181.06	1114.64	1013.25	1304	1048.89
ENSG00000013392.8|RWDD2A	178	187	138	134	255	231
ENSG00000013441.16|CLK1	1653	1491	1761	1585	1704	1153
ENSG00000013503.10|POLR3B	309	277	214	214	280	262
ENSG00000013523.9|ANGEL1	1511.39	1392.26	1050.43	947.54	826.54	624.17
ENSG00000013561.18|RNF14	1226	1049	899	884	1086	930
ENSG00000013563.14|DNASE1L1	220.8	267.15	224.87	283.05	311.91	375.76
ENSG00000013573.17|DDX11	1389.93	1470.23	1205.72	1158.22	1332.31	1422.23
ENSG00000013588.8|GPRC5A	237	291	213	317	334	406
ENSG00000013619.14|MAMLD1	547	527	447	390	658	693
ENSG00000013810.19|TACC3	3661	4559	3841	4223.05	4444	5975
ENSG00000014123.10|UFL1	303	298	291	232	263	164
ENSG00000014138.9|POLA2	1167.73	1201.74	939.94	1064.56	1230.89	1317.97
ENSG00000014164.7|ZC3H3	281	280	259	232	191	280
ENSG00000014216.15|CAPN1	2563	2971	2066.76	1849	2140	2601.01
ENSG00000014257.16|ACPP	94	102	69	72	239	252
ENSG00000014641.18|MDH1	3400.77	3356.58	2512	2641	3836	3247.7
ENSG00000014824.14|SLC30A9	3127	2714	2456	2004	2508	1725
ENSG00000014914.21|MTMR11	1730	1778	1563	1452	1847	1513
ENSG00000014919.12|COX15	1144.49	1113	881.17	812.39	1195.77	1014.1
ENSG00000015133.19|CCDC88C	303	395	263	266	69	84
ENSG00000015153.14|YAF2	172	165	144	103	118	87
ENSG00000015171.19|ZMYND11	3058	2608	2206	1715	2206	1443
ENSG00000015285.10|WAS	35	56	24	34	23	17
ENSG00000015475.18|BID	215	202	161	140	261	269
ENSG00000015479.18|MATR3	14330.47	13106.27	10878.42	8831.72	11405.06	8206.61
ENSG00000015532.9|XYLT2	535	626	523	454	350	522
ENSG00000015568.13|RGPD5	182.77	230.21	127.53	77.6	188.54	141.87
ENSG00000015592.16|STMN4	18	22	17	6	3	1
ENSG00000015676.18|NUDCD3	2389	2488	2336	1883	2178	1909
ENSG00000016391.11|CHDH	62.62	65.98	40	34	50	52
ENSG00000016864.18|GLT8D1	966	840	751	552.03	907	695
ENSG00000017260.19|ATP2C1	2313.03	2196.41	1959.27	1809.91	3046.32	2478.44
ENSG00000017427.16|IGF1	21.81	23.89	15.86	8.89	30.84	17.88
ENSG00000017483.15|SLC38A5	48	28	19	16	173	249
ENSG00000017797.13|RALBP1	1716	1501	1482	1321	1842	1674
ENSG00000018189.13|RUFY3	1144	984	967	753	1039	699
ENSG00000018236.15|CNTN1	69	79	44	47	2505	1947
ENSG00000018280.17|SLC11A1	19	15	11	10	2	6
ENSG00000018408.14|WWTR1	236.2	205.18	167.44	164.15	373.47	316.56
ENSG00000018510.15|AGPS	1544.39	1493	1310	1040.65	1887	1452
ENSG00000018610.14|CXorf56	615.99	583.98	496.97	413.88	579	433.99
ENSG00000018699.13|TTC27	358	289	251	179	314	224
ENSG00000018869.16|ZNF582	97.63	62.65	63.56	65.34	59.16	38.61
ENSG00000019144.19|PHLDB1	3946.14	3698.46	2718.15	2008.99	2001.24	1827.44
ENSG00000019485.13|PRDM11	252	340	238	259	230	337
ENSG00000019549.12|SNAI2	116	104	124	106	211	133
ENSG00000019991.17|HGF	701	539	713	590	368	239
ENSG00000019995.6|ZRANB1	1137.59	916.58	789.06	691.72	680.34	564.77
ENSG00000020129.16|NCDN	1043	1221	1016	775	910	972
ENSG00000020181.17|ADGRA2	282.07	291.28	184.86	209.71	196.99	228.92
ENSG00000020256.20|ZFP64	319	335	272	200	185	247
ENSG00000020426.11|MNAT1	532	479	407	325	568	365
ENSG00000020577.13|SAMD4A	604	583	572	591	1107	745
ENSG00000020922.12|MRE11	470	546	330	352	515	467
ENSG00000021300.14|PLEKHB1	1899	1828	1876	1498	737	591
ENSG00000021574.12|SPAST	822	731	615	533	617	447
ENSG00000021762.20|OSBPL5	192	223	186	142	154	230
ENSG00000021776.11|AQR	1251	1170	1135	959	1304	991
ENSG00000021826.15|CPS1	123	125	194	141	237	139
ENSG00000022267.17|FHL1	2108	1799	1572	1429	1927	1719
ENSG00000022277.12|RTF2	2216	2024.78	1753.63	1471.68	1864	1473
ENSG00000022567.9|SLC45A4	258	262	159	167	215	273
ENSG00000022840.16|RNF10	2722	2510	1996	1801	2374	2033
ENSG00000022976.15|ZNF839	301.78	336.46	238.36	231.05	211.11	256.48
ENSG00000023041.11|ZDHHC6	1064	1014.82	853	740	1237	1058
ENSG00000023171.18|GRAMD1B	1548	1462	1285	1091	903	629
ENSG00000023191.17|RNH1	1054	1193	881	749	646	1051
ENSG00000023228.14|NDUFS1	4784.38	4159.17	3841.22	3058.22	3742.9	2968.85
ENSG00000023287.13|RB1CC1	1203	1080	1007	755	974	720
ENSG00000023318.8|ERP44	1495	1250	1198	960	1277	905
ENSG00000023330.15|ALAS1	1564	1502	1227	1082	2003	1979
ENSG00000023516.9|AKAP11	1950	1858	1986	1719	2087	1655
ENSG00000023572.9|GLRX2	577.49	543.57	455.8	366.1	598.19	451.44
ENSG00000023608.5|SNAPC1	248.29	241	206.26	165.25	281	239.29
ENSG00000023697.13|DERA	682	543	477	404	522	409
ENSG00000023734.11|STRAP	2389	2194	1725	1497	2261	2064
