Ola_417_R1B1	LMP.Olap_417_R1B1	Ola_417_R2B2	LMP.Olap_417_R2B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000008300.17|CELSR3	1227	1623	1072	974	1666	1807
ENSG00000008311.15|AASS	3976	4814	4804	3907.99	3952	3091
ENSG00000008324.11|SS18L2	114	171	156.04	144.04	227.07	215
ENSG00000008382.15|MPND	363.98	515.97	310.17	232.46	371	349.78
ENSG00000008394.13|MGST1	54	81	53	30	216	225
ENSG00000008405.12|CRY1	907	1086	1091	895	1052	946
ENSG00000008441.16|NFIX	10038	12159	10723	8705.71	8593	7370
ENSG00000008513.16|ST3GAL1	238	265	264	208	419	383
ENSG00000008517.16|IL32	10	23	11	20	74	100
ENSG00000008710.19|PKD1	2052.51	2488.77	2043.28	2240.2	1694.89	1820.66
ENSG00000008735.14|MAPK8IP2	594	769	517	434	1028	1046
ENSG00000008838.20|MED24	1931	2458	1942	1613	1873	1794
ENSG00000008853.16|RHOBTB2	638.68	826.82	661.92	552.37	799.71	723.68
ENSG00000008869.12|HEATR5B	854	983	1123	841	1025	742
ENSG00000008952.17|SEC62	2607	2885	2869	2191	2565	2262
ENSG00000008988.9|RPS20	3689.99	4521	4018.99	3191.98	4234	3823.99
ENSG00000009307.16|CSDE1	7151	8329	7989	5907	8362	7159
ENSG00000009335.18|UBE3C	2210	2608	2586	1786	2836	2443
ENSG00000009413.15|REV3L	5732.39	6775.25	7592.02	5918.27	5077.94	3867.53
ENSG00000009694.13|TENM1	770	582	1072	764	1030	438
ENSG00000009724.16|MASP2	78	98	81	60	70	62
ENSG00000009780.15|FAM76A	225	244	219	190	166	164
ENSG00000009830.11|POMT2	1072	1316	1244	924	970	889
ENSG00000009844.16|VTA1	991	1167	1216	915	1184	981
ENSG00000009950.16|MLXIPL	14	20	12	14	26	41
ENSG00000009954.11|BAZ1B	4436	5263	4912	4084	5219	4857
ENSG00000010017.13|RANBP9	1725.5	2090.55	1882.34	1589.18	2026.48	1881.03
ENSG00000010072.16|SPRTN	290.14	371.56	373.2	253.8	261.66	281.57
ENSG00000010165.20|EEF1AKNMT	799	1096	1001	836	1163	1198
ENSG00000010219.13|DYRK4	228	286	242.83	208.39	245	165
ENSG00000010244.18|ZNF207	3725.18	4550.17	4574	3701	4518	3527
ENSG00000010256.11|UQCRC1	2555	3299	2790	2041	3346	3321
ENSG00000010270.13|STARD3NL	1061	1307	1325	1037	1220	1144
ENSG00000010278.14|CD9	1001	1352	1290	1404	1532	1607
ENSG00000010292.13|NCAPD2	3328.62	4680.66	4506.07	3821.94	5835.61	5548.18
ENSG00000010295.19|IFFO1	2014	2460	2565	2072.93	2489	2043
ENSG00000010310.9|GIPR	184	274	154	148	276	246
ENSG00000010318.21|PHF7	191	252	218	175	208	191
ENSG00000010322.16|NISCH	2141	2857	2072	1826	2826	2553
ENSG00000010361.13|FUZ	302.76	405.25	335.43	272.73	306.93	255.41
ENSG00000010404.18|IDS	5792.93	6893.19	6486.46	5163.23	5852.06	5158.76
ENSG00000010539.11|ZNF200	174	296	282	225	293	259.83
ENSG00000010626.15|LRRC23	134.54	136.37	145.72	108.39	95.18	84.75
ENSG00000010803.16|SCMH1	1293	1511	1567.99	1131.98	1300	1008.99
ENSG00000010810.17|FYN	5357	5804	6823	4972	4824	3253
ENSG00000010818.10|HIVEP2	187	280	226.86	253	375	319
ENSG00000011007.12|ELOA	1821.29	2238.19	2081.62	1686.56	2272.16	2023.13
ENSG00000011009.11|LYPLA2	397	505	393	299	676	668
ENSG00000011021.23|CLCN6	1843.74	2094.37	1931.44	1485.27	2132.55	1600.94
ENSG00000011028.14|AC080038.1	478.89	645	448.96	429	757.75	821.85
ENSG00000011052.21|NME1-NME2	319.01	286.44	430.35	279.93	368.48	400.89
ENSG00000011105.14|TSPAN9	749	992	952	735	1412	1237
ENSG00000011114.15|BTBD7	1014	1190	1150	897	1066	851
ENSG00000011132.12|APBA3	249	349	249.85	216	264	253.46
ENSG00000011143.16|MKS1	375	458	373	319	357	339
ENSG00000011198.9|ABHD5	727	907	762	761	1158	1054
ENSG00000011243.18|AKAP8L	1705.75	2268.81	1920.66	1632.39	1773.75	1594.09
ENSG00000011258.16|MBTD1	496	517	530	403	470	386
ENSG00000011260.14|UTP18	895	1030	979	664	1002	894
ENSG00000011275.18|RNF216	2544.51	2970.41	2629.72	1867.37	2200.09	1932.35
ENSG00000011295.16|TTC19	1644.98	1853.87	1681.17	1407.81	1993.18	1793.75
ENSG00000011304.20|PTBP1	4015	4833	4678	3717	4291	4420
ENSG00000011332.19|DPF1	244	287	306	276	314	295
ENSG00000011347.9|SYT7	55	46	31	44	69	64
ENSG00000011376.11|LARS2	834	1015	941	690	1092	890
ENSG00000011405.13|PIK3C2A	1753	2292	2795	2291	1787	1423
ENSG00000011422.12|PLAUR	17	14	27	20	30	15
ENSG00000011426.11|ANLN	2017	2896	2989	2692	4131	4270
ENSG00000011451.19|WIZ	1684	2163	1646	1331	1543	1564
ENSG00000011454.17|RABGAP1	2691	3132	3019	2439	2692	1972
ENSG00000011478.12|QPCTL	78	111	116	123	138	151
ENSG00000011485.14|PPP5C	901.37	1283	1109.3	919	1046	1162
ENSG00000011523.14|CEP68	796	1113.04	988.2	844	801.17	750
ENSG00000011566.15|MAP4K3	1410	1622	1596	1072	1415	1090
ENSG00000011638.10|TMEM159	214	270	250	185	240	188
ENSG00000012048.22|BRCA1	808	1199	1176	1118	1538	1638
ENSG00000012061.15|ERCC1	1238.61	1461.61	1377	1005.34	1135.75	960.6
