Ctrl_417_R1B1	Ola_417_R1B1	Ctrl_417_R2B2	Ola_417_R2B2	Ctrl_417_R3B2	Ola_417_R3B2
ENSG00000007255.10|TRAPPC6A	151	123	105	112	78	103
ENSG00000007341.19|ST7L	475.07	332.28	359.93	429.98	363.68	308.75
ENSG00000007372.22|PAX6	252.88	199.19	254.29	270.72	201.24	207.25
ENSG00000007376.8|RPUSD1	180	200	183	186	154	227
ENSG00000007384.15|RHBDF1	937	820	693	731	494	655
ENSG00000007392.16|LUC7L	1375	1017	949	1153	1015	887
ENSG00000007402.11|CACNA2D2	899	718	557	590	256	276
ENSG00000007520.4|TSR3	489	461.99	387	396	297.99	364
ENSG00000007541.16|PIGQ	509.77	491	360	431.38	324.99	423.09
ENSG00000007545.15|CRAMP1	1032.89	778.22	798.39	846.58	683.14	852.28
ENSG00000007866.21|TEAD3	218	178	130	161	226	266
ENSG00000007923.16|DNAJC11	1006.58	913.85	981	935.99	887.93	915.25
ENSG00000007944.15|MYLIP	252	166	228	254	154	146
ENSG00000007968.7|E2F2	498	381	536	522	504	519
ENSG00000008018.9|PSMB1	3384	2390	2360	2662	3126	2895
ENSG00000008056.14|SYN1	91	61	65	86	62	85
ENSG00000008083.14|JARID2	507	471	502	472	528	561
ENSG00000008086.11|CDKL5	368	278	380	316	331	308
ENSG00000008118.10|CAMK1G	206	131	185	177	284	313
ENSG00000008128.23|CDK11A	615.84	514.74	500.89	546.53	517.11	569.41
ENSG00000008130.15|NADK	1531	1259	1122	1229	1222	1437
ENSG00000008196.13|TFAP2B	24	12	21	28	12	12
ENSG00000008256.16|CYTH3	736	666	671	793	883	887
ENSG00000008277.14|ADAM22	1620	1220	1723	1716	672	611
ENSG00000008282.8|SYPL1	1649	1223	1295	1535	1704	1542
ENSG00000008283.16|CYB561	159	91	107	86	126	170
ENSG00000008294.21|SPAG9	5114	3923	4519	4750	5005	4754
ENSG00000008300.17|CELSR3	1620	1227	1034	1072	1420	1666
ENSG00000008311.15|AASS	5187	3976	4421	4804	4361	3952
ENSG00000008324.11|SS18L2	162.14	114	147	156.04	274.1	227.07
ENSG00000008382.15|MPND	433.94	363.98	238	310.17	281.96	371
ENSG00000008394.13|MGST1	70	54	46	53	295	216
ENSG00000008405.12|CRY1	1206	907	1011	1091	1183	1052
ENSG00000008441.16|NFIX	11774.72	10038	10166	10723	7415	8593
ENSG00000008513.16|ST3GAL1	304	238	260	264	403	419
ENSG00000008516.17|MMP25	9.65	9.19	9.4	4.48	11	5.78
ENSG00000008517.16|IL32	15	10	16	11	81	74
ENSG00000008710.19|PKD1	2226.66	2052.51	2034.7	2043.28	1077.92	1694.89
ENSG00000008735.14|MAPK8IP2	603	594	524	517	750	1028
ENSG00000008838.20|MED24	2283	1931	1770	1942	1569	1873
ENSG00000008853.16|RHOBTB2	740.6	638.68	623.12	661.92	659.66	799.71
ENSG00000008869.12|HEATR5B	1188	854	1064	1123	1056	1025
ENSG00000008952.17|SEC62	3406	2607	2535	2869	2912	2565
ENSG00000008988.9|RPS20	4826	3689.99	3736.99	4018.99	4269	4234
ENSG00000009307.16|CSDE1	9162.96	7151	7469	7989	9060	8362
ENSG00000009335.18|UBE3C	2901	2210	2322	2586	2894	2836
ENSG00000009413.15|REV3L	7412.95	5732.39	7209.8	7592.02	5251.38	5077.94
ENSG00000009694.13|TENM1	1027	770	1210	1072	1098	1030
ENSG00000009724.16|MASP2	117	78	64	81	62	70
ENSG00000009780.15|FAM76A	278	225	240	219	198	166
ENSG00000009830.11|POMT2	1457	1072	1187	1244	883	970
ENSG00000009844.16|VTA1	1368	991	1049	1216	1188	1184
ENSG00000009950.16|MLXIPL	11	14	9	12	25	26
ENSG00000009954.11|BAZ1B	5311	4436	4831	4912	5320	5219
ENSG00000010017.13|RANBP9	2350.89	1725.5	1804.99	1882.34	2131.47	2026.48
ENSG00000010030.14|ETV7	11	9	12	8	31	14
ENSG00000010072.16|SPRTN	342.18	290.14	333.95	373.2	364.17	261.66
ENSG00000010165.20|EEF1AKNMT	1192	799	863	1001	1194	1163
ENSG00000010219.13|DYRK4	320.94	228	265	242.83	238.53	245
ENSG00000010244.18|ZNF207	5351	3725.18	4266	4574	5117	4518
ENSG00000010256.11|UQCRC1	3303	2555	2431	2790	3019	3346
ENSG00000010270.13|STARD3NL	1413	1061	1232	1325	1432	1220
ENSG00000010278.14|CD9	1265	1001	1308	1290	1672	1532
ENSG00000010292.13|NCAPD2	4394.2	3328.62	4075.88	4506.07	6005.28	5835.61
ENSG00000010295.19|IFFO1	2350	2014	2433	2565	2082	2489
ENSG00000010310.9|GIPR	252	184	173	154	280	276
ENSG00000010318.21|PHF7	235	191	225	218	193	208
ENSG00000010322.16|NISCH	2502	2141	2091	2072	2234	2826
ENSG00000010361.13|FUZ	406.28	302.76	277.11	335.43	249.38	306.93
ENSG00000010404.18|IDS	8011.52	5792.93	6838.21	6486.46	6290.47	5852.06
ENSG00000010539.11|ZNF200	275	174	232	282	320	293
ENSG00000010626.15|LRRC23	158.03	134.54	123.15	145.72	87.41	95.18
ENSG00000010803.16|SCMH1	1677.99	1293	1448.98	1567.99	1325.99	1300
ENSG00000010810.17|FYN	6882	5357	6332	6823	5176	4824
ENSG00000010818.10|HIVEP2	223	187	204	226.86	331	375
ENSG00000011007.12|ELOA	2388.59	1821.29	1924.85	2081.62	2359.15	2272.16
ENSG00000011009.11|LYPLA2	574	397	413	393	567	676
ENSG00000011021.23|CLCN6	2212.28	1843.74	1855.06	1931.44	1976.96	2132.55
ENSG00000011028.14|AC080038.1	499	478.89	394.66	448.96	606	757.75
ENSG00000011052.21|NME1-NME2	257.1	319.01	247.37	430.35	53.25	368.48
ENSG00000011105.14|TSPAN9	933	749	895	952	1235	1412
ENSG00000011114.15|BTBD7	1280	1014	1115	1150	1165	1066
