LMP_417_R1B1	LMP.Olap_417_R1B1	LMP_417_R2B2	LMP.Olap_417_R2B2	LMP_417_R3B2	LMP.Olap_417_R3B2
ENSG00000007080.11|CCDC124	833	938	650	591	630	734
ENSG00000007168.13|PAFAH1B1	5060	5735	4882	4352.47	5176	4717.4
ENSG00000007171.17|NOS2	67	87	75	103	166	182
ENSG00000007174.18|DNAH9	10.91	21	17	19	6	9
ENSG00000007202.15|KIAA0100	4918.17	5622.45	4112.73	3795.55	4332.4	4082.83
ENSG00000007237.18|GAS7	3380	4053	3254	3086	209	167
ENSG00000007255.10|TRAPPC6A	118	173	94	79	87	90
ENSG00000007341.19|ST7L	422.25	414.12	340.78	317.64	266.46	234.9
ENSG00000007372.22|PAX6	242.95	250.93	246.4	252.46	146.71	155.36
ENSG00000007376.8|RPUSD1	209	244	161	140	220	310
ENSG00000007384.15|RHBDF1	831	882	577	638	521	538
ENSG00000007392.16|LUC7L	1469	1465	1114	923	886	860
ENSG00000007402.11|CACNA2D2	1042.97	1025	539	503	212	209
ENSG00000007520.4|TSR3	446	493	322	343	357	384
ENSG00000007541.16|PIGQ	477.51	568.79	380.32	347.25	441.26	497.77
ENSG00000007545.15|CRAMP1	975.14	962.18	715.19	703.44	753.4	676.78
ENSG00000007866.21|TEAD3	219	243	130	149	248	268
ENSG00000007923.16|DNAJC11	924.16	1017.6	813.61	692.61	816	823.39
ENSG00000007944.15|MYLIP	242	278	283	172	136	120
ENSG00000007968.7|E2F2	447	650	506	530	470	533
ENSG00000008018.9|PSMB1	2620	2900	2233	1895	2922	2747
ENSG00000008056.14|SYN1	88	96	63	62.45	51	56.3
ENSG00000008083.14|JARID2	509	548	408	361	539	488
ENSG00000008086.11|CDKL5	294	347	300	333	252	224
ENSG00000008118.10|CAMK1G	172	167	142	118	219	174
ENSG00000008128.23|CDK11A	647.53	576.53	500.26	425.33	526.31	498.22
ENSG00000008130.15|NADK	1495	1586	1090	996	1311	1278
ENSG00000008196.13|TFAP2B	15	17	20	12	5	4
ENSG00000008256.16|CYTH3	812	855	664	594	854	857
ENSG00000008277.14|ADAM22	1307	1442	1514	1410	556	466
ENSG00000008282.8|SYPL1	1301	1579	1365	1260	1395	1256
ENSG00000008283.16|CYB561	139	142	102	103	184	170
ENSG00000008294.21|SPAG9	4405	4651	4273	3885	3952	3708
ENSG00000008300.17|CELSR3	1495	1623	984	974	1684	1807
ENSG00000008311.15|AASS	4614.99	4814	4112.99	3907.99	3447	3091
ENSG00000008324.11|SS18L2	137.06	171	132	144.04	235	215
ENSG00000008382.15|MPND	432.06	515.97	270.96	232.46	291.96	349.78
ENSG00000008394.13|MGST1	61	81	33	30	249	225
ENSG00000008405.12|CRY1	1006	1086	1048	895	1031	946
ENSG00000008441.16|NFIX	11584	12159	8808	8705.71	7250	7370
ENSG00000008513.16|ST3GAL1	252	265	196	208	333	383
ENSG00000008517.16|IL32	12	23	16	20	93	100
ENSG00000008710.19|PKD1	2214.86	2488.77	1945.22	2240.2	1709.17	1820.66
ENSG00000008735.14|MAPK8IP2	694	769	471	434	877	1046
ENSG00000008838.20|MED24	2207	2458	1681	1613	1773	1794
ENSG00000008853.16|RHOBTB2	777.72	826.82	633.79	552.37	730.09	723.68
ENSG00000008869.12|HEATR5B	979	983	928	841	809	742
ENSG00000008952.17|SEC62	2848	2885	2539	2191	2437	2262
ENSG00000008988.9|RPS20	4073	4521	3557	3191.98	4075	3823.99
ENSG00000009307.16|CSDE1	7497	8329	6769	5907	7734.94	7159
ENSG00000009335.18|UBE3C	2421	2608	2113	1786	2669	2443
ENSG00000009413.15|REV3L	5650	6775.25	6318.49	5918.27	4158.5	3867.53
ENSG00000009694.13|TENM1	626	582	739	764	527	438
ENSG00000009724.16|MASP2	102	98	68	60	82	62
ENSG00000009780.15|FAM76A	285	244	208	190	158	164
ENSG00000009830.11|POMT2	1194	1316	975	924	845	889
ENSG00000009844.16|VTA1	1085	1167	975	915	1130	981
ENSG00000009950.16|MLXIPL	20	20	18	14	33	41
ENSG00000009954.11|BAZ1B	4615	5263	4605	4084	5105	4857
ENSG00000010017.13|RANBP9	1814.63	2090.55	1629.12	1589.18	1981.94	1881.03
ENSG00000010072.16|SPRTN	297.67	371.56	317.87	253.8	336.8	281.57
ENSG00000010165.20|EEF1AKNMT	964	1096	871	836	1121	1198
ENSG00000010219.13|DYRK4	278.87	286	228	208.39	188	165
ENSG00000010244.18|ZNF207	4294	4550.17	3726	3701	3931	3527
ENSG00000010256.11|UQCRC1	3027	3299	2396	2041	3180	3321
ENSG00000010270.13|STARD3NL	1147	1307	1203	1037	1233	1144
ENSG00000010278.14|CD9	1107	1352	1453	1404	1703	1607
ENSG00000010292.13|NCAPD2	3740.58	4680.66	4174.69	3821.94	5486.18	5548.18
ENSG00000010295.19|IFFO1	2264	2460	2139	2072.93	2056	2043
ENSG00000010310.9|GIPR	220	274	167	148	221	246
ENSG00000010318.21|PHF7	263	252	215	175	216	191
ENSG00000010322.16|NISCH	2460	2857	1825	1826	2369	2553
ENSG00000010361.13|FUZ	356.88	405.25	258.73	272.73	248.29	255.41
ENSG00000010404.18|IDS	6144.63	6893.19	5677.96	5163.23	5428.19	5158.76
ENSG00000010539.11|ZNF200	219	296	200	225	276	259.83
ENSG00000010626.15|LRRC23	148.78	136.37	133.13	108.39	90.78	84.75
ENSG00000010803.16|SCMH1	1378.99	1511	1234.99	1131.98	1035.99	1008.99
ENSG00000010810.17|FYN	5455	5804	5284	4972	3687	3253
ENSG00000010818.10|HIVEP2	215.03	280	221	253	339	319
ENSG00000011007.12|ELOA	2035.35	2238.19	1757.93	1686.56	2174.38	2023.13
ENSG00000011009.11|LYPLA2	514	505	395	299	710	668
ENSG00000011021.23|CLCN6	2072.17	2094.37	1516.6	1485.27	1697.98	1600.94
ENSG00000011028.14|AC080038.1	501	645	372	429	772.82	821.85
ENSG00000011052.21|NME1-NME2	372.1	286.44	299.05	279.93	302.49	400.89
ENSG00000011105.14|TSPAN9	801	992	772	735	1190	1237
ENSG00000011114.15|BTBD7	1104	1190	1006	897	928	851
ENSG00000011132.12|APBA3	316	349	236	216	232	253.46
ENSG00000011143.16|MKS1	465	458	362	319	322	339
ENSG00000011198.9|ABHD5	767	907	712	761	1076	1054
ENSG00000011243.18|AKAP8L	2131.48	2268.81	1603.2	1632.39	1724.65	1594.09
ENSG00000011258.16|MBTD1	541	517	502	403	374	386
ENSG00000011260.14|UTP18	940	1030	850	664	937	894
ENSG00000011275.18|RNF216	2666.86	2970.41	2128.6	1867.37	1853.3	1932.35
ENSG00000011295.16|TTC19	1643	1853.87	1583	1407.81	1964.96	1793.75
ENSG00000011304.20|PTBP1	4269	4833	4074	3717	4186	4420
ENSG00000011332.19|DPF1	270	287	271	276	296	295
ENSG00000011347.9|SYT7	57	46	44	44	71	64
ENSG00000011376.11|LARS2	878	1015	740	690	910	890
ENSG00000011405.13|PIK3C2A	2006	2292	2384	2291	1538	1423
ENSG00000011422.12|PLAUR	26	14	21	20	17	15
ENSG00000011426.11|ANLN	2174	2896	2969	2692	4578	4270
ENSG00000011451.19|WIZ	1927	2163	1395	1331	1366	1564
ENSG00000011454.17|RABGAP1	2885	3132	2549	2439	2376	1972
ENSG00000011478.12|QPCTL	113	111	93	123	119	151
ENSG00000011485.14|PPP5C	1137	1283	1029	919	1101	1162
ENSG00000011523.14|CEP68	948.67	1113.04	944.01	844	791.13	750
ENSG00000011566.15|MAP4K3	1416	1622	1262	1072	1231	1090
ENSG00000011638.10|TMEM159	271	270	229	185	216	188
ENSG00000012048.22|BRCA1	932	1199	1182	1118	1559	1638
ENSG00000012061.15|ERCC1	1368.4	1461.61	1083.23	1005.34	1013.64	960.6
ENSG00000012171.19|SEMA3B	276	283	164	212	115	125
ENSG00000012174.12|MBTPS2	955.35	1110.64	856.42	715	823.43	670.32
ENSG00000012232.8|EXTL3	5261.49	5867	4562.33	4159	3381	3252
ENSG00000012660.14|ELOVL5	3779	4179	4134	3463	4463	4161
ENSG00000012817.15|KDM5D	1585	1624	1213	1196	930	896
ENSG00000012822.16|CALCOCO1	2281	2157	1427	1425	1136	968
ENSG00000012963.15|UBR7	2544	2807	2545	2200	2859.59	2766.98
ENSG00000012983.11|MAP4K5	1054	1095	1025	864	1057	1006
ENSG00000013016.16|EHD3	370	397	265	208	180	176
ENSG00000013275.7|PSMC4	1479	1658	1142	1156	1410	1404
ENSG00000013288.8|MAN2B2	531	600	505	498	411	381
ENSG00000013293.6|SLC7A14	21	40	47	20	11	8
ENSG00000013297.11|CLDN11	21	32	27	25.53	23	26
ENSG00000013306.16|SLC25A39	1852	1909	1154	1078	1590	1571
ENSG00000013364.19|MVP	1647.68	1910.14	1365	1210.63	1606.43	1609.26
ENSG00000013374.16|NUB1	940.91	936.95	647.98	633.91	829.94	725.97
ENSG00000013375.16|PGM3	1082.62	1181.06	1126.57	1013.25	1172.21	1048.89
ENSG00000013392.8|RWDD2A	183	187	155	134	195	231
ENSG00000013441.16|CLK1	1502	1491	1872	1585	1282	1153
ENSG00000013503.10|POLR3B	279	277	242	214	250	262
ENSG00000013523.9|ANGEL1	1424.52	1392.26	966.28	947.54	639.64	624.17
ENSG00000013561.18|RNF14	976	1049	899	884	993	930
ENSG00000013563.14|DNASE1L1	297.19	267.15	233.94	283.05	352.25	375.76
ENSG00000013573.17|DDX11	1268.15	1470.23	1222.26	1158.22	1444.37	1422.23
ENSG00000013588.8|GPRC5A	258	291	173	317	367	406
ENSG00000013619.14|MAMLD1	447	527	385	390	645	693
ENSG00000013810.19|TACC3	3688	4559	4326.61	4223.05	5498	5975
ENSG00000014123.10|UFL1	291	298	272	232	198	164
ENSG00000014138.9|POLA2	969.89	1201.74	1040.3	1064.56	1269.11	1317.97
ENSG00000014164.7|ZC3H3	314	280	233	232	288	280
ENSG00000014216.15|CAPN1	2658.74	2971	1892	1849	2477	2601.01
ENSG00000014257.16|ACPP	76	102	56	72	250	252
ENSG00000014641.18|MDH1	2853.66	3356.58	2818.73	2641	3518.38	3247.7
ENSG00000014824.14|SLC30A9	2504	2714	2202	2004	2090	1725
ENSG00000014914.21|MTMR11	1752	1778	1713	1452	1602	1513
ENSG00000014919.12|COX15	980.62	1113	951.84	812.39	1070.72	1014.1
ENSG00000015133.19|CCDC88C	276	395	249	266	95	84
ENSG00000015153.14|YAF2	138	165	122	103	100	87
ENSG00000015171.19|ZMYND11	2412	2608	2052	1715	1754	1443
ENSG00000015285.10|WAS	39	56	37	34	23	17
ENSG00000015475.18|BID	188	202	158	140	325	269
ENSG00000015479.18|MATR3	12268.69	13106.27	10221.44	8831.72	9361.5	8206.61
ENSG00000015532.9|XYLT2	578	626	424	454	440	522
ENSG00000015568.13|RGPD5	162.86	230.21	209.9	77.6	244.76	141.87
ENSG00000015592.16|STMN4	30	22	10	6	1	1
ENSG00000015676.18|NUDCD3	2135	2488	2102	1883	1981	1909
ENSG00000016391.11|CHDH	72	65.98	39	34	61	52
ENSG00000016864.18|GLT8D1	794	840	624	552.03	741	695
ENSG00000017260.19|ATP2C1	2022.07	2196.41	1825.85	1809.91	2726.05	2478.44
