Ctrl_417_R1B1	LMP_417_R1B1	Ola_417_R1B1	LMP.Olap_417_R1B1	Ctrl_417_R2B2	LMP_417_R2B2	Ola_417_R2B2	LMP.Olap_417_R2B2	Ctrl_417_R3B2	LMP_417_R3B2	Ola_417_R3B2	LMP.Olap_417_R3B2
ENSG00000005486.17|RHBDD2	2260	2017	1897	2375	1937	1761	1991	1653	1440	1628	1814	1706
ENSG00000005513.10|SOX8	1529	1333	1218	1400	1062	1026	1209	898	1086	1180	1395	1098
ENSG00000005700.15|IBTK	2396	1956	1917	2164	2004	1859	2126	1513	1912	1514	1751	1371
ENSG00000005801.18|ZNF195	344	323	275	350	278	247	282	250.12	391	335	306	294
ENSG00000005810.18|MYCBP2	1242.98	950.71	959.43	1002.36	1162.86	943	1181.98	954.36	1232.61	1020.9	1160.2	905.81
ENSG00000005812.11|FBXL3	1388.59	1142.47	1041.6	1216.41	1132.92	1050.49	1212.8	945.55	1050.93	905.25	994.34	851.7
ENSG00000005882.11|PDK2	1057.19	1105.48	862.07	1215.81	742.9	691.17	843.44	659.8	717.41	865.7	887.99	743.27
ENSG00000005884.18|ITGA3	1877	1651.05	1739	2030	1854	1534	1856	1271	2906	2926	3486	3070
ENSG00000005889.15|ZFX	887	839	718	853	791	735	834	643	735	591	731	570
ENSG00000005893.15|LAMP2	9072	7535	7264	9041	6871	6815	7835	6578	8684	6994	8152	6620
ENSG00000006007.12|GDE1	2206	1793	1644	1902	1620	1620	1900	1432	1720.16	1518.92	1554.34	1363
ENSG00000006015.17|REX1BD	300	263	210	287	249	224	276	204	246	254	232	256
ENSG00000006016.11|CRLF1	146.01	184.3	143.7	180.04	122.13	129.42	130.84	110.38	125.14	134.67	139.84	131.72
ENSG00000006025.12|AC003665.1	819	843	746	950	745	601	795	590	713	691	833	793
ENSG00000006042.12|TMEM98	19	13	4	7	15	6	13	6	1	3	0	2
ENSG00000006062.16|MAP3K14	207.04	195.14	168.21	221.62	155.98	160.55	178.98	158.91	142.08	169.5	153.93	183.17
ENSG00000006071.13|ABCC8	193	184	116	194	113	147	143	134	77	71	104	95
ENSG00000006118.14|TMEM132A	1475	1251	1276	1593	1109	920	1205	999	1283	1606	1813	1871
ENSG00000006125.18|AP2B1	7940	7043	6501	8086	6893	6738	7627	6104	8925	7757	8881	7467
ENSG00000006194.10|ZNF263	722.26	639.32	559.25	669.03	741.16	647.88	627.51	503.13	638.62	574.33	640.28	539.46
ENSG00000006210.7|CX3CL1	3291	2396	2716	3228	3462	2827	3247	2646	2000	2483	2514	2727
ENSG00000006282.21|SPATA20	1519	1656	1268	1993	1070	1116	1173	1060	773	892	962	960
ENSG00000006283.18|CACNA1G	192	194	177	240.45	110	113	129	105	86	97.19	102	70
ENSG00000006327.13|TNFRSF12A	890	661	588	657	535	408	511	367	516	604	544	586
ENSG00000006377.11|DLX6	1939	1492	1456	1546	1723	1440	1663	1228	1488	1090	1407	793
ENSG00000006432.15|MAP3K9	721	595	535	701	716	643	670	719	888	851	945	849
ENSG00000006451.8|RALA	1053	907	796	999	851	861	1039	771	1660	1476	1493	1460
ENSG00000006453.14|BAIAP2L1	36.81	33.16	38.13	69.9	47.47	32	40.37	29.45	166.14	124.67	127.58	157.56
ENSG00000006459.11|KDM7A	220	227	172	213	190	146	207	146	99	76	109	77
ENSG00000006468.14|ETV1	2827	2559	2310	2652	2571	2357	2685	2046	3036	2289	2749	2061
ENSG00000006530.17|AGK	557.41	481.83	443	520.42	467.02	442.27	535.36	370.18	614.38	541.68	575.39	448.38
ENSG00000006534.16|ALDH3B1	433	518	444	548	352	372	408	400	311	371	381	379
ENSG00000006576.16|PHTF2	2444	2054	1861	2381	2102	2081	2381	2078	2787	2541	2623	2222
ENSG00000006606.8|CCL26	6	11	5	13	13	16	10	10	9	11	6	12
ENSG00000006607.14|FARP2	728.9	620.02	602.16	713.76	679.29	664.48	673.8	565.81	653.07	678.8	635.26	638.41
ENSG00000006625.18|GGCT	595	504	445	523	474.73	439.16	504.86	383	668.25	663	590	642
ENSG00000006634.8|DBF4	803.85	646.16	655.97	836.22	764.17	782.94	847.01	679.95	1007.06	967.19	891.16	811.53
ENSG00000006638.11|TBXA2R	169	128	105	140	95	119	118	106	102	144	124	169
ENSG00000006652.14|IFRD1	817	644	601	792	719	640	755	659	919	772	853	745
ENSG00000006695.11|COX10	288.56	211.68	210.93	236.93	209.81	149.84	228.72	161.89	247.89	241.77	239.94	221.94
ENSG00000006704.10|GTF2IRD1	457	511	448	569	360	337	426	326	466	483	549	553
ENSG00000006712.15|PAF1	1773	1607	1351	1667	1348	1272	1361	1175	1415	1437	1470	1449
ENSG00000006715.16|VPS41	1776	1437	1363	1670	1387	1331	1597	1150	1761	1329	1749	1291
ENSG00000006740.17|ARHGAP44	73	49	41.1	65.29	45	47	61	46	151	128	148	118
ENSG00000006744.19|ELAC2	1922	1853	1548	1916	1586	1469	1800	1277	1905	1958	1943	1904
ENSG00000006831.10|ADIPOR2	2795	2331	2136	2504	2185	2159	2268	1932	2387	2182	2399	2096
ENSG00000006837.12|CDKL3	38.44	46.26	32.77	44.56	21.69	30.25	34.06	38.79	36.66	15.85	34.09	26.15
ENSG00000007047.15|MARK4	393	417	360	428	329	301	348	270	306	340	411	350
ENSG00000007080.11|CCDC124	845	833	776	938	671	650	705	591	485	630	663	734
ENSG00000007168.13|PAFAH1B1	6532	5060	4702	5735	5156	4882	5718	4352.47	6092	5176	5748	4717.4
ENSG00000007171.17|NOS2	70	67	56	87	75	75	86	103	144	166	156	182
ENSG00000007174.18|DNAH9	25	10.91	16	21	26	17	15	19	11	6	6	9
ENSG00000007202.15|KIAA0100	5921.96	4918.17	4725.5	5622.45	4838.79	4112.73	4917.37	3795.55	4547.17	4332.4	4724.94	4082.83
ENSG00000007237.18|GAS7	4401	3380	3273	4053	3642	3254	3875	3086	291	209	278	167
ENSG00000007255.10|TRAPPC6A	151	118	123	173	105	94	112	79	78	87	103	90
ENSG00000007341.19|ST7L	475.07	422.25	332.28	414.12	359.93	340.78	429.98	317.64	363.68	266.46	308.75	234.9
ENSG00000007372.22|PAX6	252.88	242.95	199.19	250.93	254.29	246.4	270.72	252.46	201.24	146.71	207.25	155.36
ENSG00000007376.8|RPUSD1	180	209	200	244	183	161	186	140	154	220	227	310
ENSG00000007384.15|RHBDF1	937	831	820	882	693	577	731	638	494	521	655	538
ENSG00000007392.16|LUC7L	1375	1469	1017	1465	949	1114	1153	923	1015	886	887	860
ENSG00000007402.11|CACNA2D2	899	1042.97	718	1025	557	539	590	503	256	212	276	209
ENSG00000007516.13|BAIAP3	4	7	18.01	9	8	4	5	4	9.01	5	8	7
ENSG00000007520.4|TSR3	489	446	461.99	493	387	322	396	343	297.99	357	364	384
ENSG00000007541.16|PIGQ	509.77	477.51	491	568.79	360	380.32	431.38	347.25	324.99	441.26	423.09	497.77
ENSG00000007545.15|CRAMP1	1032.89	975.14	778.22	962.18	798.39	715.19	846.58	703.44	683.14	753.4	852.28	676.78
ENSG00000007866.21|TEAD3	218	219	178	243	130	130	161	149	226	248	266	268
ENSG00000007923.16|DNAJC11	1006.58	924.16	913.85	1017.6	981	813.61	935.99	692.61	887.93	816	915.25	823.39
