Ctrl_602_R1B1	LMP_602_R1B1	Ctrl_602_R2B2	LMP_602_R2B2
ENSG00000013563.14|DNASE1L1	81.17	131.66	114.9	138.91
ENSG00000013573.17|DDX11	1384.44	1319	1174.68	1450.5
ENSG00000013583.10|HEBP1	146	148.75	108	128
ENSG00000013588.8|GPRC5A	14	11	12	15
ENSG00000013619.14|MAMLD1	687	604	615	636
ENSG00000013810.19|TACC3	3293.54	3983.57	2890	4223
ENSG00000014123.10|UFL1	715	864	857	931
ENSG00000014138.9|POLA2	667.65	700.79	625.31	747.3
ENSG00000014164.7|ZC3H3	291	349	283	377
ENSG00000014216.15|CAPN1	1062.8	1229	993	1302
ENSG00000014641.18|MDH1	2264.79	2621	2334.7	2572.59
ENSG00000014824.14|SLC30A9	959	995	1106	929
ENSG00000014914.21|MTMR11	119	152	170	180
ENSG00000014919.12|COX15	533.47	600.87	601.28	628.61
ENSG00000015133.19|CCDC88C	363	381	319	351
ENSG00000015153.14|YAF2	134	143	167	154
ENSG00000015171.19|ZMYND11	1201	1143	1325	1387
ENSG00000015285.10|WAS	41	36	34	43
ENSG00000015475.18|BID	549	506	452	472
ENSG00000015479.18|MATR3	7298.05	7463.46	7854.67	7632.99
ENSG00000015532.9|XYLT2	461	508	426	569
ENSG00000015568.13|RGPD5	146.39	128.54	37.89	242
ENSG00000015676.18|NUDCD3	2472	2377	2506	2712
ENSG00000016391.11|CHDH	105	94	71	91
ENSG00000016864.18|GLT8D1	526	522	557	556
ENSG00000017260.19|ATP2C1	1306.76	1280.33	1667.61	1552.04
ENSG00000017797.13|RALBP1	778	876	900	1062
ENSG00000018189.13|RUFY3	2460	2563	3085	2900
ENSG00000018236.15|CNTN1	67	55	77	48
ENSG00000018280.17|SLC11A1	17	12	15	13
ENSG00000018408.14|WWTR1	440.45	353.4	594.84	578.14
ENSG00000018510.15|AGPS	1036	1120	1393	1197
ENSG00000018610.14|CXorf56	531	516	577.45	577
ENSG00000018699.13|TTC27	255	245	322	260
ENSG00000018869.16|ZNF582	94.63	122.8	110.45	121.84
ENSG00000019144.19|PHLDB1	1089.18	1139	944	1219
ENSG00000019485.13|PRDM11	355	348	355	434
ENSG00000019549.12|SNAI2	119	98	179	174
ENSG00000019995.6|ZRANB1	489.43	475.47	487.89	561.27
ENSG00000020129.16|NCDN	567	656	529	692
ENSG00000020181.17|ADGRA2	79.97	107.5	80.46	105.93
ENSG00000020256.20|ZFP64	498	508	411	565
ENSG00000020426.11|MNAT1	406	316	415	407
ENSG00000020577.13|SAMD4A	876	779	931	874
ENSG00000020633.18|RUNX3	22	23	15	23
ENSG00000020922.12|MRE11	441	447	490	479
