Ctrl_827_R1B1	Ola_827_R1B1	Ctrl_827_R2B1	Ola_827_R2B1	Ctrl_827_R3B2	Ola_827_R3B2
ENSG00000006712.15|PAF1	2049	1652	1385	1372	2277	1676
ENSG00000006715.16|VPS41	1192	1101	1193	976	1165	927
ENSG00000006744.19|ELAC2	1726	1538	1193	1208	1896	1469
ENSG00000006756.16|ARSD	444	463.81	364	394.74	508.05	471.73
ENSG00000006831.10|ADIPOR2	1900	1650	1552	1475	1930	1612
ENSG00000006837.12|CDKL3	49.34	44	43.71	50.24	41.52	24.96
ENSG00000007047.15|MARK4	498	452	624	460	504	456
ENSG00000007062.11|PROM1	29	14	127	72	31	27
ENSG00000007080.11|CCDC124	1069	821	662	683	1281	892
ENSG00000007168.13|PAFAH1B1	4347	3873	3800.63	3566.3	4554	3798.63
ENSG00000007171.17|NOS2	8931	6688	3242	4619	10144	6720
ENSG00000007174.18|DNAH9	99	53	63	60	78	69
ENSG00000007202.15|KIAA0100	4882.7	4437.82	3747.37	3667.26	5013.85	4166.87
ENSG00000007237.18|GAS7	8676	7807	4923	5508	8859	7263
ENSG00000007255.10|TRAPPC6A	31	38	23	37	39	33
ENSG00000007314.12|SCN4A	25	20	7	14	20	18
ENSG00000007341.19|ST7L	619.96	537.86	475.65	471.6	659.45	569.82
ENSG00000007372.22|PAX6	141.65	103.57	86.48	93.48	157.47	107.57
ENSG00000007376.8|RPUSD1	254	178	106	173	319	276
ENSG00000007384.15|RHBDF1	342	272	1132	575	356	310
ENSG00000007392.16|LUC7L	1235	1039	1531	1131	1247	994
ENSG00000007402.11|CACNA2D2	22	15	28	13	27	14.24
ENSG00000007516.13|BAIAP3	6	3	27.02	15.01	11	14
ENSG00000007520.4|TSR3	160	135	165.98	147.99	211	200
ENSG00000007541.16|PIGQ	443	419.96	302.14	427.73	653	609.17
ENSG00000007545.15|CRAMP1	845.64	812.02	895.33	687.47	874.21	819.09
ENSG00000007866.21|TEAD3	617	529	957	616	638	637
ENSG00000007923.16|DNAJC11	1946.31	1662.45	1438.75	1393.71	2169.34	1698.74
ENSG00000007944.15|MYLIP	160	143	158	150	127	80
ENSG00000007968.7|E2F2	253	215	116	153	322	235
ENSG00000008018.9|PSMB1	1862	1650	1696	1540	2094	1547
ENSG00000008056.14|SYN1	66	60	47.14	57	60	75.45
ENSG00000008083.14|JARID2	540	448	988	668	624	464
ENSG00000008086.11|CDKL5	16	8	53	34	27	24
ENSG00000008118.10|CAMK1G	43	48	10	22	25	20
ENSG00000008128.23|CDK11A	969.59	791.56	798.05	774.96	1077.67	911.04
ENSG00000008130.15|NADK	1371	1222	1136	1051	1769	1388
ENSG00000008256.16|CYTH3	644	504	1190	618	642	588
ENSG00000008277.14|ADAM22	1666	1580	792	1098	1742	1423
ENSG00000008282.8|SYPL1	2797	2685	3724	2931	3076	2611
ENSG00000008283.16|CYB561	966	884	898	808	1090	896
ENSG00000008294.21|SPAG9	3607	3366	4777	3548	3847	3211
ENSG00000008300.17|CELSR3	458	394	325	345	396	354
ENSG00000008311.15|AASS	2447	2342	2284	1978	2586	2023
ENSG00000008324.11|SS18L2	188	201	219	159	194	173
ENSG00000008382.15|MPND	298.67	244	178	188.9	344.89	279.94
ENSG00000008405.12|CRY1	457	460	337	333	487	373
ENSG00000008441.16|NFIX	3854	3321	4103	3664	4717	3976
ENSG00000008513.16|ST3GAL1	1090	928	1930	1232	1195	985
ENSG00000008710.19|PKD1	1844.54	1471.06	4613.73	3601.2	2097.99	2111.26
ENSG00000008735.14|MAPK8IP2	185	146	136	148	217	201
ENSG00000008838.20|MED24	1837	1672	1538	1488	2018	1747
ENSG00000008853.16|RHOBTB2	648.09	549.78	366.57	404.88	665.73	571.68
ENSG00000008869.12|HEATR5B	700	618	758	570	731	654
ENSG00000008952.17|SEC62	3284	3083	3386	2797	3241	2574
ENSG00000008988.9|RPS20	3357	3025	4415.32	3093	3945	3017
ENSG00000009307.16|CSDE1	12120	11016	15258	11372	13562	10581
ENSG00000009335.18|UBE3C	2892	2675	2667	2229	3167	2632
ENSG00000009413.15|REV3L	2836.53	2754.26	2250.18	2245.73	3124.07	2621.27
ENSG00000009694.13|TENM1	1755	1579	1389	1293.94	1657.92	1389
ENSG00000009724.16|MASP2	59	55	33	42	55	36
ENSG00000009780.15|FAM76A	139	132	161	119	130	131
ENSG00000009830.11|POMT2	929	859	803	747	1080	978
ENSG00000009844.16|VTA1	2019	1745	1595	1398	2069	1591
ENSG00000009950.16|MLXIPL	123	114	58	71	119	109
ENSG00000009954.11|BAZ1B	6836	5851	4638	4574	7376	5410
ENSG00000010017.13|RANBP9	1948.47	1672.61	2557.52	1725.61	2221.92	1895.16
ENSG00000010030.14|ETV7	19	18	5	13	14	14
ENSG00000010072.16|SPRTN	438.77	406.93	235.36	296.28	420.81	300.39
ENSG00000010165.20|EEF1AKNMT	1182	1047	896	801	1231	968
ENSG00000010219.13|DYRK4	322	247	338.01	251	335	226
ENSG00000010244.18|ZNF207	3891	3743.74	4697	3631	4418.71	3679
ENSG00000010256.11|UQCRC1	3967	3357	4891	3851	4825	4088
ENSG00000010270.13|STARD3NL	917	782	829	748	870	689
ENSG00000010278.14|CD9	1626	1283	15182	6497	2150	2267
ENSG00000010292.13|NCAPD2	3714.82	3222.09	2745.37	2727.36	4194.78	3116.67
ENSG00000010295.19|IFFO1	864	772	1027	930	951	882
ENSG00000010310.9|GIPR	32	36	103	60	29	38
ENSG00000010318.21|PHF7	80	66	90	80	107	72
ENSG00000010322.16|NISCH	2582	2341	2813	2319	2794	2570
ENSG00000010327.10|STAB1	14.06	13.04	8.04	15.01	7.02	22.03
ENSG00000010361.13|FUZ	254.96	234.57	216.35	201.09	347.82	278.12
ENSG00000010404.18|IDS	6532.7	6080.04	7239.35	5650.36	6706.69	5691.05
ENSG00000010539.11|ZNF200	250	225	207	186	280	212
ENSG00000010626.15|LRRC23	116.53	95.27	114.65	115.34	120.64	125.48
ENSG00000010704.18|HFE	548	485	398	459	572	503
ENSG00000010803.16|SCMH1	692	579	575.98	498	762	551.99
ENSG00000010810.17|FYN	6151	5551	5970	5263	6751	5294
ENSG00000010818.10|HIVEP2	569	563	664.08	532	591	506
ENSG00000011007.12|ELOA	1434.65	1231.57	1171.98	1012.99	1529.7	1175.52
ENSG00000011009.11|LYPLA2	470	360	360	338	479	446
ENSG00000011021.23|CLCN6	892	811.85	1172.75	903	1000	883.42
ENSG00000011028.14|AC080038.1	3494.79	3114.71	3360.44	3523.79	4003.53	3692.83
ENSG00000011052.21|NME1-NME2	376.63	470.35	228.77	222.99	537.58	293.74
ENSG00000011105.14|TSPAN9	2020	2018	3619	2775	2199	2253
ENSG00000011114.15|BTBD7	682	622	593	555	710	603
ENSG00000011132.12|APBA3	327.64	309	291	256.89	370.7	307.63
ENSG00000011143.16|MKS1	408	360	386	338	490	400
ENSG00000011198.9|ABHD5	1045	963	855	759	1182	867
ENSG00000011201.12|ANOS1	436	471	332	349	440	415
ENSG00000011243.18|AKAP8L	2423.84	2042.17	3921.26	2598.56	2705.21	2111.41
ENSG00000011258.16|MBTD1	472	451	617	445	543	392
ENSG00000011260.14|UTP18	900	889	679	697	1044	757
ENSG00000011275.18|RNF216	1900	1801.13	1500.36	1614.45	2083.29	1707.28
ENSG00000011295.16|TTC19	1425.99	1282.1	1728.2	1335	1492.95	1260.84
ENSG00000011304.20|PTBP1	5845	4983	4399	4415	6872	5410
ENSG00000011332.19|DPF1	370	336	438	352	440	352
ENSG00000011347.9|SYT7	25	7	75	35	17	16
ENSG00000011376.11|LARS2	1882	1594	1111	1362	1855	1600
ENSG00000011405.13|PIK3C2A	1221	1116	974	839	1148	948
ENSG00000011422.12|PLAUR	231	211	194	191	256	203
ENSG00000011426.11|ANLN	3790	3254	2115	2641	4360	3258
ENSG00000011451.19|WIZ	2411	2060	1821	2010	2806	2374
ENSG00000011454.17|RABGAP1	1443	1315	1377	1141	1514	1244
ENSG00000011465.17|DCN	645	542	315	430	607	457
ENSG00000011478.12|QPCTL	154	155	184	175	221	164
ENSG00000011485.14|PPP5C	1807	1520	1153.76	1343.46	2147	1653
ENSG00000011523.14|CEP68	341	318	334.04	322	353	342
ENSG00000011566.15|MAP4K3	992	890	870	753	1024	748
ENSG00000011638.10|TMEM159	46	39	61	27	41	24
ENSG00000011677.13|GABRA3	1387	1199	846	916	1115	903
ENSG00000012048.22|BRCA1	1564	1275	863	1019	1713	1242
ENSG00000012061.15|ERCC1	2031.39	1771.87	1500.46	1474.25	2249.34	1852.85
ENSG00000012171.19|SEMA3B	441	350	339	315	547	395
ENSG00000012174.12|MBTPS2	1181.39	1194.88	1053.69	1007	1371.7	1117
ENSG00000012211.13|PRICKLE3	58.68	73.32	42.58	64.67	74.99	57.87
ENSG00000012232.8|EXTL3	5469	4676	3325	3761	5983	4834
ENSG00000012660.14|ELOVL5	3588	3397	2109	2524	3954	2874
ENSG00000012817.15|KDM5D	1008	931	1163	922	1123	957
ENSG00000012822.16|CALCOCO1	970	949	2406	1426	1060	1070
ENSG00000012963.15|UBR7	1330.66	1175	923	1055	1609.1	1193
ENSG00000012983.11|MAP4K5	970	817	809	705	984	766
ENSG00000013016.16|EHD3	572	461	270	373	544	451
ENSG00000013275.7|PSMC4	2383	2005	1586	1727	2705	2026
ENSG00000013288.8|MAN2B2	267	235	214	257	296	277
ENSG00000013306.16|SLC25A39	1391	1180	1147	1105	1468	1427
ENSG00000013364.19|MVP	864.27	698	679	688	993	811.65
ENSG00000013374.16|NUB1	1304.96	1165	1267.88	1082.95	1382.97	1105.97
ENSG00000013375.16|PGM3	1215.67	1122.72	1659.03	1022.91	1324.55	978.45
ENSG00000013392.8|RWDD2A	219	213	199	166	185	158
ENSG00000013441.16|CLK1	751	657	2038	1049	1042	861
ENSG00000013503.10|POLR3B	520	449	238	327	577	451
ENSG00000013523.9|ANGEL1	528.83	489.43	429.93	431.69	523.91	483.59
ENSG00000013561.18|RNF14	1605	1478	1783.47	1480	1707	1434
ENSG00000013563.14|DNASE1L1	239.32	214.15	287.57	235.28	307.41	278.33
ENSG00000013573.17|DDX11	1560.4	1274.62	928.12	1069.89	1741.26	1282.81
ENSG00000013583.10|HEBP1	362	391	431	346	438	394
ENSG00000013588.8|GPRC5A	12	14	823	321	13	44
ENSG00000013619.14|MAMLD1	1600	1253	668	891	1604	1257
ENSG00000013810.19|TACC3	2201	1813	1198	1532	2730	2065
ENSG00000014123.10|UFL1	1247	1172	1248	1037	1338	1082
ENSG00000014138.9|POLA2	499.68	417.64	293.36	400.58	597.16	431.28
ENSG00000014164.7|ZC3H3	371	281	249	231	381	323
ENSG00000014216.15|CAPN1	1060.6	922	1063	902	1291.59	1159
ENSG00000014641.18|MDH1	2423.31	2253.09	2858	2318.34	2604.9	2209
ENSG00000014824.14|SLC30A9	2409	2201	2122	2032	2685	2054
ENSG00000014914.21|MTMR11	1138	980	1860	1278	1198	1123
ENSG00000014919.12|COX15	618.02	612.93	607.07	605.29	762.41	544.01
ENSG00000015133.19|CCDC88C	93	107	38	62	93	59
ENSG00000015153.14|YAF2	312	259	261	247	314	232
ENSG00000015171.19|ZMYND11	1597	1499	1352	1267	1722	1419
ENSG00000015285.10|WAS	36	45	14	21	38	23
ENSG00000015475.18|BID	470	425	353	362	462	432
ENSG00000015479.18|MATR3	7270.94	6653.36	6968.98	5999.52	8067.78	6366.4
ENSG00000015532.9|XYLT2	582	472	519	489	665	571
ENSG00000015568.13|RGPD5	157.31	363.13	1832.21	415.16	85.08	503.16
ENSG00000015592.16|STMN4	134	187	51	100	113	99
