Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000161939.19|RNASEK-C17orf49	27.77	25.45	29.2	27.6
ENSG00000161955.16|TNFSF13	162.75	214	183	166.17
ENSG00000161956.13|SENP3	1511.48	1539.96	1366.23	1496.09
ENSG00000161958.11|FGF11	75.98	102.4	90.9	72.65
ENSG00000161960.15|EIF4A1	13681.39	14709.64	14533.56	13974.6
ENSG00000161970.14|RPL26	6802	7272.5	6450.52	6140.78
ENSG00000161980.5|POLR3K	200.96	244	216.91	183.88
ENSG00000161981.10|SNRNP25	503.04	607	577.09	524.12
ENSG00000161996.19|WDR90	486.36	646.13	393.78	483
ENSG00000161999.12|JMJD8	418.35	446.96	321.39	335.1
ENSG00000162004.17|CCDC78	242	277	228	250
ENSG00000162032.16|SPSB3	122.44	116.56	112.96	139.45
ENSG00000162062.15|TEDC2	134	164	148	150
ENSG00000162063.13|CCNF	659.87	823.9	619	763.87
ENSG00000162065.13|TBC1D24	405	465	417	399
ENSG00000162066.15|AMDHD2	393.85	487	365	419.29
ENSG00000162073.13|PAQR4	667.5	780.45	648.25	755.19
ENSG00000162076.13|FLYWCH2	52	77	63	90
ENSG00000162086.14|ZNF75A	955.14	1085	1020.94	916.19
ENSG00000162104.10|ADCY9	682	797	732	738
ENSG00000162105.18|SHANK2	150	230	216	271
ENSG00000162129.13|CLPB	570.46	606.49	553.61	482.41
ENSG00000162139.10|NEU3	294	436	331	293
ENSG00000162144.9|CYB561A3	283.74	295.49	242.15	264.29
ENSG00000162148.11|PPP1R32	13	27.81	15	10
ENSG00000162174.12|ASRGL1	457.3	576.8	465.33	375.85
ENSG00000162188.6|GNG3	14	21	13.66	15.4
ENSG00000162191.13|UBXN1	1212	1253	1118	990
ENSG00000162194.12|LBHD1	124.8	172.36	132.58	151.87
ENSG00000162222.14|TTC9C	309	309	382	350
ENSG00000162227.8|TAF6L	404.85	459.24	386.01	396.12
ENSG00000162231.14|NXF1	2165	2335	2262	2337
ENSG00000162236.11|STX5	606	607	593	575
ENSG00000162241.12|SLC25A45	236	293	234	250
ENSG00000162244.11|RPL29	4132.82	4371.72	3671.27	3869.52
ENSG00000162298.18|SYVN1	929.63	1091.76	914.54	966.78
ENSG00000162300.13|ZFPL1	349.09	349.28	299.65	304.45
ENSG00000162302.13|RPS6KA4	538	666	566	646
ENSG00000162337.12|LRP5	1732	1978	1519	1636
ENSG00000162341.17|TPCN2	238	286.83	192.75	247
ENSG00000162367.11|TAL1	5	14	0	10
ENSG00000162368.13|CMPK1	1327	1546	1525	1409
ENSG00000162373.13|BEND5	88	98	81	63
ENSG00000162377.6|COA7	702	844	772	680
ENSG00000162378.13|ZYG11B	737	1012	856	882
ENSG00000162384.14|CZIB	512	608	668	499
ENSG00000162385.11|MAGOH	427	469	477	429
ENSG00000162390.17|ACOT11	58	78	55.86	56
ENSG00000162396.6|PARS2	87	123	95	109
ENSG00000162402.14|USP24	1625	2020	1927	1719
ENSG00000162407.9|PLPP3	3065.2	3711.86	3488.66	3342.44
ENSG00000162408.11|NOL9	160	201	161	135
ENSG00000162409.11|PRKAA2	254	300	267	218
ENSG00000162413.16|KLHL21	301	334	269	282
ENSG00000162415.7|ZSWIM5	376	350	329	311
ENSG00000162419.12|GMEB1	337	374	341	299
ENSG00000162426.14|SLC45A1	17	34	18	25
ENSG00000162430.17|SELENON	6285.96	7032.36	6270.95	6503.91
ENSG00000162433.15|AK4	851.34	996.68	845.91	735.99
ENSG00000162434.12|JAK1	1105	1264	1218	1097
ENSG00000162437.14|RAVER2	332	373	405	342
ENSG00000162441.12|LZIC	747	908	876	824
ENSG00000162458.13|FBLIM1	577	591	717	648
ENSG00000162461.8|SLC25A34	135	107	89	114
ENSG00000162490.7|DRAXIN	350	386	278	236
ENSG00000162512.16|SDC3	2221	2508	2180	2284
ENSG00000162517.13|PEF1	318	336	303	337
ENSG00000162520.14|SYNC	69.41	74.76	59.66	73.36
ENSG00000162521.19|RBBP4	5317.58	6354.21	5910.31	5276.61
ENSG00000162522.11|KIAA1522	498	627	426	518
ENSG00000162526.7|TSSK3	44.32	40.2	37.98	38.09
ENSG00000162542.13|TMCO4	173	170	151	160
ENSG00000162545.6|CAMK2N1	762	854	905	927
ENSG00000162551.14|ALPL	36	33	21	19
ENSG00000162572.20|SCNN1D	95	124	106	108
ENSG00000162576.16|MXRA8	56	72	76	66
ENSG00000162585.17|FAAP20	164.86	214.66	147.8	221.11
ENSG00000162599.16|NFIA	1578	1847	1456	1328
ENSG00000162600.12|OMA1	127	141	150	112
ENSG00000162601.10|MYSM1	824	1010	1072	861
ENSG00000162604.12|TM2D1	252	268	270	260
ENSG00000162607.13|USP1	1373	1545	1467	1289
ENSG00000162613.16|FUBP1	1917	2315	2156	2004
ENSG00000162614.18|NEXN	81	71.65	89.78	70.91
ENSG00000162616.9|DNAJB4	262	270	368	297
ENSG00000162620.16|LRRIQ3	16	14	18	22
ENSG00000162623.16|TYW3	286	267.92	265.98	247.33
ENSG00000162627.17|SNX7	242	292	301	296
ENSG00000162630.5|B3GALT2	18	26	12	7
ENSG00000162636.16|FAM102B	292	402	333	299
ENSG00000162641.19|AKNAD1	159	192.04	184	153
ENSG00000162642.14|C1orf52	199	249	239	219
ENSG00000162650.16|ATXN7L2	242	258	211	242
ENSG00000162664.17|ZNF326	1102	1241	1120	986
ENSG00000162669.16|HFM1	101	102	122	90
ENSG00000162670.11|BRINP3	2111	2145	2185	1796.98
ENSG00000162676.12|GFI1	20	13	11	17
ENSG00000162688.17|AGL	297	494	483	363
ENSG00000162694.14|EXTL2	548.59	766.92	741.88	712.84
ENSG00000162695.12|SLC30A7	385	499	499	391
ENSG00000162702.8|ZNF281	722	913	918	773
ENSG00000162704.16|ARPC5	2601	3009	2779	2674
ENSG00000162706.13|CADM3	16	22.91	10.88	19
ENSG00000162714.12|ZNF496	1259	1467	1230	1137
ENSG00000162729.14|IGSF8	253	297	251	269
ENSG00000162733.18|DDR2	646	862	821	732
ENSG00000162734.12|PEA15	2650	2680.98	2469.97	2410.99
ENSG00000162735.18|PEX19	865	945	847	826
ENSG00000162736.17|NCSTN	2208	2409	2457	2314
ENSG00000162738.6|VANGL2	1101	1206	1103	1033
ENSG00000162745.10|OLFML2B	12	22	27	17
ENSG00000162746.14|FCRLB	14	19	20	16
ENSG00000162757.4|C1orf74	143.4	167.17	154.98	139.9
ENSG00000162769.13|FLVCR1	312	458	471	379
ENSG00000162772.17|ATF3	167	185	188	173
ENSG00000162775.15|RBM15	213	275	255	216
ENSG00000162783.10|IER5	1446	1540	1411	1351
ENSG00000162804.14|SNED1	166.89	254.93	201.52	237.06
ENSG00000162813.18|BPNT1	353	414	450	413
ENSG00000162814.11|SPATA17	21	35	35	34
ENSG00000162817.7|C1orf115	2469	3128	3688	3765
ENSG00000162819.12|BROX	802.73	956.85	944.56	848.98
ENSG00000162825.16|NBPF20	155.12	200.8	195.48	162.28
ENSG00000162836.12|ACP6	385	432	401	434
ENSG00000162851.8|TFB2M	206	213	199	178
ENSG00000162852.14|CNST	310	371	381	312
ENSG00000162869.16|PPP1R21	439	506	487	492
ENSG00000162873.14|KLHDC8A	1909	2031	1551	1496
ENSG00000162878.13|PKDCC	144	180	173	138
ENSG00000162885.13|B3GALNT2	732.29	906.68	805.92	734.2
ENSG00000162889.10|MAPKAPK2	1238	1351	1192	1298
ENSG00000162909.18|CAPN2	2453	2741	2635	2702
ENSG00000162910.19|MRPL55	182	203	202	187
ENSG00000162913.9|OBSCN-AS1	10	3.47	3.31	16.5
ENSG00000162923.16|WDR26	2258	2810.76	2671.87	2531.88
ENSG00000162924.14|REL	124.4	117.4	144.6	123.45
ENSG00000162927.14|PUS10	90	86	82	78.5
ENSG00000162928.9|PEX13	314	448	460	407.5
ENSG00000162929.13|KIAA1841	351.58	433.46	476	430.03
ENSG00000162931.12|TRIM17	12	12	16	9
ENSG00000162944.10|RFTN2	558	644	609	528
ENSG00000162946.22|DISC1	315	386.68	313.37	289.87
ENSG00000162959.13|MEMO1	354.22	410.34	416.51	338.86
ENSG00000162961.14|DPY30	362	444	440	462.76
ENSG00000162971.11|TYW5	313.6	322	331	352.4
ENSG00000162972.10|MAIP1	214.4	234	222	161.6
ENSG00000162975.5|KCNF1	852	939	974	1025
ENSG00000162976.13|PQLC3	138	111	122	131
ENSG00000162980.17|ARL5A	687.05	726.01	764.86	607.25
ENSG00000162981.14|FAM84A	159	167	154	149
ENSG00000162992.3|NEUROD1	274.91	287	151	155
ENSG00000162994.16|CLHC1	209	196	226	156
ENSG00000162997.15|PRORSD1P	27	13	11	18
ENSG00000162999.12|DUSP19	47	69	60	64
ENSG00000163001.11|CFAP36	495	569	486	435
ENSG00000163002.13|NUP35	376	418	401	368
ENSG00000163006.12|CCDC138	301	304	288	281
ENSG00000163013.11|FBXO41	188	185	143	160
ENSG00000163026.12|WDCP	524	601	592	594
ENSG00000163029.16|SMC6	1097	1228	1217	1165
ENSG00000163040.14|CCDC74A	41.59	60.95	38.17	41.3
ENSG00000163041.10|H3F3A	4776.85	5727.17	5599.92	5246.2
ENSG00000163050.17|COQ8A	346	394	312	345
ENSG00000163053.11|SLC16A14	100	120	109	110
ENSG00000163064.6|EN1	77	84	51	74
ENSG00000163069.12|SGCB	2424	2860	2895	2724
ENSG00000163072.15|NOSTRIN	14	23	28	18
ENSG00000163082.10|SGPP2	25	38	20	18
ENSG00000163083.6|INHBB	174	188	152	144
ENSG00000163093.12|BBS5	141.23	143.25	132.86	130.77
ENSG00000163104.17|SMARCAD1	1571	1943	1896	1749
ENSG00000163110.15|PDLIM5	1793	2388	2238	1942
ENSG00000163125.15|RPRD2	1371	1615	1415	1274
ENSG00000163126.15|ANKRD23	30.98	62.94	53.31	41.1
ENSG00000163131.11|CTSS	11	18	8	7
ENSG00000163132.7|MSX1	134	164	153	140
ENSG00000163138.19|PACRGL	233.65	205.46	252.16	177.57
ENSG00000163141.19|BNIPL	222	259	261	234
ENSG00000163155.12|LYSMD1	360	450	389	392
ENSG00000163156.11|SCNM1	759	749	750	733
ENSG00000163157.15|TMOD4	31.62	38.08	53.07	46.91
ENSG00000163159.12|VPS72	1789.38	1818.92	1630.93	1561.09
ENSG00000163161.13|ERCC3	1605	1761	1705	1639
ENSG00000163162.8|RNF149	424	500	510	490
ENSG00000163166.15|IWS1	1382	1620	1406	1375
ENSG00000163170.12|BOLA3	134	156	147	147
ENSG00000163171.7|CDC42EP3	2853	3550	3738	3605.12
ENSG00000163191.6|S100A11	1571	1710	1873	1873
ENSG00000163214.21|DHX57	737	808	777	778
ENSG00000163219.11|ARHGAP25	582	662	697	644
ENSG00000163235.16|TGFA	79	61	93	88
ENSG00000163249.12|CCNYL1	497	657.99	601	575
ENSG00000163251.4|FZD5	313	376	372	426
ENSG00000163257.11|DCAF16	671	775	636	631
ENSG00000163281.11|GNPDA2	425	499	488	394
ENSG00000163291.14|PAQR3	384.06	505.91	523.09	451.1
ENSG00000163297.17|ANTXR2	661	791	716	725
ENSG00000163312.11|HELQ	279	334	331	322
ENSG00000163319.11|MRPS18C	546.52	639.61	648.51	599.45
ENSG00000163320.11|CGGBP1	2835	3419	3477	3075
ENSG00000163322.14|ABRAXAS1	370.48	426.39	483.49	368.55
ENSG00000163328.13|GPR155	306	382	389	301
ENSG00000163344.6|PMVK	311	324	334	257
ENSG00000163346.17|PBXIP1	1076	1016	925	916
ENSG00000163348.4|PYGO2	579	597.66	564	610
ENSG00000163349.22|HIPK1	1602	2101	1780	1744
ENSG00000163362.11|INAVA	163	163	149	145
ENSG00000163364.9|LINC01116	51	69	65	67
ENSG00000163374.19|YY1AP1	1975.05	2188.47	2088.91	2030.81
ENSG00000163376.11|KBTBD8	56	78	83	44
ENSG00000163378.14|EOGT	180	184	211	190
ENSG00000163382.12|NAXE	963	1027	799	867
ENSG00000163389.12|POGLUT1	403	537	561	533
ENSG00000163399.16|ATP1A1	9554.9	10604.96	10051.72	10290.88
ENSG00000163406.11|SLC15A2	279	375	311	279
ENSG00000163412.13|EIF4E3	12	19	22	23
ENSG00000163428.4|LRRC58	1419	2000	1735	1541
ENSG00000163430.12|FSTL1	1314	1590.95	1275.47	1322
ENSG00000163431.13|LMOD1	82.74	73.02	71.49	51.03
ENSG00000163444.12|TMEM183A	1296.39	1357.47	1301.19	1300.17
ENSG00000163449.11|TMEM169	291	398	380	374
ENSG00000163453.11|IGFBP7	519.3	623.4	567.24	603.41
ENSG00000163462.18|TRIM46	181	225	180	214
ENSG00000163463.11|KRTCAP2	472	510.6	468	469
ENSG00000163466.16|ARPC2	2977	3368	3384	3247
ENSG00000163467.11|TSACC	10	6	12	7
ENSG00000163468.15|CCT3	7804	8213	7602	7471
ENSG00000163472.19|TMEM79	283	326.77	277	275.19
ENSG00000163479.14|SSR2	4393	4696	4160	3877
ENSG00000163481.8|RNF25	517	525	488	474
ENSG00000163482.12|STK36	1752	1861	1772	1699
ENSG00000163485.17|ADORA1	301	280	240	241
ENSG00000163491.16|NEK10	9	12	14	15
ENSG00000163507.14|CIP2A	894	1201	1035	1021
ENSG00000163510.14|CWC22	607	685	786	646
ENSG00000163512.14|AZI2	428.39	471.77	541.03	462.12
ENSG00000163516.13|ANKZF1	1224	1324	1222	1188
ENSG00000163517.15|HDAC11	302	311	248	258
ENSG00000163521.16|GLB1L	198	202	186	175
ENSG00000163527.9|STT3B	1438	1652	1698	1470
ENSG00000163528.13|CHCHD4	195	161	179	187
ENSG00000163531.15|NFASC	768	911	693	722
ENSG00000163535.18|SGO2	1082	1416	1148	1184
ENSG00000163536.12|SERPINI1	1051	1211	942	838
ENSG00000163539.17|CLASP2	836	1039	943	853
ENSG00000163541.12|SUCLG1	903	855	858	876
ENSG00000163545.8|NUAK2	56	76	65	73
ENSG00000163558.13|PRKCI	443	515	557	494
ENSG00000163565.18|IFI16	867	876	940	928
ENSG00000163576.18|EFHB	21	22	13	15
ENSG00000163577.8|EIF5A2	312	448	396	345
ENSG00000163584.18|RPL22L1	727	913	938	813
ENSG00000163590.14|PPM1L	1061	1427	1103	959
ENSG00000163596.16|ICA1L	245	323	316	265
ENSG00000163597.14|SNHG16	740.98	880.26	708.91	706.24
ENSG00000163602.10|RYBP	671	849	813	814
ENSG00000163605.14|PPP4R2	1350.85	1670.73	1635.82	1501.93
ENSG00000163607.15|GTPBP8	198.98	242	212	203.92
ENSG00000163608.15|NEPRO	921.77	1008.08	1047.85	908
ENSG00000163611.11|SPICE1	324.23	365.12	360.87	339.51
ENSG00000163617.11|CCDC191	128	134	176	156
ENSG00000163623.9|NKX6-1	321	336	267	264
ENSG00000163624.6|CDS1	23	32	24	21
ENSG00000163625.15|WDFY3	1101	1512	1349	1300
ENSG00000163626.16|COX18	294	332	271	253
ENSG00000163629.13|PTPN13	2477	3248	3211	2972
ENSG00000163633.12|C4orf36	22.39	24.82	35.51	7.27
ENSG00000163634.12|THOC7	383	355	341	402
ENSG00000163635.18|ATXN7	183.68	218.32	188.35	207.57
ENSG00000163636.10|PSMD6	948.55	1091.64	1138.64	954.55
ENSG00000163637.13|PRICKLE2	529.37	610	494	475.32
ENSG00000163638.13|ADAMTS9	521	673	707	667
ENSG00000163644.15|PPM1K	250	392	327	327
ENSG00000163655.16|GMPS	1731.84	2058.89	1826	1655
ENSG00000163659.13|TIPARP	851	1015	905	856
ENSG00000163660.11|CCNL1	2222	2423	2442	2145
ENSG00000163661.4|PTX3	844	928	693	618
ENSG00000163666.10|HESX1	7	16	12	11
ENSG00000163681.14|SLMAP	487	566	538	440
ENSG00000163682.16|RPL9	7119.05	7744.57	7175.4	6656.02
ENSG00000163683.12|SMIM14	378	534	449	468
ENSG00000163684.11|RPP14	404.79	490.72	468.51	412.62
ENSG00000163686.14|ABHD6	169	180	179	177
ENSG00000163694.15|RBM47	46	77	40	37
ENSG00000163697.17|APBB2	1831	2285	1987	1721
ENSG00000163701.19|IL17RE	21	33	39	36
ENSG00000163702.20|IL17RC	393	363	340	371
ENSG00000163703.17|CRELD1	460	513	486	472
ENSG00000163704.12|PRRT3	128	107.62	104	101
ENSG00000163710.9|PCOLCE2	53	59	61	50
ENSG00000163714.17|U2SURP	2633.11	3173.28	3073.8	2492.98
ENSG00000163719.19|MTMR14	618	616	531	553
ENSG00000163728.11|TTC14	823	1020	1099	886
ENSG00000163738.18|MTHFD2L	359	383.94	373.96	353
ENSG00000163743.13|RCHY1	466	626	529	475
ENSG00000163754.17|GYG1	926	1023	968	994
ENSG00000163755.8|HPS3	656	817.61	798.92	761
ENSG00000163781.13|TOPBP1	2250	2577	2372	2208
ENSG00000163785.12|RYK	1456	1601	1529	1313
ENSG00000163788.14|SNRK	1354.49	1729.14	1324.29	1155.9
ENSG00000163794.6|UCN	21	20	8	17
ENSG00000163795.14|ZNF513	322.11	397.79	294.58	375.44
ENSG00000163798.13|SLC4A1AP	746.26	814.37	804.42	810.49
ENSG00000163803.13|PLB1	5	14	18	8
ENSG00000163807.6|KIAA1143	844	1058	945	850
ENSG00000163808.17|KIF15	1014	1311	973	1040
ENSG00000163811.12|WDR43	998	1236	1169	1081
ENSG00000163812.14|ZDHHC3	832	821	803	748
ENSG00000163818.17|LZTFL1	162	183	183	215
ENSG00000163820.15|FYCO1	328	386	305	305
ENSG00000163832.16|ELP6	383	423	382	366
ENSG00000163840.10|DTX3L	902.97	1128.51	1132.73	1096.88
ENSG00000163848.19|ZNF148	858	1123	1022	932
ENSG00000163866.9|SMIM12	552.98	621.36	642	599.05
ENSG00000163867.17|ZMYM6	244.15	373.21	356.97	319.03
ENSG00000163870.15|TPRA1	294	336	274	312
ENSG00000163872.16|YEATS2	1770.62	2054.69	1935.6	1934.72
ENSG00000163873.10|GRIK3	4595	5536	4687	4911
ENSG00000163874.11|ZC3H12A	28	38	22	33
ENSG00000163875.15|MEAF6	939	1043	996	963
ENSG00000163877.11|SNIP1	291	335	309	272
ENSG00000163879.11|DNALI1	266	253	317	285
ENSG00000163882.9|POLR2H	697	753	747	684
ENSG00000163884.4|KLF15	305	361	276	301
ENSG00000163888.4|CAMK2N2	261.02	266.61	188.82	197.01
ENSG00000163900.11|TMEM41A	283.6	285.79	277.03	263.73
ENSG00000163902.12|RPN1	3715	3935	3571	3572
ENSG00000163904.13|SENP2	1063	1250	1221	1092
ENSG00000163913.11|IFT122	667.79	706	649.29	616.75
ENSG00000163918.10|RFC4	1007	1050	997	980
ENSG00000163930.10|BAP1	1751	1886	1584	1698
ENSG00000163931.16|TKT	3094	3453	3153	3461
ENSG00000163932.14|PRKCD	117	126	128	144
ENSG00000163933.10|RFT1	303	317	327	316
ENSG00000163935.14|SFMBT1	224	269	268	189
ENSG00000163938.17|GNL3	1300	1498	1433	1231
ENSG00000163939.18|PBRM1	1052	1413.55	1227.81	1092.74
ENSG00000163945.16|UVSSA	891	1008	959	923
ENSG00000163946.13|TASOR	9.16	5.08	10.26	13.13
ENSG00000163947.11|ARHGEF3	184	218	149	150
ENSG00000163950.13|SLBP	1272	1349	1275	1199
ENSG00000163956.12|LRPAP1	1858	2127	1749	1863
ENSG00000163959.10|SLC51A	9	22	18	22
ENSG00000163960.12|UBXN7	1342	2001	1917	1794
ENSG00000163961.4|RNF168	799	898	812	720
ENSG00000163964.14|PIGX	463	553	509	419
ENSG00000163975.12|MELTF	78	61	68	73
ENSG00000163995.20|ABLIM2	34	20	23	28
ENSG00000164002.11|EXO5	280	298.99	313.7	258
ENSG00000164008.16|C1orf50	138.22	174.76	213.87	174.75
ENSG00000164010.15|ERMAP	179.55	194.94	174.38	180.38
ENSG00000164011.18|ZNF691	199	233	170	177
ENSG00000164022.16|AIMP1	888.21	1049.05	1129.98	1024.8
ENSG00000164023.14|SGMS2	9	12	4.28	10
ENSG00000164024.12|METAP1	872	1054	1003	885
ENSG00000164031.17|DNAJB14	776	940	900	789
ENSG00000164032.12|H2AFZ	5752	6868	6180	6027
ENSG00000164037.16|SLC9B1	10	11.01	12	21
ENSG00000164038.15|SLC9B2	258.17	322	315	252.25
ENSG00000164039.15|BDH2	598.83	585.97	549.99	470.75
ENSG00000164040.16|PGRMC2	819	966	838	755
ENSG00000164045.11|CDC25A	406	513	444	436
ENSG00000164048.14|ZNF589	288	350	310	315.03
ENSG00000164050.13|PLXNB1	2289	2562	2271	2344
ENSG00000164051.14|CCDC51	200.07	204	178.33	230
ENSG00000164053.21|ATRIP	232.97	298.7	295.71	311.24
ENSG00000164054.15|SHISA5	1279	1507	1249	1475
ENSG00000164056.11|SPRY1	3133	3817	3702	3687
ENSG00000164061.5|BSN	141	184	114	120
ENSG00000164062.13|APEH	1089	1159	908	1069
ENSG00000164066.13|INTU	95	124	147	136
ENSG00000164068.16|RNF123	500.83	541.79	469.87	532.97
ENSG00000164070.12|HSPA4L	324	459	414	355
ENSG00000164073.10|MFSD8	237	286	283	225
ENSG00000164074.15|ABHD18	112	153	159	143
ENSG00000164076.17|CAMKV	12	24	13	14
ENSG00000164077.14|MON1A	125	145	99	159
ENSG00000164080.13|RAD54L2	679	863	727	623
ENSG00000164081.12|TEX264	435	455	321	353
ENSG00000164082.15|GRM2	134	192	171	210
ENSG00000164086.10|DUSP7	178	204	199	172
ENSG00000164087.7|POC1A	466	457	359	434
ENSG00000164088.18|PPM1M	233	188	211	222
ENSG00000164091.12|WDR82	2704	3228	2953	2668
ENSG00000164096.13|C4orf3	957	1064	1099	901
ENSG00000164104.11|HMGB2	5528	6482	5265	5330
ENSG00000164105.4|SAP30	351	447	354	378
ENSG00000164106.8|SCRG1	17	15	30	22
ENSG00000164109.14|MAD2L1	1482	1773	1554	1460
ENSG00000164111.15|ANXA5	1780	2028	2096	2100
ENSG00000164114.19|MAP9	314	417	393	364
ENSG00000164117.13|FBXO8	188.77	197	233.01	179.43
ENSG00000164118.13|CEP44	296.23	421	383.99	353.57
ENSG00000164134.13|NAA15	1322	1545	1432	1329
ENSG00000164144.16|ARFIP1	451	515	537	471
ENSG00000164151.12|ICE1	2741	3542	3331	3240
ENSG00000164161.10|HHIP	19	34	13	23
ENSG00000164162.14|ANAPC10	185.85	202.34	172.51	172.31
ENSG00000164163.11|ABCE1	2416	2686.99	2636.99	2356
ENSG00000164164.16|OTUD4	856	1052	1105	925
ENSG00000164167.12|LSM6	415	412	400	335
ENSG00000164168.7|TMEM184C	779	1011	1106	895
ENSG00000164169.13|PRMT9	202	237	232	182
ENSG00000164171.11|ITGA2	791	990	1026	848
ENSG00000164172.19|MOCS2	828	865	944	814
ENSG00000164180.13|TMEM161B	698.26	804.94	838.33	714
ENSG00000164181.14|ELOVL7	13	15	8	13
ENSG00000164182.11|NDUFAF2	237	276	264.76	230.92
ENSG00000164187.7|LMBRD2	536	676	676	631
ENSG00000164188.8|RANBP3L	54	51	34	19
ENSG00000164190.18|NIPBL	2072	2700	2355	2183
ENSG00000164197.12|RNF180	387	447	444	358
ENSG00000164199.18|ADGRV1	755	1078	1066	978
ENSG00000164209.17|SLC25A46	1098	1411	1336	1200
ENSG00000164211.13|STARD4	457	609	679	561
ENSG00000164219.10|PGGT1B	1014.24	1140.79	1166.53	957.27
ENSG00000164220.7|F2RL2	16	9	12	15
ENSG00000164221.13|CCDC112	549	622	671	592
ENSG00000164236.12|ANKRD33B	196	216	199	186
ENSG00000164237.9|CMBL	21	26	33	18
ENSG00000164244.20|PRRC1	839	1047	892	818
ENSG00000164252.13|AGGF1	1121.98	1409.74	1224.68	1070.12
ENSG00000164253.14|WDR41	970	1240.31	1430.1	1323.62
ENSG00000164258.12|NDUFS4	1281	1317	1385	1327
ENSG00000164284.15|GRPEL2	145	184	148	145
ENSG00000164291.16|ARSK	166	176	230	218
ENSG00000164292.13|RHOBTB3	2403.98	2912	2802.51	2622.99
ENSG00000164296.7|TIGD6	129	147.92	102.03	105.73
ENSG00000164300.17|SERINC5	3635.14	4509.74	4556.16	4196.97
ENSG00000164303.11|ENPP6	21	27	13	11
ENSG00000164305.19|CASP3	957	1114	1032	1046
ENSG00000164306.11|PRIMPOL	226.8	268.88	286.99	257.85
ENSG00000164307.13|ERAP1	1504.84	1819.32	1749.17	1561.62
ENSG00000164308.16|ERAP2	719	870	805	796
ENSG00000164309.15|CMYA5	18	35	13	20
ENSG00000164323.14|CFAP97	1574	2012	1891	1767
ENSG00000164327.13|RICTOR	549	792	707	602
ENSG00000164329.13|TENT2	788	958	880	797
ENSG00000164330.17|EBF1	409	527	391	450
ENSG00000164331.10|ANKRA2	185.93	252	272.06	221.82
ENSG00000164332.8|UBLCP1	472	602	597	601
ENSG00000164338.10|UTP15	432.07	534	516.94	488.18
ENSG00000164342.12|TLR3	111	113	85	99
ENSG00000164346.10|NSA2	1564.22	1803.56	1617.21	1632.62
ENSG00000164347.18|GFM2	622.73	791.31	723.57	685.34
ENSG00000164366.3|CCDC127	568.31	701	619.61	587
ENSG00000164398.13|ACSL6	48	70	55	42
ENSG00000164402.14|SEPT8	1694.5	1893.39	1612.31	1627.65
ENSG00000164403.14|SHROOM1	78	98	77	106
ENSG00000164404.8|GDF9	18	32.2	34.29	27.35
ENSG00000164405.11|UQCRQ	544	654.8	607.71	625.65
ENSG00000164406.7|LEAP2	22	15	39	17
ENSG00000164414.18|SLC35A1	423.13	519.93	533.31	483.3
ENSG00000164434.12|FABP7	2598	2417	2564	2111
ENSG00000164440.15|TXLNB	56.2	72	51.26	57
ENSG00000164442.10|CITED2	115	144	110	104
ENSG00000164463.12|CREBRF	141	197	173	168
ENSG00000164465.18|DCBLD1	286	309	416	358.04
ENSG00000164466.13|SFXN1	1142	1232	1228	1121
ENSG00000164494.12|PDSS2	295	321	313	298
ENSG00000164506.14|STXBP5	123	118	142	89
ENSG00000164532.10|TBX20	16	37.88	21.68	27
ENSG00000164535.15|DAGLB	320	376	352.86	426
ENSG00000164542.12|KIAA0895	239	325	295	290
ENSG00000164543.7|STK17A	1111.28	1289.68	1240	1112.78
ENSG00000164548.11|TRA2A	2247	2643	2636	2246
ENSG00000164574.16|GALNT10	2361	2535	1994	1988
ENSG00000164576.12|SAP30L	324	397	387	352
ENSG00000164587.13|RPS14	3546	3660	3248	3165
ENSG00000164588.7|HCN1	1000	1145	1335	1189
ENSG00000164591.13|MYOZ3	15	22	5	16
ENSG00000164597.13|COG5	892.68	1142.91	1066.07	865.16
ENSG00000164603.12|BMT2	224	256	234	275
ENSG00000164609.10|SLU7	558	542	613	546
ENSG00000164610.9|RP9	548.12	616.28	597.74	554.38
ENSG00000164611.13|PTTG1	1026	1202	961	1046
ENSG00000164615.5|CAMLG	291	319	358	285
ENSG00000164619.10|BMPER	132	142	92	111
ENSG00000164620.9|RELL2	133.43	146.91	123	121.33
ENSG00000164631.19|ZNF12	518	763	653	582
ENSG00000164638.10|SLC29A4	304	385	280	318
ENSG00000164647.9|STEAP1	16	16	13	11
ENSG00000164649.20|CDCA7L	1629.62	1912.78	1538.72	1521.73
ENSG00000164654.16|MIOS	703	829	867	806
ENSG00000164659.15|KIAA1324L	18	20	17	21
ENSG00000164663.14|USP49	729.86	885.01	792.23	717.38
ENSG00000164669.13|INTS4P1	109.8	122.99	116.12	91.13
ENSG00000164683.17|HEY1	2535	2899	3113	2967
ENSG00000164684.13|ZNF704	1057	1436	1150	1010
ENSG00000164692.17|COL1A2	11	16	1	5
ENSG00000164713.9|BRI3	647	717	626	671.17
ENSG00000164715.6|LMTK2	876	1223	964	909
ENSG00000164733.21|CTSB	3152	3145	2799	2829
ENSG00000164742.16|ADCY1	887	1161	882	925
ENSG00000164743.5|C8orf48	12	15	9	11
ENSG00000164751.15|PEX2	488	529	545	487
ENSG00000164754.14|RAD21	5423	6791.4	5781.26	5715
ENSG00000164758.7|MED30	92	119	107	99
