Ctrl_602_R1B1	Ola_602_R1B1	Ctrl_602_R2B2	Ola_602_R2B2
ENSG00000009307.16|CSDE1	9619	10582	9822	8812
ENSG00000009335.18|UBE3C	800	990	896	860
ENSG00000009413.15|REV3L	5636.77	7411.43	6241.99	5449.01
ENSG00000009724.16|MASP2	30	51	34	23
ENSG00000009780.15|FAM76A	149	168	174	138
ENSG00000009830.11|POMT2	1757	2009	1732	1576
ENSG00000009844.16|VTA1	857	940	930	948
ENSG00000009954.11|BAZ1B	6212	7386	6564	6107
ENSG00000010017.13|RANBP9	2058.63	2353.86	2394.18	2477.9
ENSG00000010072.16|SPRTN	304.33	329.63	325.32	280.16
ENSG00000010165.20|EEF1AKNMT	590	578	530	599
ENSG00000010219.13|DYRK4	348	310.84	334.1	354
ENSG00000010244.18|ZNF207	4163	4709	4493	4209
ENSG00000010256.11|UQCRC1	1754	1735	1500	1641
ENSG00000010270.13|STARD3NL	988	1204	1180	1119
ENSG00000010278.14|CD9	3463	3805	4301	4308
ENSG00000010282.14|HHATL	20	22	19	8.36
ENSG00000010292.13|NCAPD2	3240.27	3687.5	3003.36	3085.62
ENSG00000010295.19|IFFO1	821	909	897	990
ENSG00000010310.9|GIPR	88	97	83	79
ENSG00000010318.21|PHF7	76	73	55	60
ENSG00000010322.16|NISCH	1611	1849	1572	1662
ENSG00000010361.13|FUZ	378.66	443.16	329.46	355.18
ENSG00000010404.18|IDS	832.88	1095.19	991.88	1011.95
ENSG00000010539.11|ZNF200	315	318	333	322
ENSG00000010626.15|LRRC23	112.82	110.09	87.95	74.37
ENSG00000010803.16|SCMH1	716	713	674	657.99
ENSG00000010810.17|FYN	5811	6058	5997	5488
ENSG00000010818.10|HIVEP2	231	369	259	288
ENSG00000011007.12|ELOA	2063.09	2401.52	2131.73	2053.23
ENSG00000011009.11|LYPLA2	1121	1192	1011.99	1160
ENSG00000011021.23|CLCN6	982	1109.51	1011.3	961.05
ENSG00000011028.14|AC080038.1	1910.84	2018.68	2217.95	2372.79
ENSG00000011052.21|NME1-NME2	368.25	449.69	152.01	222.41
ENSG00000011105.14|TSPAN9	597	648	600	572
ENSG00000011114.15|BTBD7	705	945	878	751
ENSG00000011132.12|APBA3	275	298.98	271	298
ENSG00000011143.16|MKS1	462	561	499	536
ENSG00000011198.9|ABHD5	362	424	436	391
ENSG00000011243.18|AKAP8L	2131.32	2233.16	1897.11	1961.65
ENSG00000011258.16|MBTD1	740	974	880	787
ENSG00000011260.14|UTP18	722	936	920	867
ENSG00000011275.18|RNF216	1874.23	2100.73	1764.75	1777.46
ENSG00000011295.16|TTC19	918.94	1029.35	1030	968.66
ENSG00000011304.20|PTBP1	6574	7791	6742	6715
ENSG00000011332.19|DPF1	318	321	347	366
ENSG00000011347.9|SYT7	10	12	6	7
ENSG00000011376.11|LARS2	698	775	706	706
ENSG00000011405.13|PIK3C2A	1398	1630	1608	1460
ENSG00000011422.12|PLAUR	139	165	120	97
ENSG00000011426.11|ANLN	2874	3872	3219	2996
ENSG00000011451.19|WIZ	1927	2267	1773	2023
ENSG00000011454.17|RABGAP1	2418	2847	2709	2475
ENSG00000011478.12|QPCTL	120	128	126	114
ENSG00000011485.14|PPP5C	1622.04	1719	1417	1496
ENSG00000011523.14|CEP68	921	1075.12	936.02	905
ENSG00000011566.15|MAP4K3	739	892	803	713
ENSG00000011638.10|TMEM159	57	67	65	37
ENSG00000012048.22|BRCA1	1233	1552	1403	1283
ENSG00000012061.15|ERCC1	1605.61	1823.44	1435.43	1500.69
ENSG00000012171.19|SEMA3B	159	153	134	108
ENSG00000012174.12|MBTPS2	640.66	853.89	773	716.06
ENSG00000012232.8|EXTL3	4340	5080	3769	3946
ENSG00000012660.14|ELOVL5	903	1050	1023	906
ENSG00000012822.16|CALCOCO1	1390	1506	1321	1281
ENSG00000012963.15|UBR7	1526	1613	1471.68	1304
ENSG00000012983.11|MAP4K5	770	976	964	833
ENSG00000013016.16|EHD3	154	155	172	145
ENSG00000013275.7|PSMC4	1711	1874	1576	1725
ENSG00000013288.8|MAN2B2	584	638	634	670
ENSG00000013306.16|SLC25A39	1311	1357	1123	1232
ENSG00000013364.19|MVP	96	91	66.41	76
ENSG00000013374.16|NUB1	511	604.87	543.97	513.91
ENSG00000013375.16|PGM3	968.25	1202.85	1127.22	1027.91
ENSG00000013392.8|RWDD2A	183	262	219	195
ENSG00000013441.16|CLK1	1416	1792	1872	1648
ENSG00000013503.10|POLR3B	281	346	257	273
ENSG00000013523.9|ANGEL1	2387.27	2791.89	2596.57	2452.1
ENSG00000013561.18|RNF14	386	472	545	479
ENSG00000013563.14|DNASE1L1	81.17	133.12	114.9	110.26
ENSG00000013573.17|DDX11	1384.44	1496.58	1174.68	1199.42
ENSG00000013583.10|HEBP1	146	168	108	124
ENSG00000013588.8|GPRC5A	14	8	12	21
ENSG00000013619.14|MAMLD1	687	717	615	662
ENSG00000013810.19|TACC3	3293.54	3821.37	2890	3175
ENSG00000014123.10|UFL1	715	952	857	868
ENSG00000014138.9|POLA2	667.65	742.54	625.31	613.94
ENSG00000014164.7|ZC3H3	291	297	283	271
ENSG00000014216.15|CAPN1	1062.8	1134.43	993	1055
ENSG00000014641.18|MDH1	2264.79	2569.25	2334.7	2395.88
ENSG00000014824.14|SLC30A9	959	1118	1106	944
ENSG00000014914.21|MTMR11	119	150	170	137
ENSG00000014919.12|COX15	533.47	662.82	601.28	563.42
ENSG00000015133.19|CCDC88C	363	421	319	320
ENSG00000015153.14|YAF2	134	166	167	160
ENSG00000015171.19|ZMYND11	1201	1325	1325	1226
ENSG00000015285.10|WAS	41	47	34	43
ENSG00000015475.18|BID	549	587	452	459
ENSG00000015479.18|MATR3	7298.05	8206.63	7854.67	6569.11
ENSG00000015532.9|XYLT2	461	535	426	539
ENSG00000015568.13|RGPD5	146.39	356.53	37.89	334.35
ENSG00000015676.18|NUDCD3	2472	2804	2506	2380
ENSG00000016391.11|CHDH	105	108	71	73
ENSG00000016864.18|GLT8D1	526	531	557	533
ENSG00000017260.19|ATP2C1	1306.76	1570.29	1667.61	1390.46
ENSG00000017797.13|RALBP1	778	993	900	910
ENSG00000018189.13|RUFY3	2460	3151	3085	2702
ENSG00000018236.15|CNTN1	67	87	77	54
ENSG00000018280.17|SLC11A1	17	7	15	16
ENSG00000018408.14|WWTR1	440.45	514.79	594.84	654.44
ENSG00000018510.15|AGPS	1036	1305	1393	1205
ENSG00000018610.14|CXorf56	531	586.95	577.45	552.85
ENSG00000018699.13|TTC27	255	322	322	285
ENSG00000018869.16|ZNF582	94.63	115.84	110.45	112.25
ENSG00000019144.19|PHLDB1	1089.18	1209	944	971
ENSG00000019485.13|PRDM11	355	358	355	357
ENSG00000019549.12|SNAI2	119	142	179	186
ENSG00000019991.17|HGF	8	13	13	14
ENSG00000019995.6|ZRANB1	489.43	566.61	487.89	479.37
ENSG00000020129.16|NCDN	567	620	529	518
ENSG00000020181.17|ADGRA2	79.97	97.49	80.46	81.62
ENSG00000020256.20|ZFP64	498	563	411	448
ENSG00000020426.11|MNAT1	406	380	415	377
ENSG00000020577.13|SAMD4A	876	996	931	963
ENSG00000020633.18|RUNX3	22	16	15	25
ENSG00000020922.12|MRE11	441	559	490	432
ENSG00000021300.14|PLEKHB1	1666	1638	1447	1391
ENSG00000021574.12|SPAST	398	439	464	416
ENSG00000021762.20|OSBPL5	336	352	346	324
ENSG00000021776.11|AQR	2071	2492	2424	2087
ENSG00000021826.15|CPS1	1432	1805	1552	1516
ENSG00000022267.17|FHL1	811	910	718	715
ENSG00000022277.12|RTF2	2117.74	2131.98	2081	2003.57
ENSG00000022567.9|SLC45A4	205	223	219	215
ENSG00000022840.16|RNF10	1424	1599	1540	1443
ENSG00000022976.15|ZNF839	231.31	275.67	217.88	219.11
ENSG00000023041.11|ZDHHC6	501	552	639.47	543
ENSG00000023171.18|GRAMD1B	29	36	19	18
ENSG00000023191.17|RNH1	1210	1429	1131	1225
ENSG00000023228.14|NDUFS1	2965.85	3599.16	3208.49	3001.57
ENSG00000023287.13|RB1CC1	860	1022	1087	947
ENSG00000023318.8|ERP44	927	1024	1024	1051
ENSG00000023330.15|ALAS1	772	904	814	777
ENSG00000023516.9|AKAP11	797	1046	1121	869
ENSG00000023572.9|GLRX2	428.41	465.59	438.83	406.95
ENSG00000023608.5|SNAPC1	277.46	321.39	330.86	290
ENSG00000023697.13|DERA	368	406	388	362
ENSG00000023734.11|STRAP	1724	1927	1742	1712
ENSG00000023902.14|PLEKHO1	1014	1114	891	955
ENSG00000023909.10|GCLM	168	214	242	248
ENSG00000024048.10|UBR2	902	1170	1150	1015
ENSG00000024422.12|EHD2	1169	1223	1167	1438
ENSG00000024526.17|DEPDC1	523.44	690.01	617.55	611.43
ENSG00000024862.17|CCDC28A	71	97.58	113	76.73
ENSG00000025039.14|RRAGD	719	853	712	634
ENSG00000025156.12|HSF2	485	559	524	463
ENSG00000025293.17|PHF20	1331	1727	1507	1364.09
ENSG00000025423.11|HSD17B6	16	22	21	21
ENSG00000025434.19|NR1H3	195	234.01	187	221.03
ENSG00000025708.14|TYMP	26	42	15	17
ENSG00000025770.19|NCAPH2	1387.46	1514.31	1366.95	1565.8
ENSG00000025772.8|TOMM34	977	885	849	850
ENSG00000025796.14|SEC63	2063.66	2470.56	2286.76	2061.51
