Ola_827_R1B1	LMP.Olap_827_R1B1	Ola_827_R2B1	LMP.Olap_827_R2B1	Ola_827_R3B2	LMP.Olap_827_R3B2
ENSG00000011465.17|DCN	542	464	430	405	457	403
ENSG00000011478.12|QPCTL	155	121	175	201	164	152
ENSG00000011485.14|PPP5C	1520	1588	1343.46	1912	1653	1384
ENSG00000011523.14|CEP68	318	438.03	322	475	342	354.24
ENSG00000011566.15|MAP4K3	890	784	753	831	748	649
ENSG00000011638.10|TMEM159	39	45	27	31	24	31
ENSG00000011677.13|GABRA3	1199	1384	916	1254	903	935
ENSG00000012048.22|BRCA1	1275	1106	1019	1151	1242	1030
ENSG00000012061.15|ERCC1	1771.87	1824.32	1474.25	2248.49	1852.85	1656.32
ENSG00000012171.19|SEMA3B	350	391	315	546	395	404
ENSG00000012174.12|MBTPS2	1194.88	1083.6	1007	1306	1117	977
ENSG00000012211.13|PRICKLE3	73.32	85.22	64.67	77.04	57.87	68.71
ENSG00000012232.8|EXTL3	4676	4201	3761	4915	4834	3796
ENSG00000012660.14|ELOVL5	3397	2812	2524	2716	2874	2631
ENSG00000012817.15|KDM5D	931	822	922	988	957	794
ENSG00000012822.16|CALCOCO1	949	1028	1426	1480	1070	941
ENSG00000012963.15|UBR7	1175	1178	1055	1230.47	1193	1043
ENSG00000012983.11|MAP4K5	817	770	705	854	766	773
ENSG00000013016.16|EHD3	461	520	373	563	451	404
ENSG00000013275.7|PSMC4	2005	2172	1727	2538	2026	2018
ENSG00000013288.8|MAN2B2	235	299	257	357	277	266
ENSG00000013306.16|SLC25A39	1180	1402	1105	1620	1427	1176
ENSG00000013364.19|MVP	698	1027.08	688	1230.61	811.65	913.97
ENSG00000013374.16|NUB1	1165	1215.98	1082.95	1463.98	1105.97	1077
ENSG00000013375.16|PGM3	1122.72	1030.58	1022.91	1145.02	978.45	947.85
ENSG00000013392.8|RWDD2A	213	227	166	206	158	165
ENSG00000013441.16|CLK1	657	627	1049	681	861	745
ENSG00000013503.10|POLR3B	449	458	327	456	451	410
ENSG00000013523.9|ANGEL1	489.43	584.37	431.69	670.42	483.59	516.26
ENSG00000013561.18|RNF14	1478	1643	1480	1824	1434	1352
ENSG00000013563.14|DNASE1L1	214.15	302.92	235.28	435.82	278.33	282.52
ENSG00000013573.17|DDX11	1274.62	1181.91	1069.89	1337.19	1282.81	1068.26
ENSG00000013583.10|HEBP1	391	468	346	517	394	405
ENSG00000013588.8|GPRC5A	14	16	321	86	44	19
ENSG00000013619.14|MAMLD1	1253	1065	891	1086	1257	889
ENSG00000013810.19|TACC3	1813	1169	1532	1609	2065	1314
ENSG00000014123.10|UFL1	1172	1177	1037	1298	1082	1035
ENSG00000014138.9|POLA2	417.64	349.45	400.58	491.06	431.28	387.35
ENSG00000014164.7|ZC3H3	281	280	231	394	323	291
ENSG00000014216.15|CAPN1	922	1085	902	1362	1159	1085
ENSG00000014641.18|MDH1	2253.09	2373	2318.34	2830	2209	2176.81
ENSG00000014824.14|SLC30A9	2201	2408	2032	2652	2054	2083
ENSG00000014914.21|MTMR11	980	1343	1278	1565	1123	1113
ENSG00000014919.12|COX15	612.93	615.43	605.29	666.72	544.01	598.57
ENSG00000015133.19|CCDC88C	107	132	62	113	59	78
ENSG00000015153.14|YAF2	259	238	247	250	232	226
ENSG00000015171.19|ZMYND11	1499	1378	1267	1442	1419	1263
ENSG00000015285.10|WAS	45	43	21	33	23	41
ENSG00000015475.18|BID	425	472	362	488	432	394
ENSG00000015479.18|MATR3	6653.36	5796	5999.52	6456.7	6366.4	5361.49
ENSG00000015532.9|XYLT2	472	520	489	722	571	548
ENSG00000015568.13|RGPD5	363.13	162.29	415.16	435.17	503.16	126.76
ENSG00000015592.16|STMN4	187	275	100	186	99	134
ENSG00000015676.18|NUDCD3	2936	3089	2441	3417	2820	2552
ENSG00000016391.11|CHDH	461	492	317	477	401	427.89
ENSG00000016864.18|GLT8D1	1372	1401	1426	1776	1328	1374.02
ENSG00000017260.19|ATP2C1	2436.6	2363.03	2419.08	2698.04	2182.83	2225.04
ENSG00000017797.13|RALBP1	1229	1278	1184	1473.41	1136	1090
ENSG00000018189.13|RUFY3	985	921	1039	1044	813	805
ENSG00000018408.14|WWTR1	14537.55	11910.43	12307.78	13476.11	13274.33	10222.25
ENSG00000018510.15|AGPS	1016	1073	937	1096	983	935
ENSG00000018610.14|CXorf56	195.96	230.92	214.98	272	205	227
ENSG00000018625.14|ATP1A2	34	17	27	31	13	32
ENSG00000018699.13|TTC27	467	416	363	482	441	436
ENSG00000018869.16|ZNF582	71.81	70.68	42.42	78.35	59.92	64.67
